title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Servitude,"Stars,Joe Dinicol,John Bregar,Kristen Hager,,","Warren P. Sonoda,","Michael Sparaga,","Comedy,",,"July 28, 2011 (Canada)","Canada,","English,","BUCK Productions,Victory Man Productions,",,,1h 25min,Color,,,4.9/10,289,6,6,
The Holly Kane Experiment,"Stars,Kirsty Averton,Nicky Henson,James Rose,,","Tom Sands,","Mick Sands,","Thriller,",,"March 25, 2017 (United States)","United Kingdom,","English,","Substantial Films,",,,1h 43min,Color,,2.35 : 1,4.7/10,2.2K,7,12,
Vedivazhipadu,"Stars,Indrajith Sukumaran,Murali Gopy,Saiju Kurup,,","Shambu Purushothaman,","Shambhu Purushothaman,","Comedy,",,"December 12, 2013 (India)","India,","Malayalam,","Karmayug Films,",,,2h 6min,Color,,,5.2/10,141,4,,
Mudda 370 J&K,"Stars,Hiten Tejwani,Anjali Pandey,Manoj Joshi,,","Rakesh Sawant,","Nisar Akhtar,Dileep Mishra,Rakesh Sawant,","Action,Drama,",,"December 13, 2019 (India)","India,","Hindi,","Jayas Films,Subharti Media,",,,2h 12min,Color,,,8.5/10,1K,23,6,
Kevi Rite Jaish,"Stars,Tom Alter,Abhinay Banker,Raju Barot,,","Abhishek Jain,","Abhishek Jain,Meenabhai Patel,Anish Shah,","Comedy,Family,",,"June 15, 2012 (India)","India,","Gujarati,Hindi,","CineMan Productions,",,"₹12,500,000 (estimated)",2h 8min,Color,,2.35 : 1,8.1/10,899,8,2,
Havana Kyrie,"Stars,Franco Nero,Alejandro Aldama,Olga Lidia Alfonso,,","Paolo Consorti,","Paolo Consorti,Alfredo Mazzara,Franco Nero,","Drama,",,"February 4, 2020 (United States)","Italy,Cuba,United States,","Italian,English,","Vedado Films,Opera Totale,",,,1h 40min,Color,,,6.4/10,41,,,
Jinrui shikin,"Stars,Kôichi Satô,Shingo Katori,Mirai Moriyama,,","Junji Sakamoto,","Harutoshi Fukui,Junji Sakamoto,","Drama,Thriller,",,"October 19, 2013 (Japan)","Japan,","Japanese,","CMI-Productions,Cross Media International,Geek Pictures,","$3,547,836",,2h 20min,Color,"Dolby Digital,",1.85 : 1,5.3/10,117,2,,
Little Feet,"Stars,Lana Rockwell,Nico Rockwell,Rene Cuante-Bautista,,","Alexandre Rockwell,","Alexandre Rockwell,","Drama,",Not Rated,"September 7, 2013 (Canada)","United States,","English,",,,,1h,Color,,,6.6/10,178,5,73,
The Pretty Boys,"Stars,Leonora Anzaldua,Cameron Bass-Jackson,Josh Beren,,","Everett Lewis,","Everett Lewis,","Action,",Not Rated,"June 1, 2012 (United States)","United States,","English,",,,,1h 42min,Color,,1.78 : 1,4.5/10,114,3,,
Buddy Hutchins,"Stars,Jamie Kennedy,Sally Kirkland,Sara Malakul Lane,,","Jared Cohn,","Jared Cohn,","Horror,Thriller,",,"November 20, 2015 (Germany)","United States,","English,","Switzer Entertainment Group,Traplight Pictures,",,"$1,200,000 (estimated)",1h 38min,Color,,,3.7/10,438,13,11,
Samhain,"Stars,Amanda Megan,Scotty McCoy,Tyler Ebert,,","Gabriele Rolland,","Scotty McCoy,","Comedy,Horror,",,"October 16, 2020 (United States)","United States,","English,","Gravestone Films,",,"$3,500 (estimated)",1h 18min,Color,,,2.2/10,5,,,
Utopia,"Stars,Hannah Spearritt,Andrew Shaver,Homayoun Ershadi,,","Hassan Nazer,","Amir Aghaee,Vahid Rahbani,Martine Malalai Zikria,","Drama,",,"July 15, 2015 (Afghanistan)","Afghanistan,Iran,United Kingdom,India,","English,Dari,Hindi,","Afghanfilm,Apus Pictures,Nay Media Production,",,,1h 25min,Color,"Dolby Digital,",2.35 : 1,5.7/10,114,1,,
Dwegons and Leprechauns,"Stars,Melissa Leo,Maggie Wheeler,Joey D. Vieira,,","Tom Walsh,","Writers,Wray Arenz,Steven Lee Smeltzer,Adriana Stastny,,","Animation,",Rated PG for mild action and rude humor,"November 14, 2014 (United States)","United States,","English,","Enteraktion Studios,Legendtoonland,TW3 Entertainment,",,"$20,000,000 (estimated)",1h 38min,Color,,,3.0/10,120,8,2,
Yabani Asli,"Stars,Mohamed Abdelmoaty,Muhammad Abdullatif,Adham Ahmad,,","Mahmoud Karim,","Luayy El-Sayyed,","Comedy,Family,",,"January 6, 2017 (Egypt)","Egypt,","Arabic,",,"$103,468","EGP 7,000,000 (estimated)",1h 35min,Color,,,5.4/10,341,3,,
Lantouri,"Stars,Baran Kosari,Navid Mohammadzadeh,Maryam Palizban,,","Reza Dormishian,","Reza Dormishian,","Action,Crime,Drama,Romance,",,"August 3, 2016 (Iran)","Iran,","Persian,",,,,1h 51min,Color,"Dolby Digital,",2.35 : 1,6.5/10,3.2K,5,36,
Jock,"Stars,Bryan Adams,Donald Sutherland,Helen Hunt,,","Duncan MacNeillie,","Writers,Jim Cox,Percy Fitzpatrick,Andrew Gibbs,,","Animation,Adventure,Comedy,Family,",Rated PG for some menace and peril,"July 29, 2011 (South Africa)","United States,South Africa,","English,","Jock Animation,Motion Sound & Picture,","$2,008,173",,1h 29min,Color,"Dolby Digital,",1.78 : 1,4.5/10,603,9,4,
Elizabeth Ekadashi,"Stars,Chaitanya Badve,Durgesh Badve-Mahajan,Sayali Bandakavathekar,,","Paresh Mokashi,","Madhugandha Kulkarni,Paresh Mokashi,","Adventure,Drama,Family,",,"November 14, 2014 (India)","India,","Marathi,","Essel Vision Productions,Mayasabha Productions,Nittin Keni Creations,",,"₹1,500,000 (estimated)",1h 30min,Color,,,8.4/10,687,4,3,
Meant to Be,"Stars,Erika Eleniak,Bradley Dorsey,Erin Sossamon,,","Bradley Dorsey,","Bradley Dorsey,Lori Marett,Marshal Younger,","Drama,",Not Rated,"December 27, 2012 (United States)","United States,","English,","Dorsey Productions,White Door Media,",,"$250,000 (estimated)",1h 30min,Color,,,5.8/10,326,12,1,
Heathens and Thieves,"Stars,Andrew Simpson,Gwendoline Yeo,Don Swayze,,","Megan Peterson,John Douglas Sinclair,","John Douglas Sinclair,","Mystery,Thriller,Western,",Rated R for western violence,2012 (United States),"United States,","English,","Orofino,",,"$1,200,000 (estimated)",1h 49min,Color,,2.00 : 1,5.1/10,440,10,,
Hollywood Fringe,"Stars,Karine Bagoumian,Shaughn Buchholz,Frank Cappello,,","Megan Huber,Wyatt McDill,","Wyatt McDill,","Comedy,Drama,Musical,",,"September 1, 2020 (United States)","United States,","English,","Sleeper Cell,",,,1h 30min,Color,,,7.5/10,8,8,,
Stado,"Stars,Nikola Kojo,Vesna Trivalic,Zoran Cvijanovic,,","Nikola Kojo,","Nebojsa Romcevic,","Comedy,",Not Rated,"November 23, 2016 (Serbia)","Serbia,","Serbian,","K12 Production,Filmski centar Srbije,Prva TV,","$43,071",,1h 40min,Color,,,7.0/10,1.1K,5,1,
Tour de France,"Stars,Gérard Depardieu,Sadek,Louise Grinberg,,","Rachid Djaidani,","Rachid Djaidani,","Drama,",,"November 16, 2016 (France)","France,","French,Russian,Basque,","Les Films des Tournelles,Mars Films,Cité Films,","$425,144",,1h 35min,Color,,,5.8/10,387,1,27,
Chandrayaan,"Sarath Kumar,","Santhosh George Kulangara,","Santhosh George Kulangara,","Drama,History,Sci-Fi,",,August 2011 (United States),"India,","English,",,,,1h 27min,Color,,,7.9/10,24,,,
Kamikaze,"Stars,Álex García,Eduardo Blanco,Verónica Echegui,,","Álex Pina,","Iván Escobar,Álex Pina,","Action,Comedy,Drama,",TV-14,"March 28, 2014 (Spain)","Spain,","Spanish,","Atresmedia Cine,Cangrejo Films,Globomedia,",,"€4,000,000 (estimated)",1h 34min,Color,"Stereo,",,6.4/10,1.5K,4,8,
The Ouija Exorcism,"Stars,J. Damian Anastasio,Brittney Bertier,Cameron Bigelow,,","Nick Slatkin,","Nick Slatkin,","Horror,",Unrated,"October 6, 2015 (United States)","United States,","English,","Marquis Productions,Orange Bird Productions,Thriller Films,",,,1h 27min,Color,,1.78 : 1,2.2/10,513,13,1,
Soul Sessions,"Stars,Brooke Langton,Lia D. Mortensen,Adam Senn,,","Vincent Gaffney,","Patrick Beharelle,Vincent Gaffney,","Drama,",,"November 13, 2018 (United States)","United States,",,"nGage Productions,",,,1h 34min,,,2.35 : 1,6.6/10,66,3,,
Sculpt,"Stars,Betty Cartoux,Willem Dafoe,Abel Ferrara,,","Loris Gréaud,",,"Sci-Fi,",,"August 16, 2016 (United States)","France,","English,","Greaudstudio Films,Noirmontartproduction,",,"€800,000 (estimated)",2h,,,,5.8/10,70,,,
Kuroko no Basket Movie 3: Winter Cup,"Stars,Kenshô Ono,Yuki Ono,Hiroshi Kamiya,,","Shunsuke Tada,","Tadatoshi Fujimaki,","Animation,",,"December 4, 2016 (Japan)","Japan,","Japanese,",,"$697,678",,1h 30min,,,,8.1/10,371,,,
Lisaa,"Stars,Anjali,Sam Jones,Makrand Deshpande,,","Raju Viswanath,","Raju Viswanath,","Horror,",,"May 24, 2019 (India)","India,","Tamil,","PG Media Works,Trident Arts,",,,1h 51min,Color,,,2.5/10,115,3,3,
Cycle 2017,"Stars,Casey Braxton,Chase 'Uzzle' Carter,Bob Featherer,,","Milciades Cedano Jr.,","Milciades Cedano Jr.,Arkeisha Roberts,","Drama,",,,"United States,","English,",,,,1h 41min,Color,,,7.5/10,22,1,,
Shala,"Stars,Anshuman Joshi,Ketaki Mategaonkar,Dilip Prabhavalkar,,","Sujay Dahake,","Milind Bokil,Avinash Deshpande,","Romance,",,"January 20, 2012 (India)","India,","Marathi,","Concepts & Conversations,Navalakha Arts, Media & Entertainment,",,,1h 48min,Color,"Dolby Digital(original release),Dolby Digital,",2.35 : 1,8.2/10,1.8K,12,4,
Xi li ren qi: Zui zhong hui - Xing fu nan bu nan,"Stars,Sonia Sui,Chris Wang,Sheng-hao Wen,,","Joseph Wang,Pei-hua Wang,","Hai-wei Yang,Kelly Chen,Béatrice Hung,","Drama,Romance,",,"December 6, 2012 (Hong Kong)","Taiwan,","Mandarin,","Kings Creative Media,Sun Dance Entertainment International,C.L. Pictures,","$1,488,558",,1h 49min,Color,"Dolby Digital,",2.35 : 1,4.8/10,161,3,2,
