title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Liverpool vs Tottenham Hotspur,"Tottenham Hotspur F.C.,",,,"Sport,",,"February 10, 2015 (United Kingdom)","United Kingdom,",,,,,1h 30min,Color,,,,,,,
The Ol' Amity Blues,"Stars,Sydney Howlett,Brandon James Mason,Frank Moher,,","Jeff James Monson,","Jeff James Monson,","Drama,",,"April 14, 2017 (Canada)","Canada,","English,",,,"CA$2,000 (estimated)",1h 13min,Color,,1.85 : 1,,,,,
La petita fera,"Joan Antoni Donadeu,Enric Francesc,Eli Robles,","Jordi Ardid,","Jordi Ardid,",,,"October 5, 2019 (France)",,,"Fuera de Campo Producciones,",,,1h 27min,Color,,,,,,,
"El misterio de las lagunas, fragmentos Andinos","Jacqueline Clarac,","Atahualpa Lichy,Wanadi Lichy,","Atahualpa Lichy,Diana Lichy,","Music,",,"October 7, 2011 (South Korea)","Venezuela,","Spanish,",,,,1h 32min,Color,,,7.0/10,24,1,3,
Fruit Juice,"Stars,Romario Lopez,Christian Padilla,Jeremy Lovato,,","Jonny Santana,","Jonny Santana,","Drama,",,"November 21, 2015 (United States)","United States,","English,","Jonny Santana Pictures,",,"$1,000 (estimated)",1h 40min,Black and White,,,,,,,
The Promise,"Stars,Bekenya Jane Augustin,Lidwine Berthil,Nathanïel Berthil-Duval,,","Edwine Dorival,","Edwine Dorival,Mackenson Dorival,","Drama,",,"July 28, 2017 (Canada)","Canada,","English,","Dorival Brothers Entertainment,",,,,Color,,,,,,,
The Man: at the Gates of the Rising Sun,"Stars,Gabriel Doramé Ceceña,Luis Doramé,Carolina Marin,,","Gabriel Doramé Ceceña,","Gabriel Doramé Ceceña,","Drama,Fantasy,Thriller,",,"April 6, 2018 (Mexico)","Mexico,Spain,France,United States,United Kingdom,","Spanish,English,","Onar Pictures,Onar Studios,",,,51min,Color,,1.85 : 1,,,,,
Middleground,"Stars,Jasmine Brown,Melany McAngus,Emilio Mendoza,,","Mitchel Viernes,","Mitchel Viernes,","Action,Sci-Fi,War,",,,"United States,","English,","iNtertainment studios,",,,45min,Color,,,,,,,
Bits of What I Have,"Stars,Mustafa Akyildiz,Yudum Yelda Akyildiz,Güleycan Düzgün,,","Saleh Sharif,","Saleh Sharif,","Drama,",,"August 12, 2015 (Bahrain)","Bahrain,","Turkish,","Bicycle Film,Marsala Studio,",,"$12,000 (estimated)",,,,,6.6/10,15,1,,
Encre de Chine,"Stars,Liah,Sabine Bail,Nicolas Ullmann,,","Jean Jacques,","Sabine Bail,Jean Jacques,","Drama,",,,"France,","English,French,Chinese,","Iconisma,",,,2h 11min,Color,,,,,,,
Marco Antonio Solis Una Noche De Luna,"Marco Antonio Solís,","Hector H. Kron,",,"Music,",Not Rated,"June 26, 2012 (United States)","Mexico,","Spanish,",,,"$300,000 (estimated)",1h 3min,Color,,,,,,,
Winter,"Stars,Jeremy Beitler,Krista Kenney,Joseph B. Ziegler,,","Jerry Collom,","Jerry Collom,","Drama,",,"April 19, 2012 (Canada)","United States,",,,,,1h 29min,,,,,,,,
I am a Doctor,,,,,,"May 17, 2017 (China)","China,","English,",,"$1,167,451",,,Color,,,,,,,
Jimmy Paul: The Pug Tooth Fairy,"Stars,Reith Alsup,Seslee Alsup,Donna Beauvais,,","Dave Moody,Beth Roose,","Beth Roose,","Animation,",,"July 29, 2010 (United States)","United States,","English,","Buzzoose Productions,Elevating Entertainment,",,"$100,000 (estimated)",,Color,,,5.7/10,8,,,
Lamplight,"Stars,Johnny Alonso,Gaetano Averella,Jeanie M. Clark,,","Jason M. Koch,","Jason M. Koch,","Thriller,",,"October 25, 2011 (United States)","United States,","English,","Dire Wit Films,",,,50min,Color,"4-Track Stereo,",1.33 : 1,6.8/10,9,1,,
Son Kuslar,"Stars,Ergül Coskun,Sahverdi Ali Eren,Sencar Sagdic,,","Bedir Afsin,","Bedir Afsin,Bünyamin Duranoglu,","Drama,",,"April 9, 2016 (Turkey)","Turkey,","Turkish,English,","Arkadas Film Yapim,Turkish Radio & Television (TRT),",,,1h 30min,Color,,,6.3/10,41,1,,
Catholic LA,"Joseph Freymann,Chris Plance,","Chris Plance,","Chris Plance,","Talk-Show,",,"October 5, 2018 (United States)","United States,","English,",,,,,Color,,,,,,,
Il duello (Cavalleria Rusticana),,"Lorenzo Muscoso,","Lorenzo Muscoso,","Drama,",,"April 12, 2020 (Italy)","Italy,","Italian,","DreamworldPictures,",,,,Color,,,,,,,
The Adventures of Fujiwara Manchester Movie,,"Alexandre Camargo,",,"Animation,Action,Adventure,Comedy,",,,"Brazil,","Portuguese,",,,,1h 57min,Color,,,8.0/10,26,,,
