title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Love You Hamesha,"Stars,Arindam Roy,Jhillik Bhattacharya,Aanisha Aanie,,","Himanshu Parija,","Bijaya Malla,Himanshu Parija,Smruti Ranjan Raut,","Romance,",,"June 12, 2015 (India)","India,","Oriya,","Sabitri Cine Production,",,,,Color,,,,,,,
Fine Line,,"Johnnie Hargrave,","Johnnie Hargrave,","Drama,Family,Music,",,,"United States,","English,",,,,2h 23min,Color,,,,,1,,
"Fuck Dig, Jeg Er Klart Kendt","Stars,Marcel Alveen,Mads Christoffersen,Sofie Garsdal,,","Sigfred Nielsen,Henrik Viking,",,"Reality-TV,",,"March 22, 2017 (Denmark)","Denmark,","Danish,",,,DKK 200 (estimated),1h 15min,,"Stereo,",,,,,,
"Dong-hak, su-un-choe-je-u","Sung-jun Park,Kung-yea Song,","Stanley Park,","Stanley Park,","Drama,",,"October 7, 2011 (South Korea)","South Korea,","Korean,","Filmclassic Production,",,,1h 46min,Color,,,,,,,
Isla Bonita,,"Barry Rivers,",,"Comedy,",,September 2015 (Spain),"Spain,","Spanish,",,,,1h 41min,Color,,,,,,,
AC Milan vs Napoli,,,,"Action,",,"November 23, 2019 (Italy)","Italy,","Italian,",,,,1h 35min,Color,,,,,,,
Inavouables,"Stars,Patrick Grieco,Amandine Anelli,Bénédicte Bourel,,","Frédéric Cerulli,","Frédéric Cerulli,Thomas Gauthier,","Drama,",,"June 26, 2013 (France)","France,","French,","Les Films à Fleur de Peau,",,,1h 35min,Color,,,,,,,
Christmas 2017 Live Stream Pt. 1 w/ EdiblePotNoodle,"Edward De Winton,Nathaniel Luland,","Nathaniel Luland,",,,,"December 25, 2017 (United Kingdom)","United Kingdom,","English,",,,,,Color,,,,,,,
El Predestinado,"Stars,Óscar Pinkus,Amín Soda,Roldán Peniche,,","Mario Galván Reyes,","Óscar Pinkus,Mario Galván Reyes,","Biography,",,"March 25, 2016 (Mexico)","Mexico,","Spanish,","Estudio Nerval,",,"MX$25,000 (estimated)",,Color,,,,,,,
Manguni Pandiyargal,"Nellai Siva,Vasu Vikram,","Jebaa,",,"Drama,",,"December 13, 2019 (India)","India,","Tamil,",,,,1h 54min,Color,,,,,,,
King of Prism: Shiny Seven Stars 3,,"Masakazu Hishida,",,"Animation,Musical,Sport,",,"April 13, 2019 (Japan)","Japan,","Japanese,","Tatsunoko Production,","$371,172",,1h 11min,Color,,,,,,,
The Unbearable Lightness Of Ingeborg Bachmann,,"Pierre Deville,","Duane Jackson,Suzie West,",,,"January 6, 2013 (Austria)",,,,"$34,099",,1h 40min,,"Stereo,",2.35 : 1,,,,,
Jezus van de Javastraat,"Stars,Mishaël Lopes Cardozo,July Janssen,Priscilla Mahesh,,","Bram van Splunteren,","Bram van Splunteren,","Drama,",,"June 24, 2016 (Netherlands)","Netherlands,","Dutch,","Grid Film,Rubinstein Pictures,Stichting Faaam,",,"€50,000 (estimated)",1h 31min,,,2.39:1,,,,,
"Bayiri, la patrie","Stars,Tina Hatou Ouedraogo,Bil Aka Kora,Blandine Yaméogo,,","S. Pierre Yameogo,","S. Pierre Yameogo,","Drama,",,"June 14, 2017 (France)","Burkina Faso,","French,","Dunia Productions,Les Films de l'Espoir,",,,1h 30min,Color,,,,,,,
Ann Deep and Rich Sweet Honey Ann Mitsumi,,,,"Reality-TV,",,"August 19, 2020 (Japan)","Japan,","Japanese,",,,,1h 33min,Color,,,,,,,
Huddersfield Town vs Tottenham Hotspur,,,,"Sport,",,"September 29, 2018 (United Kingdom)","United Kingdom,",,,,,1h 30min,Color,,,,,,,
Kandharvan,"Stars,Kadhal Dhandapani,'Ganja' Karuppu,Rajkumar,,","Salangaidhurai,","Salangaidhurai,","Drama,",,"April 11, 2014 (India)","India,","Tamil,",,,,,Color,,,,,,,
The Deed,,"Alan Ramsay,","Alan Ramsay,",,,"February 20, 2019 (United States)","United States,","English,",,,,,,,,,,,,
Time of the Robots,,"Erik Hammen,","Erik Hammen,","Adventure,Fantasy,Sci-Fi,",,"February 15, 2012 (United States)","United States,","English,","Groton Bridge Films,",,,1h 13min,Black and White,,1.33 : 1,,,3,,
Alias Bambi C-4,"Stars,Gioia Arismendi,Gabriel Blanco,Carlos Ever Fonseca,,","Eduardo Barberena,","Gustavo Michelena,","History,",,"October 21, 2016 (Venezuela)","Venezuela,","Spanish,","Fundación Villa del Cine,",,"VEB 3,000,000 (estimated)",,Color,,,,,,,
Bhoner: The Movie,"Maryanne Piccolo,","Frank Anderson,Colin Shields,","Frank Anderson,","Comedy,Horror,",,March 2013 (United States),"United States,","English,",,,,51min,Color,,,5.0/10,9,,,
Tôkyô Densetsu: Kyôfu no Ningen Jigoku,"Stars,Rika Adachi,Shiho Fujisawa,Junpei Hashino,,","Seiji Chiba,","Yumeaki Hirayama,Seiji Chiba,","Horror,",,"June 7, 2014 (Japan)","Japan,","Japanese,",,,,1h 6min,Color,,,,,1,,
In Another Life,,"Luis Sinibaldi,","John R. Woods,","Comedy,Romance,",,"December 9, 2017 (United States)","United States,","English,","Say-O-Productions,",,,,Color,,,,,,,
Sakura saku,,"Chihiro Ikeda,","Mizuki Tsujimura,Chihiro Ikeda,","Drama,",,2017 (Japan),"Japan,","Japanese,","Kazumo Co.,",,,,Color,,,,,,,
