title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Listen Little Man,"Stars,Galen Filip,Strahinja Bicanin,Kerkez Jovana,,","Marko Zunic,","Marko Zunic,","Fantasy,Horror,",,"October 17, 2019 (Serbia)","Serbia,","Serbian,","Akademski Filmski centar Dom Kulture Studentski Grad (AFC),Mrebre,",,,1h 17min,Black and White,,,5.5/10,6,1,,
Three Atrangi Jai-Veeru-Gabbar,"Stars,Bonnie Juneja,Manoj Sharma,Gurdev Bhullar,,","Abhishek Utkarsh Deokar,","Abhishek Utkarsh Deokar,","Comedy,",,"May 8, 2015 (India)","India,","Hindi,","G & D Production,Sara Entertainment,",,"₹19,084,719 (estimated)",2h 4min,,,1.78 : 1,6.7/10,9,,,
Suamiku Encik Perfect 10!,"Stars,Aaron Aziz,Lisa Surihani,Syazwan Zulkifli,,","Feroz Kader,","Feroz Kader,Syamnuriezmil,","Comedy,Drama,Romance,",,"January 22, 2015 (Malaysia)","Malaysia,","Malay,","Astro Shaw,",,,2h 4min,Color,,,,,,,
Schism,"Stars,Hogan Mason,Robert Shuster,Elaine Marie,,","Michael Storch,","J.R.S. Storch,Michael Storch,","Horror,",,"October 24, 2020 (United States)","United States,","English,","Open Sign Productions,",,,1h 40min,Color,,2.20 : 1,5.0/10,38,,,
Art School of Horrors,"Stars,Sarah Rose Butler,Jeffrey Combs,Zach Eulberg,,","Thijs Bazelmans,","Matt Yamashita,","Comedy,Horror,",,"October 29, 2015 (United States)","United States,","English,","Academy of Art University, School of Motion Pictures & Television,",,,,Color,,16:9 HD,6.4/10,12,,,
Pursuit of Loneliness,"Stars,Joy Hillie,Suzanne Faha,John Magginetti,,","Laurence Thrush,","Laurence Thrush,","Drama,",Not Rated,"March 9, 2016 (France)","United States,","English,","Growth Film,",,,1h 36min,Black and White,,,6.8/10,38,1,2,
Xia tian 19 sui de Xiao xiang,"Stars,Zitao Huang,Caiyu Yang,Meng Li,,","Jung-chi Chang,","Lipstick Chan,Chia-Ying Lee,Sôji Shimada,","Mystery,",,"May 27, 2017 (China)","China,","Mandarin,","Desen International Media,","$1,369,687",,1h 43min,Color,,,5.8/10,143,3,,
Space Vampire,"Ali Chappell,Cheryl Singleton,","Chris Alexander,",,"Drama,Fantasy,Horror,",,"September 10, 2020 (Canada)","Canada,","English,",,,"CA$500,000 (estimated)",,Color,,,,,2,,
Royal Shakespeare Company: Love's Labour's Won,"Stars,David Horovitch,Thomas Wheatley,Flora Spencer-Longhurst,,","Christopher Luscombe,Robin Lough,","William Shakespeare,","Comedy,",Not Rated,"March 4, 2015 (United Kingdom)","United Kingdom,","English,","Royal Shakespeare Company,",,,2h 27min,Color,,,8.0/10,38,1,1,
Special Agent Kids,"Stars,Dillaran Martin,Keith Nagel,Cece King,,","Paul Hart-Wilden,","Berenika Bailey,Rick Blackwell,","Family,",,"December 7, 2013 (United States)","United States,","English,","Magic Elevator,",,,1h 8min,Color,,,5.9/10,41,,,
