title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Una ocasión de peligro,"Stars,Loreto Ferreras Viruete,Sara Ferreras Viruete,Laura Ferreras Viruete,,","Pedro Fernández Cuesta,Marta Ferreras Viruete,","Pedro Fernández Cuesta,","Mystery,",,"June 20, 2017 (Argentina)","Spain,","Spanish,","Marta Ferreras Viruete,",,,,,,4:3(original aspect ratio),,,,,
Liek achter de badde,"Stars,Erik Schuten,Jeroen Stevens,Nico van der Wijk,,","Dirk de Jong,","Harry Töben,","Drama,",,"September 28, 2019 (Netherlands)","Netherlands,","Dutch,","On Air Media,",,,,Color,,,,,,,
Kami voisu,"Stars,Kôhei Aoyama,Asuma,Shigeru Chiba,,","Tomoki Sano,","Yoshiki Sakurai,","Comedy,",,"November 19, 2011 (Japan)","Japan,","Japanese,",,$432,,,Color,,,7.2/10,15,,,
Il Muro - Die Mauer,"Stars,Marco Cortesi,Stephanie Del Bino,Stefano Farolfi,,","Riccardo Salvetti,","Marco Cortesi,Mara Moschini,Riccardo Salvetti,","Drama,",,"November 5, 2019 (Italy)","Italy,","Italian,","Horizon,",,€50 (estimated),1h 30min,,,,,,,,
Iskateli priklyucheniy,"Stars,Nikolay Drozdov,Aleksandr Farber,Igor Gasparyan,,",,"Ilya Shilovsky,","Comedy,",,"October 18, 2012 (Russia)","Russia,","Russian,","MV Sinema,Mosfilm,","$333,696",,,Color,,,3.0/10,99,1,,
"The Wretched Auteur's 81,000 Frames","Stars,Sara Ashley,David Heaven,Jake Koenekamp,,","Jake Koenekamp,",,"Horror,",,,"United States,","English,",,,,49min,Color,,,,,,,
Bloody Ring,"Stars,Chiwetalu Agu,Alex Ejimofor,Nneka Emmanuel,,","Iyke Odife,","Nuella Njubigbo,Emma Odife,Nonso Odife,","Drama,",Not Rated,"April 1, 2014 (United States)","Nigeria,","English,","Black Speech Media Group,",,"$70,000 (estimated)",1h 30min,,,,,,,,
Cliff,"Dshanka Djuric,Aidan Owen,","Aidan Owen,","Dshanka Djuric,","Drama,",,"January 10, 2019 (United Kingdom)","United Kingdom,","English,","Aztec Film,",,"£1,000 (estimated)",45min,,,1.9:1,,,,,
Todos Somos Óscar,"Thelma Darkings,Álvaro Marenco,Tito Oses,","Tito Oses,","Tito Oses,","Drama,",,"August 8, 2019 (Costa Rica)","Costa Rica,","Spanish,",,,,,Color,,,,,,,
1 Te 4 Band,"Stars,Rasika Agashe,Satish Alekar,Poorvi Bhave,,","Apurv Sathe,","Nikhil Khaire,Apurv Sathe,","Drama,",,2018 (India),"India,","Marathi,",,,"₹10,000,000 (estimated)",1h 57min,Color,"D-Cinema 48kHz 5.1,",16 : 9,,,,,
