title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Mga anino sa tanghaling tapat,"Stars,Martha Comia,Althea Vega,Ness Roque,,","Ivy Baldoza,","Ivy Baldoza,","Drama,",,"November 10, 2011 (Philippines)","Philippines,","Filipino,Tagalog,",,,,,Color,,,,,,,
Ada Surga di Rumahmu,"Stars,Husein Alatas,Ali Fikry,Raihan Khan,,","Aditya Gumay,","Oka Aurora,","Drama,",,"April 2, 2015 (Indonesia)","Indonesia,","Indonesian,","Mizan Production,",,"IDR 1,000,000,000 (estimated)",,,,,,,,,
Lajja -The Shame,"Stars,Haradhan Bannerjee,Raja Chatterjee,Dipankar Dey,,","Dayal Acharya,","Dayal Acharya,","Drama,",,"October 30, 2010 (India)","India,","Bengali,","Tulsi Media,",,,2h 40min,Color,,,6.1/10,8,,,
Nu fang zhi qing chun zai jian,"Stars,Yueming Pan,Zi Liu,Hao Qin,,","Gengxu Lu,","Gengxu Lu,Vivian Wang,","Drama,",,2014 (China),"China,","Chinese,",,,"CN¥5,000,000 (estimated)",,Color,"Dolby Digital,",2.35 : 1,6.8/10,7,,,
Shi zhong ji,"Stars,Aben,Albin,Mei-Ching Chan,,","Benjamin Gan,","Benjamin Gan,","Drama,",,May 2017 (Romania),"Taiwan,","Mandarin,Min Nan,Japanese,",,,"$10,000 (estimated)",1h 27min,Color,,,8.3/10,15,,,
Eddie Goines and Friends Presents: The Time Is Now,"Stars,Teria Birlon,Hype Cuz,Eddie Goines,,","Van Elder,","Van Elder,Eddie Goines,","Comedy,",,2012 (United States),"United States,","English,","EdVanzd Entertainment,NYAD Productions,",,,1h 30min,Color,,,,,,,
Oltre il ponte!,"Stars,Fabio Moscatelli,Simone Russo,Massimo Sansalone,,","Edoardo Viterbori,",,"Drama,",,"April 26, 2019 (Italy)","Italy,","Italian,","Millennium Cinematografica,",,"€10,000 (estimated)",1h 18min,Color,,,,,,,
He Could Be Flying,"Sarah Arshad,Irin Harel,Ralph Perl,","Andrew Zuliani,","Beau Marr,","Drama,",,"August 30, 2020 (Canada)","Canada,","English,","Steele Marr Productions,",,,,Color,,,,,,,
Public Intimacy,"Stars,Yuri Bathista,Biah Carfig,Talita Contipelli,,","Luciana Canton,","Writers,Yuri Bathista,Luciana Canton,Biah Carfig,,","Drama,",,"April 2, 2018 (United States)","Brazil,","Portuguese,",,,,1h 11min,Color,,,,,,,
Poterpevshiy,"Stars,Vladimir Pankov,Sergey Gazarov,Mikhail Kaplan,,","Aleksandr Galin,","Aleksandr Galin,","Drama,",,"June 23, 2010 (Russia)","Russia,United States,","Russian,English,","Ministerstvo kultury Rossiyskoy Federatsii,Persona Films,Russian Theater Agency,",,,1h 44min,Color(original 35 mm prints),,,,,,,
Ninetwofive,"Santiago Borges,Jor-el Garcia,Veronika Mejia,","Deb Garcia,","Deb Garcia,Naty Kos,Natasha Mijares,",,,"August 23, 2012 (United States)","United States,","English,",,,"$1,200 (estimated)",,Black and White,,16:9 HD,,,,,
Love Syndrome rak ngo ngo,"Stars,Azb Dahal,Phakhin Khamwilaisak,Keerati Mahaprukpong,,","Pantham Thongsangl,","Writers,Ratchapoom Boonbunchachoke,Kimhan Kanchanasomjai,Manachaya Panitsarn,,","Romance,",,"October 10, 2013 (Thailand)","Thailand,","Thai,",,"$231,854",,2h 16min,Color,,,6.2/10,33,,,
Du yi wu er,"Stars,Yen Tsao,Chen-Ling Wen,J.C. Lei,,","Alex Yang,","Alex Yang,","Romance,",,"March 11, 2016 (Taiwan)","Taiwan,","Mandarin,","De Fond Film,",,,1h 38min,Color,,,3.8/10,12,,,
Yeh Dil Ramta Jogi,"Stars,Swaroop Kanchi,Cajole Kapoor,Anil Kumar,,","Swaroop Kanchi,","Swaroop Kanchi,","Action,Crime,Drama,",,"March 14, 2014 (India)","India,","Hindi,",,,,1h 38min,Color,,,7.0/10,11,1,,
Deconstructing Griffith,"Stars,Joao Bettencourt da Camera,Abi Blears,Alvaro Camacho Baena,,","Andrew Sherban,Alexandru Tudor Plapcianu,","Andrew Sherban,","Crime,Drama,",,,"United Kingdom,","Hebrew,Spanish,English,","Ba'al Teshuva Productions,",,"£10,000 (estimated)",1h 59min,Color,,2.35 : 1,,,,,
The Pyongyang Concert,"Lorin Maazel,New York Philharmonic,","Ayelet Heller,",,,Unrated,July 2013 (United States),"United States,","English,",,,,1h 48min,Color,,,,,,,
La Villette,,"Liên Hoàng-Xuân,","Liên Hoàng-Xuân,","Adventure,",,"September 20, 2016 (France)","France,","French,",,,,,,,,,,,,
