title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Hacerme feriante,,"Julián D'Angiolillo,","Julián D'Angiolillo,",,,April 2010 (Argentina),"Argentina,","Spanish,",,,,1h 33min,Color,,,6.9/10,22,3,,
Date with the Elicpse,,"Sandra House,",,"Comedy,Family,Mystery,Romance,",,,"United States,","English,",,,,1h 20min,Color,,,,,,,
Zabor,"Stars,Denis Kirsanov,Sergey Salnikov,Vyacheslav Klimov,,","Leonid Mashinskiy,","Leonid Mashinskiy,","Adventure,Comedy,Drama,",,"February 10, 2018 (Russia)","Russia,","Russian,","Gorbushkiny Pni,",,,2h 8min,Color,,,,,,,
Daru,"Rio Sasaki,","Shûya Yoshimoto,",,"Action,",,2016 (Japan),"Japan,","Japanese,",,,,,Color,,,,,,,
Bongaram,"Krishnudu,Napolean,Santosh Parlawar,","Santosh Parlawar,",,"Romance,",,2012 (India),"India,","Telugu,",,,,2h 10min,Color,,,,,,,
Two Secrets,"Stars,Michael Conrad,Kristen Zachares,Daniel Miller,,","Gerald Fierst,Laurus Sutton,","Writers,Michael Conrad,Gerald Fierst,Jessica Gallo,,","Action,Fantasy,Horror,Mystery,",,,"United States,","English,","Nukulus Films,WAE Out There Productions,",,,47min,Black and White,,16:9 HD,,,,,
The Dress,"Julie Ankama,Gary Michael Horton,","Gary Horton,","Gary Horton,",,,"May 15, 2017 (United Kingdom)","United Kingdom,",,"Rockfield Pictures,",,"£150,000 (estimated)",2h 7min,Color,"Stereo,",16:9 HD,,,,,
Windows,,"Kevin Ford,",,,,"December 13, 2015 (United States)","United States,","English,","Mo-Freek,",,,1h 20min,Color,,,,,1,,
Piano Lessons,"Stars,Beverly Jean Abear,Matt Anderson,Nadia Angelini,,","Joe Morford,","Joe Morford,Mi Yo,","Drama,Mystery,Thriller,",,,"Canada,China,Philippines,United States,Vietnam,","English,",,,,1h 30min,Color,,,6.1/10,11,,,
Red Dragonflies,"Stars,Haruka Ashida,Jason Hui,Ng Xuan Ming,,","Jiekai Liao,","Jiekai Liao,","Drama,",,"May 5, 2011 (Singapore)","Singapore,","English,Malay,Mandarin,Japanese,","13 Little Pictures,",,,1h 36min,Color,"Stereo,",1.78 : 1,6.2/10,22,1,,
Endurance,"Stars,Gesley Alexis,Nashon Bellot,Lovely Joubert,,","Samuel Vincent,","Bradley Alcime,","Drama,",,"August 29, 2015 (United States)","United States,","English,","Lovely Films Production,",,"$60,000 (estimated)",,,,,,,,,
La silence,"Stars,Serges Betrang,Benjamin Eyebe,Angele Niat,,","Brice Fansi,",,"Drama,",,"June 8, 2020 (Cameroon)","Cameroon,","French,","Suncine Art,",,,1h 28min,Color,,,,,,,
Menuet,"María Canale,",,"Floriane Devigne,Fred Florey,","Drama,History,",,,"Switzerland,Argentina,","French,",,,,1h 12min,Color,,,,,,,
In Between,"Susan Gallagher,Sarah Vink,","Manuela Velez,","Manuela Velez,","Drama,",,"September 11, 2017 (United States)","United States,","English,",,,"$8,500 (estimated)",,,,,,,,,
Greenwood Adventure 2,,,,,,"May 29, 2016 (China)",,,,"$725,817",,,,,,,,,,
My Girl,,"Dean Bivins,","Dean Bivins,","Drama,",,"December 14, 2010 (United States)","United States,","English,","Cineguild Entertainment Group,",,"$750,000 (estimated)",,Black and White,,,,,,,
Silence,"Ramesh Bhat,Vaijanath Biradar,Thriller Manju,","Venugopal,",,"Drama,",,2012 (India),"India,","Kannada,",,,,,Color,,,,,,,
"She Loves Me, She Loves Me Not","Stars,Alice Pollack,Sam Tady,Andy Penn,,","Patrick Poe,","Patrick Poe,","Comedy,Drama,Romance,",,,"United States,",,,,,2h 27min,Color,,,,,,,
Dil Chemistry,"Hitarth Dave,Raval Manny,Vishal Solanki,","Stuti Shukla,","Shreyaa Shukla,","Drama,",,"February 16, 2018 (India)","India,","Gujarati,","Hello Productions,",,,1h 52min,Color,,,,,,,
African Christmas Journeys,,,,"Drama,",,"May 31, 2016 (South Africa)","South Africa,","English,",,,,1h 49min,Color,,,,,,,
Dante and Minnie,"Stars,Thomas Vita,Lauren Channel Allen,Holly Rochelle,,","Miceal Og O'Donnell,","Miceal Og O'Donnell,","Drama,",,,"United States,","English,","Cagesafe Productions,",,,1h 32min,Color,,,7.4/10,8,,,
A Maldição da Rosa,"Stars,Katharine Albuquerque,Amanda Almeida,Ricardo Dias,,","Thaís de Campos,","Carlos Fernando Barros,Vitor de Oliveira,","Drama,Mystery,",,"January 25, 2015 (Brazil)","Brazil,","Portuguese,","Segredos da Câmera,",,R$900 (estimated),50min,Color,,,,,,,
Humpty Dumpty Sat on a Wall and Many More Nursery Rhymes for Children,,,,"Animation,",,,"India,","English,","ChuChu TV Studios,",,,,Color,,,,,,,
Porcelain City,"Stars,Stephen Amos,Piper Coolidge,Sophiah Koikas,,","Sophiah Koikas,","Sophiah Koikas,","Comedy,Fantasy,Mystery,",,"June 11, 2012 (United States)","United States,","English,","Angel Country Production,",,"$2,000 (estimated)",59min,Color,,,,,,,
Semiprofesionales,"Stars,Teresa Aguirre,Viviana Alcántara,Pablo Almécija,,","Juan Antonio Anguita,","Juan Antonio Anguita,","Comedy,",,,"Spain,","Spanish,",,,"€2,000 (estimated)",,Black and White,"Stereo,",,5.6/10,15,,,
Second Hand,"Marko Dyrlich,Marc Fischer,Sophie Weikert,","Nikolas Jürgens,","Nikolas Jürgens,","Thriller,",,October 2015 (Germany),"Germany,France,","German,",,,,1h,Color,,,,,1,,
Alan Smithee's Frankenstein,"Stars,Vic Cicuta,Ramon Cordero,Leandro De la Torre,,","Germán Magariños,","Germán Magariños,","Horror,Sci-Fi,",,"December 15, 2012 (Argentina)","Argentina,","Spanish,","Gorevision Films,",,ARS 200 (estimated),50min,Black and White,,1.33 : 1,6.6/10,11,1,,
Drinking from Cups Not Meant for Us,"Stars,Seryne,John J. Palomino,Hector Ortiz,,","Everin James,Simone Smith,Azreen Zaman,","Writers,Donat De La Cruz,Chinea Jackson,Mark Jones Jr.,,","Comedy,Drama,Romance,",,,"United States,",,,,,51min,Color,,,,,,,
Historias de Guayaquil,"Stars,Estefany Alarcón,Geovanna Andrade,Edison Avila,,","Directors,Stefanny Baldeón,Xavier Chavarría,Alice Cortez Gavilanez,,","Writers,Stefanny Baldeón,Alan Garzón,Alice Cortez Gavilanez,,","Drama,",,"March 30, 2020 (Ecuador)","Ecuador,","Spanish,","Renacer Films,Overloaded Producciones,Fail Productions,",,,1h 10min,Color,,,,,,,
Ibn Badis,"Stars,Hassan Kechache,Hadjla Khelladi,Souhila Mallem,,","Basil Al-Khatib,","Rabah Drif,","Biography,",,"May 23, 2017 (Algeria)","Algeria,","French,Arabic,","Agence Algérienne pour le Rayonnement Culturel (AARC),",,,,Color,,,,,,,
Jhoyero,"Stars,Berenice Almaguer,Gerardo Dávila,Carlos Martínez,,","René Villarreal,","René Villarreal,","Drama,",,"August 30, 2015 (Mexico)","Mexico,","Spanish,","Cumbia Regia Films,",,"MX$3,850,000 (estimated)",1h 20min,Color,"D-Cinema 48kHz 5.1,",1.85 : 1,,,,,
Baruk,"Ali Ehghaghi,","Amirabas Moradmand,","Amirabas Moradmand,","Horror,",,"August 15, 2014 (Iran)","Iran,","Persian,","Phoenix Film Company,",,"IRR 20,000,000 (estimated)",,,,,,,,,
Ritu,"Stars,Raj Ballav Koirala,Malina Joshi,Reema Bishwokarma,,","Manoj Adhikari,","Sandeep Badal,","Drama,Romance,",E10+,"March 12, 2014 (India)","Nepal,India,","Nepali,Hindi,","Alp Entertainment,Planet3Films,Apil Bista Films,",,"$160,000 (estimated)",2h 9min,Color,,,7.1/10,26,,,
The Goldenhill Fortune,"Stars,Michelle Poole,Charles Poole,Ben Dudley,,","Michael Peake,","Michael Peake,","Comedy,",,,"United States,",,"Plum St. Productions,",,,,,,,,,,,
Dai 3 byôren no oni,"Stars,Hitomi Hanasaki,Yoshiko Hasegawa,Anna Horihata,,","Hiroyuki Kawasaki,","Hiroyuki Kawasaki,Ribon Kawasaki,","Horror,",,2011 (Japan),"Japan,","Japanese,","Arcadia Productions,",,,1h 29min,Color,,,,,,,
3. 2. 1,"Stars,Maftuna Abdullayeva,Abdushukur Abdurahmonov,Shahzoda Matchanova,,","Durdona Tulyaganova,",,"Romance,",,"March 19, 2012 (Russia)","Uzbekistan,","Uzbek,","Uzbekfilm,",,,,Color,,,7.8/10,12,,,
The Slackers,"An Yukun,Dong Yang,Jiahao Li,","Dikai Lu,","Dikai Lu,","Drama,Thriller,",,"April 28, 2018 (Canada)","China,","Chinese,","Heitong production,,",,"$4,000 (estimated)",1h 19min,Color,,,,,,,
Suttum Vizhi Sudare,,"Thilagar,",,,,May 2011 (India),"India,","Tamil,",,,,,Color,,,,,,,
Tabakoi - tabako de hajimaru koi monogatari,"Stars,Kumiko Endô,Akira Hibino,Zen Kajihara,,","Michinari Nakagawa,","Hisakatsu Kuroki,","Comedy,",,March 2012 (Japan),"Japan,","Japanese,","Tokyo Broadcasting System (TBS),Yoshimoto Kogyo Company,",,,,Color,,,,,,,
Ettrick,,"Jacques Perconte,",,,,"June 17, 2015 (France)","France,",,"Too Many Cowboys,",,,52min,Color,,,,,1,,
Hunter Green,"Stars,Brian Scott Carleton,Grace Glowicki,Scott Kuza,,","Anthony Pileggi,","Anthony Pileggi,","Drama,",,,"Canada,","English,",,,,1h 15min,Color,,,,,,,
Pahinga,,"Khavn,",,,,"September 3, 2011 (Philippines)","Philippines,",,"Filmless Films,Kamias Road,",,,1h 36min,,,,,,1,,
To 66,"Stars,Ashlyn Burrus,Anne-Sophie Dutoit,Shelley Starrett,,","Anne-Sophie Dutoit,","Anne-Sophie Dutoit,","Drama,Sci-Fi,",,,"United States,","English,","Anne-Sophie Films,",,,1h 40min,Color,,,,,,,
Dinosaur Jr: Bug Live at the 9:30 Club,"Lou Barlow,J. Mascis,Murph,","David Markey,",,"Music,",Not Rated,"February 21, 2012 (United States)","United States,","English,","We Got Power Films,",,,1h,Color,,16:9 HD,,,,,
Shady Fellows,"Stars,Joe Anderson Jr.,Oliver Augustin,Rasheem Brown,,","Michael Stoller,","Oliver Augustin,Lauren Stoller,Michael Stoller,","Drama,",,"April 20, 2018 (United States)","United States,","English,","A Castle of Contagion Production,A Michael Stoller Production,I Stole Her Films TV,",,$500 (estimated),,Color,,,,,,,
Dream Aura,"Robert Gilabert Cuenca,Rao Jiexiang,","Shuai Li,","Mou Shangang,","Romance,",,"May 6, 2013 (China)","China,","Chinese,",,,,,Color,,,,,,,
Stone Boat Exhausted,"Stars,Aileen Curtin,John Linnane,Andrew Moore,,","Michael Higgins,","John Moriarty,","Horror,",,"February 14, 2016 (Ireland)","Ireland,","English,","Open Night Cinema,",,"€5,000 (estimated)",57min,Black and White,"Stereo,",2.35 : 1,,,,,
Last Night in the ATL,"Stars,Steven L. Coard,Arianna Esquerre,Vincent Ford,,","Steven L. Coard,","Steven L. Coard,","Romance,",,"November 1, 2017 (United States)","United States,","English,","Color of Love Production,",,,,Color,,,,,,,
Purim: The Lot,"Stars,Raleigh West,James V. Roy,Valeriy Garkalin,,","Moshe Khusid,","Alexander Khusid,Moshe Khusid,","Animation,Drama,Family,History,",,"October 1, 2014 (United States)","United States,","English,","Good Hope Films,Reserve Palace Productions,Spiritual Opportunity Studio,",,,1h 5min,Color,,,6.5/10,39,,,
Satanee see pak,"Stars,Yanisa Arjpru,Piya Chaikaewkhao,Prasi Poonyamano,,","Boonsong Nakphoo,","Boonsong Nakphoo,","Drama,",,2012 (Thailand),"Thailand,","Thai,","Pla Pen Wai Thuan Nam Studio,",,,1h 43min,Color,,,8.1/10,16,1,,
Oakville,"Stars,Hope Briggs,Liz Culley,Dominique Dawson,,","Lisbon Okafor,","Writers,Kay Ewing Donato,Jeff Handy,Benedict Ives,,","Drama,",,"April 6, 2013 (United States)","United States,","English,",,,,1h 39min,Color,,,,,,,
Veera,"Mukul Dev,Rahul Dev,Ashish Vidyarthi,","Ayyappa P. Sharma,","Anil Kumar,","Drama,",,"March 29, 2013 (India)","India,","Kannada,","Ramu Enterprises,",,,2h 12min,Color,,,,,,,
Cozpar: All for One,"Stars,Michael Reynolds,Jinda Ruan,Sampson Anderson,,","Alex C. Green,","Alex C. Green,","Sci-Fi,",,"March 3, 2017 (United States)","United States,","English,","Chill Production Studio,",,,57min,Color,,,,,,,
In the Bell's Shadow,,"Mary Wycherley,Joan Davis,",,"Drama,",,May 2015 (Ireland),"Ireland,","English,",,,"€100,000 (estimated)",1h 15min,Color,,2.35 : 1,,,,,
Green on Green,"Stars,Rachel Dinan,Leah Cardenas,David Remus,,","Tom Knoblauch,","Tom Knoblauch,","Adventure,Comedy,",,"June 7, 2018 (United States)","United States,","English,","Fatherson Productions,",,,1h 30min,Color,,2.35 : 1,7.0/10,7,1,,
Glenn - Över Sjö & Strand,,"Anders Eriksson,Emil Eriksson,Mårten Gustafsson,",,"Action,Comedy,",,"December 4, 2010 (Sweden)","Sweden,","Swedish,",,,,1h 30min,Color,,,4.5/10,10,,,
Chasing,,,,,,"January 10, 2016 (South Korea)",,,,"$254,421",,,,,,,,,,
Something Medieval on Noop,"Duncan Dunscombe,","Duncan Dunscombe,","Duncan Dunscombe,",,,,"United States,Australia,United Kingdom,","English,",,,,1h 22min,Color,,,,,,,
A Nap belülröl süt,,"Zsuzsa Katona,Péter Nyeste,","Zsuzsa Katona,",,,2010 (Hungary),"Hungary,","Hungarian,",,,,52min,Color,,,,,,,
Love Evaluated,"Stars,Charles Adames,Eve L. Benton,Corrina Crade,,","Larry Greene,","Larry Greene,","Romance,",,"June 11, 2011 (United States)","United States,","English,","Indept Pictures,",,,1h 29min,,,,,,1,,
Pour vous servir,"Antoine Frioux,","Antoine Frioux,David Lacote,",,"Adventure,Sport,",,,"Spain,","French,",,,,55min,,,,,,,,
Palatak,"Ferdous Ahmed,Biswajit Chakraborty,Soumitra Chatterjee,","Nehal Dutta,","Nabendu Ghosh,","Drama,",,"July 27, 2012 (India)","India,","Bengali,",,,,,Color,,,,,,,
Dominating Love,"Stars,Michael Q. Schmidt,Kristina Sullivan,David Scott,,","Nefertiti Negron,","Nefertiti Negron,","Romance,",,"February 14, 2017 (United States)","United States,","English,",,,"$30,000 (estimated)",,Color,,,,,,,
Shaken,"David Baldwin,Jeannie Gee,","Daniel Sim Lind,","Daniel Sim Lind,","Drama,",,,"Australia,","English,","Diesel Immersive,",,,,Color,,,,,,,
The Tragedy of Jimmy Jimmy Kates,"Stars,Charles Philip Campuzano,Emilie Doering,Carmen Espinoza,,","Carmen Espinoza,","Carmen Espinoza,","Drama,",,"February 28, 2018 (United States)","United States,","English,","NPI Productions,",,"$24,000 (estimated)",,,,,,,,,
Pleasant People,"Stars,Jiyoung Lee,Josh Hall,Dave Marder,,","David Bonawits,","David Bonawits,","Drama,",,January 2011 (United States),"United States,","English,","East Main Video,",,"$2,000 (estimated)",1h 9min,Color,,,8.5/10,17,2,,
Suicider,,"Rustam Shoazimov,","Rustam Shoazimov,","Drama,Family,Mystery,",,,"Tajikistan,","Persian,",,,,1h 18min,Color,,,,,,,
The Fast One,"Stars,Steven Bryant,Jonathan Oscar Garcia,Christian Hopson,,","Peyton Paulette,","Peyton Paulette,","Thriller,",,"April 23, 2016 (United States)","United States,","English,",,,"$100,000 (estimated)",1h 15min,Color,"Stereo,",2.35 : 1,,,,,
The Boyfriend Monologues,"Stars,Laurie Goodman,Elizabeth Kotite,Julia Malifu,,",,,,,"August 5, 2016 (United States)","United States,","English,","HerTube Media Network,",,"$5,000 (estimated)",47min,Color,,,,,,,
Ta psila vouna,"Kaiti Finou,Konstantinos Sinetos,",,,,,,,,,,,,,,,,,,,
Little Brother,,"Serik Aprimov,","Serik Aprimov,","Drama,",,August 2013 (Italy),"Kazakhstan,",,,,,1h 35min,Color,,,,,,,
Sunset Stud,"Stars,MacHael Barellier de Vos,Inti Barrios,Catherine Bernard,,","Nick Ananas,","Edgard Neris,","Adventure,Drama,Romance,",,,"Canada,","French,",,,,1h 17min,,,,,,,,
Loopy,,,,,,,,,,,,,,,,,,,,
Cardiff City Season Review 2012-2013,"Cardiff City F.C.,",,"Graham Keyte,","Sport,",,"June 10, 2013 (United Kingdom)","United Kingdom,","English,","ILC Media,",,,,Color,,,,,,,
"Goodbye, Little Betty","Daniela Melin,","Ronny Carlsson,","Ronny Carlsson,Daniela Melin,","Drama,Horror,Sci-Fi,",,"March 13, 2013 (Sweden)","Sweden,","Swedish,","Film Bizarro Productions,",,,50min,,,16:9 HD,5.7/10,30,1,1,
The Bulldog 9:15,"Torsten Colijn,Sanne Verbaant,","Patrick Wessels,",,"Crime,",,"March 22, 2011 (Netherlands)","Netherlands,","Dutch,",,,,,Color,,,,,,,
How to Win the Internet and Other Questionable Endeavors,"Stars,James Aitchison,Laura Burns,Mauro Canepa,,","Vincent C. Morreale,","Writers,Paul Ezzy,Dan Fury,Lara Fury,,","Comedy,",,"January 19, 2013 (United States)","United States,","English,","Paracelsus Films,",,,1h 35min,Color,,,,,,,
Murderland,"Stars,Don Calabrese,Ken Kushner,Craig Cassano,,","Ken Kushner,","Ken Kushner,","Drama,",,"March 1, 2014 (United States)","United States,","English,","Massive Film Project,",,,,Color,,,,,,,
Emaindhi Naalo,"Stars,Tanikella Bharani,Brahmanandam,Rajendra Prasad,,","Rajendra Kumar,",,"Comedy,",,2010 (India),"India,","Telugu,",,,,,Color,,,,,,,
Thirst for love,,"Shunsuke Yamamoto,",,"Crime,Drama,Fantasy,Romance,Thriller,",,,"Japan,","Japanese,",,,,1h 48min,Color,,,,,,,
"God, I Miss You","Stars,Robert Mercado,Ann Bonner,Doug Drucker,,","Robert Mercado,","Robert Mercado,","Comedy,Drama,Fantasy,Sci-Fi,",,"September 19, 2014 (United States)","United States,","English,",,,"$10,000 (estimated)",1h 12min,Color,,,,,,,
Ekurêru: Okashi hôrô-ki,"Stars,Saori,Kazutaka Yoshii,Akinori Andô,,","Akio Kondô,","Writers,Shigeru Nishimura,Nobuko Nishii,Etsuko Izumi,,","Drama,",,"August 31, 2012 (Taiwan)","Japan,","Japanese,","Akita Film Center,Cinema Dist,Cinema Tohoku,",,"$1,500,000 (estimated)",1h 47min,Color,,,5.1/10,33,1,,
Rainbow Gurl,"Chrisentiae Saint-Piaf,","Chrisentiae Saint-Piaf,","Chrisentiae Saint-Piaf,","Adventure,Musical,",,"January 8, 2016 (Australia)","Australia,","English,",,,A$100 (estimated),,Color,,,,,,,
Egypt October 2017,,"Jonas Lohrmann,",,"Biography,",,"October 30, 2017 (Egypt)","Egypt,","German,",,,,,,,,,,,,
Family portrait with sunflower,,"Vittorio Pavoncello,",,"Drama,",,,"Italy,","Italian,",,,,1h 15min,Color,,,,,,,
Da Dealership,"Stars,Levon Allen,R.J. Atkins,Kenan Baluken,,","Darius T. Smith,","Darius T. Smith,","Comedy,",,"August 11, 2018 (United States)","United States,",,"Beginning2End Productions,",,,1h 30min,Color,,,,,,,
Autumn Rage,"Stars,Nelson Irizarry,S. Jamie Snider,Mike Nevmertzskyy,,","Marshall Ever,","Marshall Ever,","Horror,",,"December 7, 2010 (United States)","United States,","English,","5th Underground,",,$500 (estimated),1h 10min,Color,,,,,,,
Un Chat Rêve Du Nord,,"Diogo Oliveira,","Diogo Oliveira,","Drama,",,2020 (France),"France,","French,Spanish,Portuguese,","Matière Revue,",,,1h 13min,Color,,,,,,,
Tatoeba remon,"Stars,Narimi Arimori,Gô Ayano,Hanae Kan,,","Ikki Katashima,",,"Drama,",,"December 15, 2012 (Japan)","Japan,","Japanese,","Dog Sugar,",,,2h 18min,Color,,,,,,,
Iskopaemyy,"Stars,Andrey Shcherbovich-Vecher,Yana Kraynova,Ekaterina Terentyeva,,","Andrey Shcherbovich-Vecher,","Andrey Shcherbovich-Vecher,","Drama,",,"October 19, 2012 (Russia)","Russia,","Russian,","Art Vecher Film Studio,",,"$57,000 (estimated)",1h 29min,,,,,,,,
A Heart's Journey,"Stars,Nicole Taylor,Debra Van Gaalen,Corey Chainey,,","Kristina Garant,","J. Robert Bellamy,","Drama,",Not Rated,"May 9, 2015 (Canada)","Canada,","English,","JX3 Media Productions,",,"CA$4,000 (estimated)",1h 12min,Black and White,,,,,,,
Prank Calls: Video Collection,"Stars,Chris Rex,Cody Burns,Brandon Burns,,","Chris Rex,",,"Comedy,",PG,"May 1, 2011 (United States)","United States,","English,","Spike Industries,",,,1h 41min,,,4:3 Full Frame,7.4/10,73,4,,
Dedicated,"Stars,Bill H. Bailey,Kyle Dal Santo,Harold Dennis,,","Mike Scott,","Mike Scott,Vincent Shade,","Comedy,",,,"United States,","English,","Scotts Media,",,"$6,000 (estimated)",1h 9min,Color,,,,,,,
The Encounter (Uchral),,"Chinguun Balkhjav,","Chinguun Balkhjav,",,,2015 (Mongolia),"Mongolia,","Mongolian,","UBS TV,",,$70 (estimated),,,,,,,,,
The Code,"Stars,Antonis Antoniou,Petros Antoniou,Nektaria Apergi,,","George Voulgaris,","George Voulgaris,","Action,Adventure,Sci-Fi,",,"February 22, 2014 (Cyprus)","Greece,","Greek,","VAG Movietec Productions,",,"€145,000 (estimated)",,Color,,,,,,,
Etegan: Bashkir legends in songs,"Liana Khabibullina,","Aysyuak Yumagulov,",,"Music,War,",,,"Russia,",,,,,51min,,,,,,,,
Maa Oorilo Okasari Emi Jarigindante,"Kuntal,Sree Siri,","Chandu,",,"Drama,",,"April 20, 2012 (India)","India,","Telugu,",,,,,Color,,,,,,,
#50Fathers,"Stars,Anthony Akins,Heidi Azaro,Antonio Barrios,,","Joddy Eric Matthews,","Joddy Eric Matthews,","Comedy,",,July 2015 (United States),"United States,","English,","Racer Films,Triangle Park Entertainment,",,,2h 12min,Color,,2.35 : 1,,,,,
Malcolm Romero,"Stars,Carlos Isa,Rímini Erre,Julián Reinoso,,","Pablo Carlassare,","Pablo Carlassare,","Drama,",,"June 14, 2014 (Argentina)","Argentina,","Spanish,",,,,1h 17min,Black and White,,,,,,,
Son ellas,"Stars,Lucila Brea,Delfina Chiapparo,Agustina Cámara,,","Francisco Chiapparo,","Francisco Chiapparo,","Comedy,",,"April 1, 2017 (Argentina)","Argentina,","Spanish,",,,,1h 29min,Color,,,,,,,
