title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Pobeg iz Moskvabada,"Stars,Maria Mashkova,Djavakhir Zakhirov,Aleksandr Grishin,,","Darya Poltoratskaya,","Yusup Razykov,","Drama,",,"August 8, 2015 (Russia)","Russia,","Russian,","Vsemirnye russkie studii,",,,1h 31min,Color,,,4.5/10,18,,,
Road Kill,"Stars,Bob Golub,Mike Ivy,Randy Lubas,,","Bob Golub,Mark Mannschreck,","Bob Golub,","Biography,Comedy,Horror,",,"September 11, 2017 (United States)","United States,","English,",,,,1h 9min,Color,,,6.6/10,22,2,,
Prazdnik vzaperti,"Vladimir Vdovichenkov,","Sergey Tkachev,",,"Comedy,",,"December 13, 2012 (Russia)","Russia,","Russian,",,"$26,632","$600,000 (estimated)",1h 17min,Color,,1.85 : 1,5.5/10,41,,,
Maru,"Stars,Kaoru Iida,Masatoshi Kihara,Shu Ikeda,,","Yohei Suzuki,","Yukiko Koyama,Yohei Suzuki,","Drama,",,September 2014 (Japan),"Japan,","Japanese,",,,,1h 29min,Color,,,5.7/10,37,1,3,
Far from Us,"Stars,Mateo Giménez,Juan Hintz,Marcia Majcher,,","Laura Bierbrauer,Verena Kuri,","Laura Bierbrauer,Verena Kuri,","Drama,",,"February 13, 2019 (Germany)","Argentina,","Spanish,German,Portuguese,","Nabis Filmgroup,",,"€500,000 (estimated)",1h 15min,Color,,,6.0/10,19,1,,
Vestigio,"Stars,Félix Almada,Tomás Castagno,Marcelo Risatti,,","Guillermina Lanfranco,","Javier Canale,Guillermina Lanfranco,","Drama,Mystery,Thriller,",,"August 28, 2016 (Argentina)","Argentina,","Spanish,","Niño Perro Producciones,",,,1h 40min,Color,,2.35 : 1,8.2/10,45,,,
Kron,,"Milton Moses Ginsberg,","Milton Moses Ginsberg,",,,,"United States,","English,","High Bridge Films,",,"$5,000 (estimated)",49min,Color,,16:9 HD,,,,,
Hikari no tabi,"Stars,Ellen,Saki Gotô,Riku Hagiwara,,","Thunder Sawada,","Thunder Sawada,","Drama,",,"September 16, 2017 (Japan)","Japan,","Japanese,","Cinemascope,Magnetize,Ten Carat,",,,1h 31min,Black and White,,,,,3,,
Trai Tim Quai Vat,,,,,,"November 14, 2020 (Vietnam)",,,,"$548,175",,,,,,,,,,
AS:VS Back in Business,"Stars,David Hammons,Joshua Brunson,Duane P. Craig,,","Jim Weter,","Duane P. Craig,Jim Weter,","Comedy,Horror,",,"April 4, 2015 (United States)","United States,","English,","Cellardoor Cinema,",,,1h 46min,Color,"Dolby Digital,",16:9 HD,6.1/10,315,5,,
Cowards,"Max Darkosadze,","Max Darkosadze,",,"Action,",,,"United States,","English,",,,"$80,000 (estimated)",,Color,,,,,,,
Vozvrashchenie Buratino,"Stars,Lida Avetisyan,Madlen Dzhabrailova,Nonna Grishaeva,,","Ekaterina Mikhaylova,","Ekaterina Mikhaylova,Vadim Zhuk,","Animation,",,"April 25, 2013 (Russia)","Russia,","Russian,","Animose Studio,UMP Studio,","$127,568",,1h 16min,Color,,,3.1/10,83,,,
Valley of Zombies,"Stars,Boon McKenzie,Zuri Starks,Marisa DeVonish,,","Marisa DeVonish,","Marisa DeVonish,","Comedy,",,"December 1, 2020 (United States)","United States,","English,","Yellow Dragon Productions,",,"$50,000 (estimated)",1h 30min,Color,,,,,,,
Deep Don't Breathe & U Rescued Me AU Trap A,"Alorangel,","Angel,",,"Music,",,"September 5, 2019 (United States)","United States,","English,","EARecords,",,,,Color,,,,,,,
Kanika,"Stars,Sharad Ponkshe,Smita Shewale,Chaitrali Gupte,,","Pushkar Manohar,","Pushkar Manohar,","Horror,",,"March 31, 2017 (India)","India,","Marathi,",,,,1h 52min,Color,,,4.5/10,108,3,,
Torment,"Stars,Joseph Ruiz,Frank Merlino,David Francis Calderazzo,,","Steve Rahaman,","Steve Rahaman,","Thriller,",R,"January 3, 2014 (United States)","United States,","English,","Falling Leaves Productions,Rahaman Studios,",,"$75,000 (estimated)",1h 31min,,"Dolby Digital,",16:9 HD,6.5/10,44,1,,
Broker 2,"Krishna Murali Posani,Madala Ravi,","Maddineni Ramesh,",,"Drama,",,"May 30, 2014 (India)","India,","Telugu,",,,"₹15,000,000 (estimated)",2h 10min,Color,,,,,,,
The Senator,"Stars,Michele Ashton,Percy Bell,T. Brisbane,,","Alan Dysert,","Alan Dysert,","Comedy,",,,"United States,","English,",,,,56min,Color,,,8.2/10,8,,,
Zaak: De Zutter,"Stars,Katrijn Govaert,Bert Van Nieuwenhuyse,Tim David,,","Emmanuel De Coster,Ingrid De Vos,","Katrien Ryserhove,","Crime,History,",,"April 20, 2016 (Belgium)","Belgium,","Dutch,French,Flemish,",,,"€300,000 (estimated)",2h 5min,Color,,2.39:1,6.4/10,27,,,
La belle époque,"Stars,Gaël Sall,Archibald Smith,Selim Zahrani,,","Albert Tudieshe,",,,,"October 22, 2014 (France)","France,","French,","Black-Room Production,",,,1h 26min,Color,,,,,,,
Black Roses,"Stars,Trevor Bartlett,Demien,Katie Hughey,,","Chase Breedlove,","Chase Breedlove,","Thriller,",,"July 4, 2015 (United States)","United States,","English,",,,"$6,000 (estimated)",,Color,,,,,,,
Mashi,"Stars,Sandeep k Chandran,Anil Kumar Kailath,Yohan Kurian,,","Yohan Kurian,","Yohan Kurian,","Crime,Drama,Thriller,",,"December 20, 2020 (India)","India,","Malayalam,",,,"₹500,000 (estimated)",,Color,,,,,,,
Ricky & Melinda,"Stars,Maurice Compte,Yelyna De Leon,Jesse Garcia,,","Richard Salazar,","Yelyna De Leon,","Family,",,"May 1, 2014 (United States)","United States,","English,",,,"$250,000 (estimated)",1h 34min,,,1.85 : 1,,,,,
KEMI,"Stars,Edison Keith Abitegeka,Kiyaga Aisha,Kabagenyi Beatrice,,","Kizito Samuel Saviour,","Josephine Kabahuma,Kizito Samuel Saviour,","Drama,Mystery,Thriller,",,"March 8, 2020 (Uganda)","Uganda,",,"Faisha Pictures International,Kyooto,",,"$50,000 (estimated)",1h 26min,Color,,2.35 : 1,,,2,,
Soap on a Rope,"Stars,Lindsey Ahern,Ross Araujo,Mark Booker,,","TheWorldFamous Ike,","TheWorldFamous Ike,","Comedy,Crime,Drama,",,"January 27, 2011 (Denmark)","United States,","English,","WorldFamous Entertainment,",,,1h 42min,Color,,,8.1/10,15,,,
54:17,"Stars,Frantzy Moreau,Jo Marie Payton,Michael J. Sanchez,,","Frantzy Moreau,","Frantzy Moreau,","Action,Adventure,Drama,Fantasy,Sci-Fi,",,,"United States,","English,","Cypha Cinema,Firecreek Entertainment,",,"$100,000 (estimated)",1h 27min,Color,,,,,,,
Mi última misión,"Stars,Guillermo Quintanilla,Daniel Dorman,Tania Selmen,,","José Luis Vera,",,"Action,",,2011 (Mexico),"Mexico,","Spanish,","Doorman Films,",,,,Color,,,,,,,
Jilebi,"Stars,Vaijanath Biradar,Vijay Chendoor,H.G. Dattatreya,,","Lucky Shankar,","Lucky Shankar,","Thriller,",,"March 3, 2017 (India)","India,","Kannada,","Shivashankar Film Factory,",,,2h,Color,,2.35 : 1,,,,,
Youngraad,"Stars,Monika Chaudhari,Chaitanya Deore,Shantanu Gangane,,","Makarand Mane,","Writers,Aziz Madari,Makarand Mane,Bhushan Patil,,","Drama,",,"July 6, 2018 (India)","India,","Marathi,","Vitthal Patil Productions,",,,1h 56min,Color,,,6.0/10,8,1,,
Black Mamba,"Stars,Nia Ali,Lamar Bumbrey,Gregory Campbell,,","Belinda M. Wilson,","Belinda M. Wilson,","Fantasy,",,"June 16, 2016 (United States)","United States,","English,","Tapestry Entertainment,",,"$30,000 (estimated)",1h 41min,,,16:9 HD,,,,,
The Last Soul on a Summer Night,"Stars,Andre Truss,Keisha Dyson,Jay DeVon Johnson,,","Daniel Nearing,","Sherwood Anderson,Daniel Nearing,Rudy Thauberger,","Drama,Mystery,",Not Rated,"October 12, 2012 (United States)","United States,","English,","923 Films,",,"$300,000 (estimated)",1h 25min,Color,"Stereo,",,7.0/10,15,,,
