title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Collar,"Stars,Nick Principe,Aidan Dee,Mihola Terzic,,","Ryan Nicholson,","Ryan Nicholson,","Horror,",,"March 15, 2014 (Canada)","Canada,","English,","Plotdigger Films,Penny Spent Films,Illusions Unlimited Films,",,"$25,000 (estimated)",1h 29min,Color,,,3.9/10,172,6,22,
Isis Rising: Curse of the Lady Mummy,"Stars,Priya Rai,James Bartholet,Michael C. Alvarez,,","Lisa Palenica,","Ted Chalmers,Annie T. Conlon,Lisa Palenica,","Horror,",,"January 18, 2013 (India)","United States,","English,","Platinum Assassin Film & Multimedia,Platinum Assassin Productions,Tom Cat Films,",,,1h 21min,Color,,,1.8/10,396,15,4,
Orange: Mirai,"Stars,Makoto Furukawa,Kana Hanazawa,Seiichiro Yamashita,,","Hiro Hamasaki,","Ichigo Takano,","Animation,Drama,Romance,Sci-Fi,",TV-14,"November 18, 2016 (Japan)","Japan,","Japanese,","TMS Entertainment,Telecom Animation Film Company,",,,1h 3min,Color,,,7.2/10,640,4,,
Alice Müzikali,"Stars,Serenay Sarikaya,Ezgi Mola,Enis Arikan,,","Serdar Bilis,","Aylin Aliveren,Lewis Carroll,Murat Uyurkulak,","Musical,",,"February 7, 2019 (Turkey)","Turkey,","Turkish,","BKM,Besiktas Kültür Merkezi (BKM),",,,,Color,"Stereo,",,6.4/10,256,1,,
Yi jiu si er,"Stars,Guoli Zhang,Hanyu Zhang,Wei Fan,,","Xiaogang Feng,","Zhenyun Liu,","Drama,",IIB,"December 6, 2012 (Hong Kong)","China,","Mandarin,English,Japanese,","China Film Group Corporation (CFGC),Emperor Film Production,Huayi Brothers Media,","$918,487","$33,000,000 (estimated)",2h 25min,Color,"Dolby Digital,Dolby Atmos,",2.35 : 1,6.8/10,3.3K,20,42,41
Odeya,"Stars,Chikkanna,Devaraj,Sadhu Kokila,,","M.D. Sridhar,",,"Action,Drama,",,"December 12, 2019 (India)","India,","Kannada,","Sandesh Productions,",,,2h 44min,Color,,2.39 : 1,4.4/10,391,6,2,
A Dim Valley,"Stars,Robert Longstreet,Rosalie Lowe,Rachel McKeon,,","Brandon Colvin,","Brandon Colvin,","Comedy,",,"April 25, 2020 (United States)","United States,","English,","Moss Garden Productions,",,,1h 32min,Color,,1.85 : 1,7.2/10,27,4,,
Ashes,"Stars,Luke Evans,Lesley Manville,Jodie Whittaker,,","Mat Whitecross,","Paul Viragh,","Drama,Mystery,Thriller,",,"January 23, 2014 (South Korea)","United Kingdom,","English,","CinemaNX,Fiesta Productions,Isle of Man Film,",,,1h 40min,Color,,,5.5/10,669,11,3,
Sister,"Stars,Reid Scott,Serinda Swan,Grace Kaufman,,","David Lascher,","Todd M. Camhe,David Lascher,","Drama,Family,",Not Rated,"April 25, 2014 (United States)","United States,","English,",,,,1h 49min,Color,,,6.7/10,318,8,,
Remélem legközelebb sikerül meghalnod:),"Stars,Kristóf Vajda,Szilvia Herr,Csaba Polgár,,","Mihály Schwechtje,","Mihály Schwechtje,","Drama,Thriller,",,"September 13, 2018 (Hungary)","Hungary,","Hungarian,English,","Amego Film,KMH Film,","$54,305",,1h 36min,Color,,4:3,7.1/10,2.1K,7,7,
