title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
12 Nights with the Grulems,"Stars,Dani Thompson,Honey Holmes,Justin Hayward,,","Richard Gething,","Richard Gething,Dean Scanlon,","Horror,",,"March 31, 2017 (United Kingdom)","United Kingdom,","English,",,,"£100,000 (estimated)",,Color,,,6.6/10,12,,,
Sweet Leaf,"Stars,Zane Byrdy,Jimmy Chung,Kyle Dones,,","Julian Grant,","Julian Grant,","Crime,Drama,Thriller,",Not Rated,"October 11, 2013 (United States)","United States,","English,",,,,1h 32min,Color,,,5.8/10,17,2,,
Women in Motion,"Stars,Alex Gough,Kristina Groves,Mellisa Hollingsworth,,","Rory Hinds,","Tara McNeil,","Sport,",,"December 12, 2011 (Canada)","Canada,","English,","HBW Entertainment,",,"CA$120,000 (estimated)",1h,Color,,,,,3,,
Wu zhi xia nian,"Stars,Namron,Azman Hassan,Mislina Mustaffa,,","Chui Mui Tan,","Chui Mui Tan,","Drama,",,"September 12, 2011 (Latvia)","Malaysia,","Malay,","Da Huang Pictures,",,,1h 27min,Color,,1.85 : 1,6.4/10,34,1,,
Cerulean,"Stars,David Genat,Phoebe L Dunn,Paul C. Kelly,,","Eric Stafford,","Maggie Hinton,Eric Stafford,","Sci-Fi,",,2017 (United States),"United States,","English,",,,,,Color,,,,,,,
Orderly Disorders,"Stars,Olivia Aurora,Vincent Caprio,Luca De Checchi,,","Joshua Nelson,","Joshua Nelson,","Drama,",,"November 28, 2020 (United States)","United States,","English,","LAS Productions,",,,50min,Color,,,,,,,
Seputih Cinta Melati,"Stars,Argo,Asrul Dahlan,Naomi Ivo,,","Ari Sihasale,","Ari Sihasale,","Drama,Family,",,"July 24, 2014 (Indonesia)","Indonesia,","Indonesian,","Alenia Pictures,",,,,Color,,,,,,,
Young Female Warrior,"WeiShan Cheng,RuiJun Li,YunHan Lu,","Wenhao Li,",,"Family,War,",,"January 25, 2019 (China)","China,","Mandarin,",,"$127,410",,1h 38min,Color,,,,,,,
Devuelveme La Vida,"Stars,Miranda Abdelnour,Nena Abdelnour,Sebastian Andrade,,","Alain Maiki,","Daniel Cedeño,Alain Maiki,","Drama,",Not Rated,"January 15, 2016 (Venezuela)","United States,Venezuela,","Spanish,","Amz Venezuela,Epic In Motion,",,"$250,000 (estimated)",1h 34min,,,,6.9/10,22,,,
Blueman,,"André Kuenzy,Alberto Veronese,",,"Comedy,Drama,Fantasy,",,"February 29, 2012 (Sweden)","Switzerland,Thailand,India,United States,United Kingdom,Netherlands,Sweden,Mexico,Norway,Russia,Japan,Hungary,France,",,"Ombud Films,",,,1h 23min,Color,,,,,,,
The Center of the World,"Stars,Anne-Marie Binette,Édith Côté-Demers,Gilbert Dumas,,","Michel Cordey,","Michel Cordey,","Drama,",,,"Canada,","French,",,,,1h 26min,Color,"Stereo,",2.35 : 1,,,,,
Shenbaga Kottai,"Jayaram,Ramya Krishnan,Sampath Raj,","Kannan Thamarakkulam,",,,,"December 16, 2016 (India)","India,","Tamil,","Harshini Movies,",,,,Color,,,,,,,
