title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
The Big Kitty,"Lisa Barmby,Tom Alberts,","Tom Alberts,Lisa Barmby,","Tom Alberts,","Comedy,",,,"Australia,France,","English,",,,,1h 9min,Color,,,,,1,,
Elements of Matter,"Stars,Jonney Ahmanson,Shaughn Buchholz,Cassi Colvin,,","Assaf Ben Shetrit,","Assaf Ben Shetrit,","Comedy,Family,Romance,",TV-MA,"February 27, 2018 (United States)","United States,","English,","Fooya Films,Schema Media,",,"$210,000 (estimated)",1h 37min,Color,,,4.0/10,72,1,,
A Summer to Remember,"Stars,Makenna Weyburne,Cameron Judd,Kayla Elizabeth,,","Larry D. Williams II,","Jeff Frey,","Drama,",,"June 21, 2020 (United States)","United States,","English,","One Stoplight Productions,",,,,Color,,,,,,,
Not Alone,"Stars,Lucy Benjamin,Alexandra Moen,Bill Ward,,","Tristan Versluis,","Tim Major,Andy Thompson,Tristan Versluis,","Horror,",,"October 5, 2015 (United Kingdom)","United Kingdom,","English,","Dead On Arrival Digital,Happy Hour Films,",,,1h 20min,Color,,2.39:1,2.5/10,208,8,3,
Gold Fools,"Stars,Kalos Cluff,Travis Cluff,Vince Cosentino,,","Travis Cluff,","Travis Cluff,","Adventure,Drama,Family,",,"July 6, 2012 (United States)","United States,","English,","Tremendum Pictures,",,,1h 20min,Color,,,7.6/10,43,1,,
Jia aur Jia,"Stars,Richa Chadha,Kalki Koechlin,Arslan Goni,,","Howard Rosemeyer,","Mudassar Aziz,Farahjaan Sheikh,","Drama,",,"October 27, 2017 (India)","India,","Hindi,English,","Bohra Bros Productions,Bread Butter Cinemaz,Bread Butter Cinemaz,",,"₹129,000,000 (estimated)",1h 33min,Color,,,4.4/10,171,3,4,
The Sexy City,"Stars,Fauzi Baadila,Baim,Edward Fernandez,,","Helfi C.H. Kardit,","Helfi C.H. Kardit,","Drama,",,"March 25, 2010 (Indonesia)","Indonesia,","Indonesian,","Virgo Putra Film,",,,,Color,,,,,,,
Taptapadi,"Veena Jamkar,Shruti Marathe,Kashyap Parulekar,","Sachin Baliram Nagargoje,","Sachin Baliram Nagargoje,","Drama,",,"March 28, 2014 (India)","India,","Marathi,",,,,2h 6min,Color,,,7.2/10,9,,,
Firetrail,"Stars,Jezibell Anat,Gabriel Baxley,Debra Carlsen,,","Christopher Forbes,","Christopher Forbes,Lydia Hawke,","War,Western,",R,"November 1, 2014 (United States)","United States,","English,","Forbesfilm,",,"$400,000 (estimated)",1h 54min,Color,,,2.6/10,42,2,,
Jejak Cinta,"Stars,Baim Wong,Prisia Nasution,Zora Vidyanata,,","Tarmizi Abka,","Faozan Rizal,","Drama,",,"September 6, 2018 (Indonesia)","Indonesia,","Indonesian,","Scene Films,Trazz Picture,",,,1h 40min,Color,,,,,1,,
Shob Bhooturey,"Stars,Ambarish Banerjee,Gambhira Bhattacharya,Biswajit Chakraborty,,","Birsa Dasgupta,","Kallol Lahiri,","Horror,",,"September 8, 2017 (India)","India,","Bengali,","SVF Entertainment,",,"₹16,000,000 (estimated)",1h 55min,,,2.35 : 1,5.4/10,197,4,,
Piata pora roku,"Stars,Ewa Wisniewska,Marian Dziedziel,Andrzej Grabowski,,","Jerzy Domaradzki,","Natalia Pryzowicz,","Drama,",,"December 26, 2012 (Poland)","Poland,","Polish,","Wytwórnia Filmów Dokumentalnych i Fabularnych (WFDiF),","$131,982",,1h 36min,Color,,,6.3/10,160,1,,
