title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Achcham Yenbadhu Madamaiyada,"Stars,T.R. Silambarasan,Manjima Mohan,Baba Sehgal,,","Gautham Vasudev Menon,","Gautham Vasudev Menon,","Action,Romance,Thriller,",,"November 11, 2016 (India)","India,","Tamil,","Dwaraka Creations,Ondraga Entertainment,Photon Kathaas,","$95,375",,2h 15min,Color,,,6.5/10,2.2K,9,10,
Idhu Namma Aalu,"Stars,T.R. Silambarasan,Nayanthara,Andrea Jeremiah,,","Pandiraj,","Pandiraj,","Comedy,Romance,",,"May 27, 2016 (India)","India,","Tamil,","Chimbu Cine Arts,Pasanga Productions,","$19,873","₹200,000,000 (estimated)",2h 17min,Color,,,5.3/10,640,2,6,
Semur: Seytanin Kabilesi,"Stars,Gurkan Arikboga,Aydan Cakir,Asunur Demirhan,,","Gökhan Aksu,",,"Horror,",,"August 18, 2017 (Turkey)","Turkey,","Turkish,","Ayhan Ulam Film Yapim,","$61,493","TRL 400,000 (estimated)",1h 30min,Color,,,5.5/10,66,,,
Wally Got Wasted,"Stars,Patrick Cavanaugh,Adam William Ward,Aaron Groben,,","Adam William Ward,","Seth Hymes,Adam William Ward,","Comedy,",,"January 15, 2019 (United States)","United States,","English,","Ward Productions,",,"$100,000 (estimated)",1h 39min,Color,,,4.6/10,328,44,1,
Harpiks,"Stars,Vivelill Søgaard Holm,Peter Plaugborg,Sofie Gråbøl,,","Daniel Borgman,","Bo Hr. Hansen,Ane Riel,","Thriller,",,"December 12, 2019 (Denmark)","Denmark,","Danish,","Zentropa Productions 2,Adomeit Film,",,"DKK 17,500,000 (estimated)",1h 32min,Color,,2.35 : 1,5.2/10,210,8,,
Aadhi Bhagavan,"Stars,Jayam Ravi,Neetu Chandra,Sudha Chandran,,","Ameer Sultan,","Ameer Sultan,","Action,Crime,Thriller,",Not Rated,"February 22, 2013 (India)","India,","Tamil,Hindi,Telugu,Thai,","Anbu Pictures,",,,2h 37min,Color,,,5.4/10,592,12,2,
Pizza II: Villa,"Stars,Ashok Selvan,Sanchita Shetty,Nassar,,","Deepan Chakravarthy,","Deepan Chakravarthy,Manikandan,","Horror,Thriller,",,"November 14, 2013 (India)","India,","Tamil,","Thirukumaran Entertainment,","$2,800,000",,1h 42min,Color,"Dolby Atmos,",,6.4/10,606,6,1,
Côpusu pâtî,"Stars,Ryôsuke Ikeoka,Rina Ikoma,Jun,,","Masafumi Yamada,","Yoshimasa Akamatsu,","Horror,",,"August 1, 2015 (Japan)","Japan,","Japanese,",,,,1h 33min,Color,,1.78 : 1,4.7/10,443,4,3,
The Ballerina,"Stars,Isabella Pullen,Steve Pullen,Peggy Pullen,,","Steve Pullen,","Steve Pullen,","Drama,Horror,Thriller,",Not Rated,"October 20, 2017 (United States)","United States,","English,",,,,1h 46min,Color,,2.39:1,4.5/10,479,28,3,
Lockdown,"Stars,Michael Paré,Bai Ling,Michael Wainwright,,","Massimiliano Cerchi,","Massimiliano Cerchi,Rod Smith,","Action,Drama,",,2019 (United States),"United States,","English,","High Point Pictures,Safier Entertainment,",,"$1,000,000 (estimated)",,Color,,,6.3/10,25,,,
