title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Joulumaa,"Stars,Milka Ahlroth,Anna Paavilainen,Mari Rantasila,,","Inari Niemi,","Inari Niemi,","Comedy,Drama,",,"December 1, 2017 (Finland)","Finland,","Finnish,","Helsinki-Filmi,Helsinki-Filmi,","$313,808",,1h 32min,Color,,2.35 : 1,6.0/10,306,1,2,
Libre échange,"Stars,Carole Bouquet,Julie Depardieu,Serge Gisquière,,","Serge Gisquière,","Serge Gisquière,","Comedy,",,"December 22, 2010 (France)","France,","French,","Chapter 2,ARP Sélection,Bidibul Productions,","$293,115","€6,000,000 (estimated)",1h 15min,Color,,,4.6/10,102,2,,
Dragonwolf,"Stars,Kazu Patrick Tang,Johan Kirsten,Macha Polivka,,","Raimund Huber,","Raimund Huber,Johan Kirsten,","Action,",Not Rated,"October 31, 2013 (Thailand)","Thailand,","English,","Motionpictures,",,"$3,400,000 (estimated)",2h,Color,,,3.0/10,526,10,10,
Evil Under the Skin,"Stars,Helene Udy,Carl Bailey,Pamela Sutch,,","Jeffrey Schneider,","Luc Bernier,","Horror,",Unrated,"June 1, 2019 (United States)","United States,","English,","Masch,WJD films,",,,1h 30min,Color,"Dolby Digital,",16:9 HD,2.7/10,144,17,12,
Romeo & Juliet,"Stars,Dallin Major,Devin Neff,Laurie Harrop-Purser,,","Joel Petrie,","Writers,Arthur Brooke,William Painter,Joel Petrie,,","Drama,Romance,",,"June 27, 2017 (United States)","United States,","English,","Parking Garage Pictures,",,,1h 41min,Color,,,4.9/10,19,1,,
Kidnap Capital,"Stars,Paulino Nunes,Johnathan Sousa,Michael Reventar,,","Felipe Rodriguez,","Felipe Rodriguez,","Drama,",Unrated,"April 24, 2017 (Canada)","Canada,","English,","Eggplant Picture & Sound,",,,1h 33min,Color,,,6.0/10,451,4,26,
Critical Nexus,"Stars,Karmann Bajuyo,Kiley B. Moore,Ron Lipski,,","Tirf Alexius,","Todd Heller,","Thriller,",Not Rated,"September 13, 2013 (United States)","United States,","English,","4 Features Film Co.,",,,1h 33min,Color,"Dolby Digital,Stereo,",,3.0/10,134,9,,
The United,"Stars,Farouk Al-Fishawy,Waleed Zuaiter,Bosaina,,","Amin Matalqa,","Nizar Wattad,","Action,Comedy,Drama,Sport,",,December 2012 (Jordan),"United States,","Arabic,English,","Touchstone Pictures,",,"$2,000,000 (estimated)",1h 36min,Color,,1.85 : 1,6.6/10,135,1,,
Avatharam,"Stars,Dileep,Lakshmi Menon,Appu,,","Joshiy,","Vyasan Edavanakkad,Siby K. Thomas,Udaykrishnan,","Action,Crime,Drama,Thriller,",Unrated,"August 1, 2014 (India)","India,","Malayalam,","Four B Productions,",,,2h 21min,Color,,,4.1/10,236,1,,
Birds of a Feather,"Stars,Big Bank Black,James Coleman,Joe Dotson,,","Curtis Franklin,","Curtis Franklin,","Drama,",Rated R for language and some violence,"June 25, 2013 (Canada)","United States,","English,","Bigg Bizz Media,Zaytown Media,",,"$500,000 (estimated)",1h 20min,Color,,,5.8/10,63,1,,
The Great Unwashed,"Stars,Jon Pointing,Daniel Ings,Bekka Bowling,,","Louis Fonseca,","Louis Fonseca,Nick Horseman,Nick Phillips,","Comedy,",,"February 12, 2019 (United States)","United Kingdom,","English,","Freestyle Digital Media,Mongoose Film Productions,",,,1h 22min,Color,,,6.2/10,77,4,,
Match Of Life,"Stars,Rajpal Yadav,Sudha Chandran,Vrajesh Hirjee,,","Aman Sagar,","Vishal Mehta,","Comedy,",,January 2020 (India),"India,","Hindi,","Anadya Films Production,Yashika Motion Pictures,",,,,Color,,,6.2/10,6,,,
The Beast Beneath,"Stars,Brinke Stevens,Shawn C. Phillips,Sheri Davis,,","Dustin Ferguson,","Dustin Ferguson,","Horror,",,"August 7, 2020 (United States)","United States,","English,","SCS Entertainment,",,,1h,Color,,2.35 : 1,5.2/10,29,4,6,
Atçali Kel Mehmet,"Stars,Gökhan Keser,Cemal Hünal,Ceren Kaplakarslan,,","Hakan Sahin,","Ozan Bodur,Hakan Sahin,Burcu Över,","Biography,Drama,History,",,"September 22, 2017 (Turkey)","Turkey,","Turkish,","Güler Film,","$13,122",,1h 47min,Color,,,6.1/10,44,5,,
The Last Saint,"Stars,Beulah Koale,Calvin Tuteao,Joseph Naufahu,,","Rene Naufahu,","Rene Naufahu,","Action,Crime,Drama,",,"August 28, 2014 (New Zealand)","New Zealand,","English,","Imaginex Studios,Random Films,The Reservoir,",,,1h 51min,Color,,,5.4/10,159,6,3,
The Desert Project,"Stars,Ilya Tank Shilov,Naomi Navarre,Ashton Solecki,,","Ilya Tank Shilov,","James Brandt,Ilya Tank Shilov,","Comedy,Sci-Fi,Thriller,",,"April 15, 2021 (Russia)","United States,","English,","TANK Pictures,","$2,406","$1,200,000 (estimated)",1h 35min,Color,,2.35 : 1,3.2/10,175,2,,
American Bomber,"Stars,Michael Freeland,Rebekah Nelson,Brian Floyd,,","Eric Trenkamp,","Eric Trenkamp,","Crime,Drama,Thriller,",Not Rated,"May 17, 2013 (United States)","United States,","English,",,,,1h 30min,Color,,,6.3/10,56,2,12,
Cun!,"Stars,Maya Karin,Remy Ishak,Kartina Aziz,,","Osman Ali,","Osman Ali,","Comedy,Romance,",,"March 31, 2011 (Malaysia)","Malaysia,","Malay,","Nuansa Sdn.,Tayangan Unggul,",,,1h 45min,Color,,,6.2/10,34,,,
Gisaengryung,"Stars,Eun-jeong Han,Hyomin,Hyung-Suk Lee,,","Ko Seok-jin,","Kim Yoo-ra,","Crime,Horror,Mystery,Thriller,",,"August 4, 2011 (South Korea)","South Korea,","Korean,",,"$681,403",,1h 31min,Color,,2.35 : 1,5.0/10,421,4,10,
Ciegos,"Stars,Marcelo Subiotto,Benicio Mutti Spinetta,Luis Ziembrowski,,","Fernando Zuber,","Leonel D'Agostino,Diego Fleischer,Fernando Zuber,","Drama,",,"December 5, 2019 (Argentina)","Argentina,","Spanish,",,"$1,416",,1h 21min,Color,,,6.5/10,28,1,,
Rompis,"Stars,Arbani Yasiz,Adinda Azani,Umay Shahab,,","Monty Tiwa,","Writers,Haqi Achmad,Fatmaningsih Bustamar,Priesnanda Dwisatria,,","Drama,Romance,",,"August 16, 2018 (Indonesia)","Indonesia,","Indonesian,","MNC Pictures,Mata Hari Media,",,,1h 39min,Color,"Dolby Digital,",,7.5/10,206,6,,
Fortune 500 Man,"Stars,Richard Ryan,Mark Hobson,Bryan Dodds,,","Richard Ryan,","Michael Marcelin,Richard Ryan,","Action,Crime,Drama,",Not Rated,"April 25, 2015 (United States)","United States,","English,","Ox Films,",,"$12,000 (estimated)",1h 30min,Color,"Stereo,Dolby Digital,",16:9 HD,8.3/10,62,,,
Romeo Ranjha,"Stars,Jazzy B.,Garry Sandhu,Monica Bedi,,","Navaniat Singh,","Dheeraj Rattan,Amberdeep Singh,","Action,Comedy,Romance,",,"May 16, 2014 (Canada)","India,Canada,","Punjabi,","White Hill Production,","$54,681","₹80,000,000 (estimated)",,Color,"Dolby Digital,",2.35 : 1,4.7/10,90,3,,
Dead iSland,"Stars,Rich Blake,Richard Cutting,Josh Davidson,,","Josh Davidson,","Josh Davidson,C.S. Johnson,","Horror,Thriller,",,"October 31, 2010 (United States)","United States,","English,","Be More Films,",,"$2,000 (estimated)",1h 10min,Color,,,4.4/10,46,1,,
Pane e burlesque,"Stars,Laura Chiatti,Sabrina Impacciatore,Michela Andreozzi,,","Manuela Tempesta,","Manuela Tempesta,Massimiliano Bruno,Michela Andreozzi,","Comedy,",,"May 29, 2014 (Italy)","Italy,","Italian,","Italian International Film,Rai Cinema,Apulia Film Commission,","$347,535","€2,000,000 (estimated)",1h 26min,Color,,,5.5/10,196,2,,
El Año del Tigre,"Luis Dubó,Sergio Hernández,Viviana Herrera,","Sebastián Lelio,","Gonzalo Maza,","Drama,",,"May 31, 2012 (Chile)","Chile,","Spanish,","Fabula,","$16,653",,1h 22min,Color,,,5.7/10,150,2,,
Borrasca,"Mário Bortolotto,Francisco Eldo Mendes,","Francisco Garcia,","Mario Bortolotto,","Drama,",,"June 29, 2017 (Brazil)","Brazil,","Portuguese,","Desvio Filmes,Kinoosfera Filmes,",,"$50,000 (estimated)",1h 15min,Color,"Dolby Digital,",1.85 : 1,6.5/10,13,,,
Strategy and Pursuit,"Stars,Emily Landham,James J. Fuertes,Tiffany Montgomery,,","Matt Riddlehoover,","Matt Riddlehoover,Dustin Tittle,","Drama,Romance,Thriller,",Not Rated,"April 21, 2018 (United States)","United States,","English,","Element Twenty Two,Gold Screen Pictures,",,,1h 32min,Color,,2.35 : 1,7.3/10,266,1,,
Sluga naroda 2,"Stars,Vladimir Zelenskiy,Evgeniy Koshevoy,Stanislav Boklan,,","Aleksey Kiryushchenko,",,"Comedy,Family,",,"December 29, 2016 (Ukraine)","Ukraine,","Russian,Ukrainian,","Kvartal 95 Studio,",,,1h 40min,Color,,,6.2/10,398,2,,
Ok Mein Dhokhe,"Stars,Muntazir Ahmad,Chinni Chetan,Sapan Krishna,,","Utpal Chaudhary,",,"Drama,Thriller,",,"February 23, 2018 (India)","India,","Hindi,",,,,,Color,,,6.6/10,5,,,
I Am Singh,"Stars,Joseph Armillas,Anto Boghokian,Elissa Brentano,,","Puneet Issar,","Writers,Gary Castro Churchwell,Deepali Issar,Puneet Issar,,","Action,Crime,Drama,",Not Rated,2011 (India),"United States,","Hindi,Punjabi,Urdu,English,","3-Dimension Films,Nahar & Puneet Moviez,",,"$4,000,000 (estimated)",2h 30min,Color,"Dolby Digital,",,5.2/10,71,2,7,
Breathe,"Stars,Jahaun Atkins,Jeanette Branch,Elena Cooper,,","J. Jesses Smith,","Jeanette Branch,","Drama,",,"August 8, 2011 (United States)","United States,","English,","Nia Enterprises,Silver Warrior Films,",,,1h 15min,Color,,,6.6/10,67,5,,
"The Day My Busty, Provocative Sister-In-Law Rode My Dick And Made Me Give Her A Creampie. Mio Kimijima",,,,"Action,",,"February 23, 2019 (Japan)","Japan,","Japanese,",,,,1h 56min,Color,,,2.7/10,9,,,
A Second Chance,"Stars,Dakota Bruton,Maria Guerra,Morgan Danielle McKervey,,","Candy J. Beard,Daniel Beard,","Candy J. Beard,","Drama,Family,",,"April 14, 2018 (United States)","United States,","English,","Dreams Come True Films,",,"$22,000 (estimated)",,Color,,,8.8/10,46,5,,
De pez en cuando,"Stars,Marianly Tejada,Héctor Aníbal,Camila Santana,,","Francisco Adolfo Valdez,","Francisco Adolfo Valdez,","Comedy,",,"March 6, 2014 (Dominican Republic)","Dominican Republic,","Spanish,",,,,1h 20min,Color,,,7.0/10,52,2,,
C.O.O.L.I.O Time Travel Gangster,"Stars,Geoff Bell,Vicki Michelle,Paul J. Lane,,","Paul J. Lane,","Paul J. Lane,Jack Walters,","Action,Sci-Fi,",,"June 30, 2014 (United Kingdom)","United Kingdom,Peru,Portugal,Spain,","English,","Film Coolio,",,"£150,000 (estimated)",1h 25min,Color,,1.85 : 1,4.9/10,124,,,
The Demon Inside,"Stars,Joseph Rene,Madeline Thelton,Chloe Lee,,","Joey Moran,","Joey Moran,","Horror,Thriller,",,"May 16, 2017 (United States)","United States,","English,","Skeleton Kreek Films,","$949,386","$50,000 (estimated)",1h 35min,Color,,,3.7/10,117,7,7,
Hush Up Sweet Charlotte,"Stars,Mink Stole,Jason Stuart,Sutan Amrull,,","William Clift,","William Clift,","Comedy,Horror,",TV-14,"October 16, 2015 (United States)","United States,","English,","Everything Is Going to Be Just Fine Productions,",,"$500,000 (estimated)",1h 35min,Color,,,6.6/10,61,3,3,
Vico C: La Vida Del Filósofo,"Stars,Luis A. Lozada Jr.,Mariangelie Vélez,César Farrait,,","Eduardo Ortíz,","Frankie Bracero,Vico C.,Jesus M. Rivera,","Biography,Drama,Music,",PG-13,"August 10, 2017 (Puerto Rico)","Puerto Rico,","Spanish,","GFR Media,Piñolywood Studios,",,,1h 54min,Color,,,7.4/10,295,1,1,
The Spartacus Legacy,"Stars,Pascal Degeer,Alan Delabie,Davit Gharibyan,,","Alan Delabie,",,"History,",,"July 16, 2014 (Belgium)",,"English,",,,,,Color,"Stereo,",,,,,,
Strawberry Flavored Plastic,"Stars,Aidan Bristow,Nicholas Urda,Andres Montejo,,","Colin Bemis,","Colin Bemis,","Crime,Drama,Horror,Thriller,",,"May 7, 2019 (United States)","United States,","English,","The Neon Briefcase Motion Picture Company,",,,1h 47min,Color,,1.85 : 1,3.9/10,151,19,37,
Coming Home,"Stars,Amy Comer,Keith Goff,Mimmye Goode,,","W. Layne Mcdonald,","W. Layne Mcdonald,","Drama,",,"April 1, 2017 (United States)","United States,","English,","Layne McDonald Ministries,",,"$10,000 (estimated)",1h 30min,Color,"Stereo,",1.33 : 1,5.8/10,29,2,1,
Syvälle salattu,"Stars,Krista Kosonen,Kai Lehtinen,Viljami Nojonen,,","Joona Tena,","Pekka Lehtosaari,Joona Tena,Mikko Tenhunen,","Drama,Thriller,",,"October 7, 2011 (Finland)","Finland,","Finnish,","Matila Röhr Productions (MRP),Nelonen,","$386,919","€1,400,000 (estimated)",1h 45min,Color,,2.35 : 1,5.4/10,721,1,7,
Han shan,"Stars,Yueting Lang,Ziyi Wang,Jin Guo,,","Larry Yang,","Larry Yang,","Action,Drama,Romance,",,"August 26, 2016 (China)","China,","Mandarin,","Hairun Pictures Co.,Village Roadshow Pictures Asia,","$83,878",,1h 47min,Color,,,7.3/10,378,3,7,
Jane Eyre,"Stars,Haibo Chang,Zhao Feiyan,Gavin Gao,,","Zhang Tianyu,",,"History,",,"January 31, 2019 (China)","China,","Mandarin,",,,,1h 30min,Color,,,,,,,
Rangreza,"Stars,Ghana Ali,Bilal Ashraf,Urwa Hocane,,","Amir Mohiuddin,","Akhtar Qayyum,","Music,Romance,",,"December 21, 2017 (Pakistan)","Pakistan,","Urdu,","Vision Art Films,","$56,903",,2h 25min,Color,,,5.2/10,233,11,1,
