title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Sunderland vs Manchester United,,,,"Reality-TV,",,"August 24, 2014 (United Kingdom)","United Kingdom,","English,",,,,,Color,,,,,,,
Talion,"Stars,Pali Anaya,Diego Gallardo,Natalia Machado,,","Marcelo Adducci,","Colectivo Alumnos Cinearte,","Drama,",,"March 3, 2017 (Argentina)","Argentina,","Spanish,","Creartecine,",,"ARS 400,000 (estimated)",,Color,,,,,,,
Glaza i mir. Chast 1,"Sergey A.,Nikita Derney,Andrey Gromov,","Nikita Derney,","Nikita Derney,","Drama,",,"April 17, 2018 (Russia)","Russia,","Russian,","Derney Studio,",,"RUR 40,000 (estimated)",1h 30min,Color,,,1.0/10,30,,,
Barad,"Stars,Rohit Chavan,Kishore Chougule,Bharat Ganeshpure,,","Tanaji Ghadge,","Deven Kapadnis,","Drama,",,"June 17, 2016 (India)","India,","Marathi,","Image SRK Productions,",,"₹9,000,000 (estimated)",1h 44min,Color,"Dolby Digital,",2.35 : 1,7.9/10,9,2,,
Ambassador of Socialism,,"Charu Sharma,","Charu Sharma,","Biography,",,2016 (India),"India,","Hindi,",,,"₹25,000,000 (estimated)",,Color,,16:9 HD,,,,,
Walk With Me?,"Stars,Daniel Lismore,Philip Colbert,Normski,,","Giada Dobrzenska,","Giada Dobrzenska,","Biography,Drama,Fantasy,",,,"United Kingdom,","English,","Little Wonder Productions,",,,1h 15min,Color,,,,,,,
Evil Undoings,"Emily Kathleen,","Emily Kathleen,","Emily Kathleen,","Comedy,Talk-Show,",,"May 4, 2015 (United States)","United States,","Spanish,","Emily Kathleen Productions,",,"$10,000 (estimated)",,Color,,,,,,,
Frankenstein V2,,,,,,"July 15, 2012 (New Zealand)",,,,"$2,056",,,,,,,,,,
The face next to you,"Hyesun Cho,Rui Hu,Jiada Tian,","Xiao-Xi Zhao,",,"Horror,",,"October 28, 2016 (China)","China,","Chinese,","Beijing Tongren Shidai Media,",,,,Color,,,,,,,
Oliver Rocket,"Stars,Dez Drummond,Levi James,Jessica Bayly,,","Jack Crocker,","Jack Crocker,Arron Ferguson,",,,"May 1, 2016 (United Kingdom)","United Kingdom,","English,",,,,,Color,,,,,,,
The Subtle Caricature of the Would Be Assassin,"Stars,William Maizel,Tom Bussineau,Cassie Brown,,","Allen Childress,","Allen Childress,","Action,Comedy,Crime,Fantasy,Mystery,",,,"United States,","English,",,,,1h 30min,Color,,,,,,,
Local Work,"Stars,Susan Auten,Shane Forbes Bates,Jody Belo,,","Brian Tucker,","Brian Tucker,","Drama,Romance,",,,"United States,","English,",,,,1h 36min,Color,,,,,,,
Rock 'n' Roll Grandpa,,"Jang-Hee Lee,",,"Drama,Music,",,August 2018 (South Korea),"South Korea,","Korean,",,,,1h 33min,Color,,,,,,,
The Jig,"Benjamin Davis Bryant,Michael Erle Hancock,","Britt Pitre,","Ed Dinger,","Crime,",,,"United States,","English,","Doorway Entertainment,Visual Ink,",,,,Color,,16:9 HD,,,,,
Heyirla sharin raqsi,"Stars,Ilgar Muradov,Mabud Magerramov,Gurban Ismailov,,","Yaver Rzayev,","Cingiz Abdullayev,Yaver Rzayev,","Crime,Mystery,",,"May 27, 2016 (Azerbaijan)","Azerbaijan,","Azerbaijani,","Azerbaijanfilm,",,,1h 28min,,,,,,,,
O Periklis ston parthenona,"Kiriaki Ipsilanti,Giannis Papathymios,Konstantina Spathi,",,,,,,,,,,,,,,,,,,,
Desperate for Love,"Stars,Kayla Arianne,Maynard Blake,Tia Heard,,","Tery Wilson,","Michelle Shan,","Drama,",,"August 9, 2014 (United States)","United States,","English,",,,"$15,000 (estimated)",,,,,,,,,
Two Married People,"Marguerite Sikabonyi,Shane Twerdun,","Jim Francis,","Jim Francis,Marguerite Sikabonyi,Shane Twerdun,","Drama,Romance,",,,"Canada,","English,",,,,1h 19min,Color,,,,,,,
Bad Romance,"Stars,Janna Cachola,Shanice Ford,Sophie Gilmore,,","Tim Smail,",,"Drama,",,"January 4, 2013 (New Zealand)","New Zealand,","English,",,,"NZ$3,000 (estimated)",58min,Color,,16:9 HD,,,,,
Jolanta,"Stars,Anna Netrebko,Sergei Alexashkin,Alexei Umerov,,","Kasia Adamik,","Modest Tchaikovsky,Henrik Hertz,","Music,",,"December 29, 2013 (Poland)","Poland,Russia,","Russian,","Narodowy Instytut Audiowizualny,Mariinsky Theatre in Saint Petersburg,",,,1h 40min,,,,,,,,
Unbeatable (Yalagdashgui),"Munkhtumur Dondov,",,,,,,,,,,,,,,,,,,,
Rhoda Scott: Music Is Like Breathing,,"Rina Sherman,",,"Biography,",Not Rated,"March 20, 2012 (France)","France,","English,","ACA LTFA,",,"€30,000 (estimated)",1h 18min,Color,,16:9 HD,,,,,
Daagh,"Asif Khan,Jahangir Khan,Shaid Khan,",,,,,2015 (Pakistan),"Pakistan,","Pashtu,",,,,,Color,,,,,,,
Michi shirube,"Stars,Takashi Nishina,Hideyuki Kanaya,Mari Sono,,","Jûkô Tanaka,","Mitsuru Ohsumi,","Drama,",,"June 13, 2015 (Japan)","Japan,","Japanese,","Genya Productions,",,,1h 37min,Color,,,,,,,
City Strays,"Stars,Chris Anger,Barret Bell,Andy Blieden,,","Mike Elsherif,","Barret Bell,Mike Elsherif,Zach Kleinsmith,","Comedy,Drama,Mystery,",,"June 16, 2013 (United States)","United States,","English,",,,,1h 11min,Color,,,,,,,
The Cryptic Tale of Beta Alpha Nu,"Stars,Melissa Azeez,Chaz Dowdell,Phillip Dowdell,,","Chaz Dowdell,","Chaz Dowdell,","Horror,",R,"October 31, 2016 (United States)","United States,","English,","Dowdell Productions,",,$200 (estimated),45min,Color,"Dolby Digital,",4:3,3.2/10,12,,,
Selskiy rok-n-roll,"Stars,Yan Konushkov,Evgeniy Filshtinskiy,Maksim Zhabko,,","Evgeniy Filshtinskiy,","Yan Konushkov,Maksim Zhabko,","Comedy,",,"September 18, 2011 (Russia)","Russia,","Russian,","A Films,Mazha Films,Yan Co Films,",,"RUR 15,000 (estimated)",58min,Color,,16:9 HD,5.5/10,11,,,
Real Sociedad vs Manchester United,,,,"Action,",,"November 5, 2013 (Spain)","Spain,","English,",,,,,Color,,,,,,,
