title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Khalifornia,"Stars,Nicole M. Brevard,Opel Selene,Steven Profeta,,","Nicole M. Brevard,","Nicole M. Brevard,","Action,Adventure,History,",,"November 11, 2020 (United States)","United States,","English,","Mystic Film Studios,",,"$311,000 (estimated)",1h 51min,Color,,1.85 : 1,,,,,
Kopanje,"Gorast Cvetkovski,Ivica Dimitrijevic,Aleksandar Gjorgieski,","Ivica Dimitrijevic,Martin Ivanov,","Ivica Dimitrijevic,Christian Winkler,","Drama,",,"February 28, 2018 (Republic of Macedonia)","Republic of Macedonia,","Macedonian,","MI FILM,",,,1h 8min,Black and White,,,6.9/10,20,,,
"Sû-chan, Mai-chan, Sawako-san","Stars,Ko Shibasaki,Yôko Maki,Shinobu Terajima,,","Osamu Minorikawa,","Miri Masuda,Sachiko Tanaka,","Comedy,",,"March 2, 2013 (Japan)","Japan,","Japanese,","C&I Entertainment,Wowow Films,","$831,902",,1h 46min,Color,,,6.6/10,110,2,1,
The Ringing Bell,"Stars,Brandon Cole,Anieya Walker,Joelyn Dormady,,","Casey T. Malone,","Casey T. Malone,","Drama,Sci-Fi,",,"May 22, 2020 (United States)","United States,","English,","Absolutely No1 Films,",,,1h 10min,Color,,2.35 : 1,7.5/10,15,1,2,
Raakhandaar,"Stars,Ajinkya Deo,Jitendra Joshi,Sarang Prakash Dole Kulkarni,,","Mrunalinni Patil,",,"Drama,",,,"India,","Marathi,","Suryaa Films Kreation,",,,,Color,,,,,,,
Ratricha Paus,"Stars,Abhirami Bose,Onkar Chitra,Jijoy,,","Shine Ravi,","Shine Ravi,","Drama,",,"February 2, 2020 (India)","India,","Marathi,","SuMiProduction,",,"₹10,000,000 (estimated)",1h 44min,Color,"6-Track Stereo,",16 : 9,,,,,
Gorge coeur ventre,"Stars,Boston,Virgile Hanrot,Dimitri Buchenet,,","Maud Alpi,","Maud Alpi,Baptiste Boulba,","Drama,",,"November 16, 2016 (France)","France,","French,","Mezzanine Films,Rhône-Alpes Cinéma,M141 Productions,",,,1h 22min,Color,,2.39 : 1,6.4/10,117,2,5,
The Hostiles,,,,"Drama,",Not Rated,"January 7, 2020 (United States)","United States,","English,","Gooshi Boy Productions,",,"$5,000 (estimated)",1h 10min,,,4:3(original ratio),,,,,
Pai mai chun tian,"Stars,Chao-jung Chen,Bai Ling,Lene Lai,,","Zong-de Wu,","Zong-de Wu,","Comedy,Drama,",,"May 28, 2010 (Taiwan)","Taiwan,","Mandarin,","Action Film & TV Co.,",,,1h 52min,Color,,,5.7/10,39,1,,
Breaking Up Is Hard to Do,"Stars,Demetria McKinney,Kendrick Cross,Gabriel Burgess,,","Tabari Sturdivant,","Nikki Simpson,Tabari Sturdivant,","Comedy,Drama,Romance,",Not Rated,"June 26, 2010 (United States)","United States,","English,","Blue Lion Club Production,",,,1h 48min,Color,,,3.6/10,214,3,,
Tantei wa bar ni iru 2: Susukino daikousaten,"Stars,Yô Ôizumi,Ryûhei Matsuda,Tamae Andô,,","Hajime Hashimoto,","Naomi Azuma,Ryota Furusawa,Yasushi Sutô,","Comedy,",,"May 11, 2013 (Japan)","Japan,","Japanese,","Toei Company,TV Asahi,Kinoshita Komuten,","$8,451,562",,1h 59min,Color,"Dolby Digital,",1.85 : 1,5.7/10,165,,,
Things I Don't Understand,"Stars,Molly Ryman,Aaron Mathias,Grace Folsom,,","David Spaltro,","David Spaltro,","Drama,",,"October 31, 2013 (United States)","United States,","English,","Embrace The Fall,Things I Don't Understand,",,"$200,000 (estimated)",1h 49min,Color,,1.85 : 1,7.1/10,94,4,54,
Dust,"Stars,Kevin Lucero Less,Leah Rose,R. Michael Gull,,","Drew Maxwell,","Drew Maxwell,","Drama,Horror,Sci-Fi,Thriller,",,"May 10, 2012 (United States)","United States,","English,","Lightning Rod Studios,Cloaked Productions,",,"$2,000,000 (estimated)",2h,Color,,,6.2/10,15,,,
Pop Verve,"Stars,Paul Kennedy Jr.,Armando Mamo Vernet,Ian Randolph,,","Oliver Zaciu,","Oliver Zaciu,Sergio Zaciu,","Comedy,",,"August 7, 2020 (United States)","United States,","English,Spanish,Portuguese,","Trikon Productions,",,"$100,000 (estimated)",1h 42min,Color,"Dolby Digital,",2.35 : 1,,,,,
Arrhythmia,"Stars,Fernando Sarfatti,Valentina Buzzurro,Salvatore Nocera,,","Gibran Bazan,","Gibran Bazan,","Drama,",,2019 (Italy),"Mexico,","Italian,","Marsash Cinema,",,"$681,404 (estimated)",,Color,,,,,,,
Ve perde!,"Stars,Ferhat Saskin,Erdem Akakçe,Metin Akpinar,,","Selçuk Metin,","Gülsah Özdemir Koryürek,",,,2016 (Turkey),"Turkey,","Turkish,",,,,1h 1min,Color,,,5.9/10,31,,,
Katte,"Stars,Mico Nagaraj,Nagashekar,Om Prakash Rao,,","Om Prakash Rao,","Om Prakash Rao,","Drama,",,"April 3, 2015 (India)","India,","Kannada,","A M Umesh Reddy Production,",,,2h 23min,Color,,,,,,,
Ozark Moon,"Stéphanie Edmonds,Denise Crovetti,Tank Hurley,",,,"Drama,",,2018 (United States),"United States,","English,","No Barriers Entertainment,",,,,Color,,,,,,,
President Super Star,"Stars,Mahendra Perera,Sriyantha Mendis,Isuru Lokuhettiarachchi,,","Udayakantha Warnasuriya,","Udayakantha Warnasuriya,","Comedy,Drama,",,"October 25, 2019 (Sri Lanka)","Sri Lanka,","Sinhala,","U Creations,",,,2h 16min,Color,,,4.9/10,7,,,
Mr and Mrs Oweis,"Stars,Bushra,Hamada Helal,Idward,,","Akram Farid,","Karim Fahmy,","Comedy,",,"August 19, 2012 (Egypt)","Egypt,","Arabic,","New Century Production,",,,,Color,,,3.0/10,122,,,
Klases Salidojums,"Stars,Ainars Ancevskis,Juris Kaukulis,Imants Strads,,","Andrejs Ekis,","Claudia Boderke,Dace Denina,Lars Mering,","Comedy,",,"February 14, 2019 (Latvia)","Latvia,","Latvian,","Platforma Filma,",,,,Color,,,6.1/10,300,,,
Meiji Tokyo Renka,"Stars,Rikka Ihara,Tetsuya Iwanaga,Yutaka Kobayashi,,",,,"Comedy,",,"June 21, 2019 (Japan)","Japan,","Japanese,",,,,1h 30min,Color,,,,,,,
