title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Nanatsu made wa kami no uchi,"Stars,Rin Asuka,Mizuki Doki,Nanami Fujimoto,,","Ryûta Miyake,","Ryûta Miyake,","Horror,",Not Rated,"August 20, 2011 (Japan)","Japan,","Japanese,","Altamira Pictures Inc.,Stardust Music Publishing,",,,1h 22min,Color,,1.78 : 1,5.2/10,81,2,,
De brief voor Sinterklaas,"Stars,Bram van der Vlugt,Pamela Teves,Edo Brunner,,","Lucio Messercola,","Writers,Maria Goos,Lucio Messercola,Peter Römer,,","Family,",,"October 9, 2019 (Netherlands)","Netherlands,","Dutch,","Messercola Drama & Soap,","$687,738",,1h,Color,,,6.2/10,24,5,,
Aire,"Stars,Julieta Zylberberg,María Onetto,Carlos Belloso,,","Arturo Castro Godoy,","Arturo Castro Godoy,","Drama,",,"November 1, 2018 (Argentina)","Argentina,","Spanish,","Aleph Cine,MUCHASIESTA Cooperativa Audiovisual,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),","$6,124",,1h 12min,Color,,1.66 : 1,7.0/10,72,1,4,
La Pachanga,"Stars,Ana María Arango,Francisco Bolívar,Carlos Hurtado,,","Harold Trompetero,",,"Comedy,",,"December 26, 2019 (Colombia)","Colombia,","Spanish,","Trompetero Producciones,",,,1h 30min,Color,,,3.4/10,21,,,
Menandros & Thaïs,"Stars,Jakub Gottwald,Jessyca R. Hauser,Ondrej Bauer,,","Ondrej Cikan,Antonin Silar,","Ondrej Cikan,Anatol Vitouch,","Action,Adventure,Drama,History,",,"April 28, 2016 (Czech Republic)","Czech Republic,Austria,","Czech,German,Finnish,","Die Gruppe,MagicLab,Nutprodukce,",,,2h 9min,Color,"D-Cinema 48kHz 5.1,",,8.0/10,29,16,,
Schmidts Katze,"Stars,Michael Lott,Christiane Seidel,Michael Kessler,,","Marc Schlegel,","Writers,Stephanie Töwe,Marc Schlegel,Julie Alfonsi,,","Comedy,",,"September 24, 2015 (Germany)","Germany,","German,","FFL Film- und Fernseh-Labor Ludwigsburg,Südwestrundfunk (SWR),",,"€900,000 (estimated)",1h 30min,Color,,,5.7/10,241,1,11,
Index Zero,"Stars,Simon Merrells,Ana Ularu,Antonia Liskova,,","Lorenzo Sportiello,","Lorenzo Sportiello,Claudio Corbucci,Francesco Cioce,","Sci-Fi,",,"October 24, 2014 (Italy)","United Kingdom,Italy,","English,","Cine Video Corporation (CVC) S.r.l.,Ministero dei Beni e delle Attività Culturali e del Turismo (MiBACT),Apulia Film Commission,",,"€500,000 (estimated)",1h 30min,Color,"Dolby Digital,",2.35 : 1,5.6/10,113,1,9,
Perras de barrio 3,"Stars,Armando Araiza,Alejandro Tommasi,Amellali Santana,,","Óscar González,","Adolfo Martínez Solares,","Drama,",,2018 (Mexico),"Mexico,","Spanish,","Frontera Films S.A.,",,,1h 30min,Color,,,,,,,
The Stray,"Stars,Mason Johnson,Dunham Stewart,Trey Loney,,","John Rhode,","Larry Garrett,Virland Stan Harris,","Family,",,"May 5, 2012 (United States)","United States,","English,","Engine 15 Media Group,eKidsFilms,",,,1h 28min,Color,,,5.4/10,99,8,,
Love You... Love You Not,"Stars,Chelsea Islan,Hamish Daud,Miller Khan,,","Sridhar Jetty,","Sinar Ayu Massie,Mira Santika,","Comedy,Drama,Romance,",TV-14,"December 12, 2015 (Indonesia)","Indonesia,","Indonesian,","MVP Pictures,",,,1h 35min,Color,,,5.6/10,62,1,,
Sathya,"Stars,Roma Asrani,Rahul Dev,Jayaram,,","Deepan,","A.K. Sajan,","Action,Thriller,",,"April 20, 2017 (India)","India,","Malayalam,","Shehnas Movie Creations,",,,1h 58min,Color,,,2.6/10,131,4,,
Kaatskill Kannibals,"Joe Jones,James Pogo Lo Rubbio,Kristina Rose,","Michael X. Rose,","Pseudolus Huxley,","Horror,",,"July 14, 2020 (United States)","United States,","English,","Resurgam Pictures,Resurgam Pictures,",,"$30,000 (estimated)",55min,,"Stereo,",1.78 : 1,3.0/10,32,,,
All Nude - Riri Nanatsumori,,,,"Reality-TV,",,"December 19, 2020 (Japan)","Japan,","Japanese,",,,,1h 50min,Color,,,,,,,
Ça sent la coupe,"Stars,Louis-José Houde,Julianne Côté,Maxime Mailloux,,","Patrice Sauvé,","Matthieu Simard,","Comedy,",,"February 24, 2017 (Canada)","Canada,","French,","Films Outsiders, Les,",,,1h 30min,Color,,,5.8/10,183,1,,
Austin City Limits Celebrates 40 Years,"Stars,Johnny Bradley,Doyle Bramhall II,Jeff Bridges,,","Gary Menotti,",,,PG,"October 3, 2014 (United States)",,,"KLRU Austin,",,,1h 54min,,,16:9 HD,7.7/10,17,1,,
Wolfwood,"Stars,Rhian Williams,James Bryant,Mandy Rose,,","Harry Boast,","Philip Boast,","Horror,",,"January 8, 2020 (United Kingdom)","United Kingdom,","English,","Turnshoe Productions,",,,1h 13min,Color,"Stereo,",16:9 HD,3.8/10,37,1,1,
Reakcja lancuchowa,"Stars,Malgorzata Mikolajczak,Tomasz Wlosok,Bartosz Gelner,,","Jakub Paczek,","Jakub Paczek,","Drama,",,"December 8, 2017 (Poland)","Poland,","Polish,","D35,Kino Swiat,Polski Instytut Sztuki Filmowej,",,,1h 40min,Color,,,3.7/10,80,,,
Operation Shmenti Capelli,"Stars,Delly Allen,Harry Anichkin,Zachary Baharov,,","Ivan Mitov,","Vladislav Karamfilov,","Comedy,",,"October 7, 2011 (Bulgaria)","Bulgaria,","Bulgarian,","C and R Productions,","$822,522","€500,000 (estimated)",1h 55min,Color,,,7.2/10,1.3K,3,,
Tèo em,"Stars,Ngoc Diep,Jayvee Mai The Hiep,Thai Hoa,,","Charlie Nguyen,","Duong Tu An,Charlie Nguyen,Kay Nguyen,","Adventure,Comedy,Drama,",,"December 20, 2013 (Vietnam)","Vietnam,","Vietnamese,","Chanh Phuong Phim,",,"$600,000 (estimated)",1h 39min,Color,,,6.8/10,259,1,,
Varnyathil Aashanka,"Stars,Kunchacko Boban,Suraj Venjaramoodu,Chemban Vinod Jose,,","Sidharth Bharathan,","Thrissur Gopalji,","Comedy,",,"August 4, 2017 (India)","India,","Malayalam,","Ashiq Usman Productions,","$181,510",,2h 17min,Color,,,6.7/10,630,5,4,
Soul Walker,"Stars,Seth Michaels,Alexa Castillo,Roger Cudney,,","Jean Dubois Morfin,","Jean Dubois Morfin,","Horror,",TV-MA,"January 1, 2012 (Mexico)","Mexico,","English,","Laguna Films,",,"$1,000,000 (estimated)",1h 32min,Color,,,6.4/10,13,,,
Saggi Phull,"Stars,Nitu Pandher,Raj Dhaliwal,Sukhi Bal,,","Shivtar Shiv,",,"Drama,",,"January 19, 2018 (India)","India,","Punjabi,","Legend Motion Pictures,",,,,Color,,,5.6/10,7,1,,
Hero Naam Yaad Rakhi,"Stars,Jimmy Sheirgill,Surveen Chawla,Mukul Dev,,","Baljit Singh Deo,","Manoj Jha,Manoj K. Jha,","Romance,Thriller,",Not Rated,"July 10, 2015 (India)","India,","Punjabi,","Shri Narotam Films,","$67,983",,1h 41min,Color,,,5.6/10,140,1,,
Rangeelay,"Stars,Jimmy Sheirgill,Neha Dhupia,Binnu Dhillon,,","Navaniat Singh,","Rana Ranbir,Dheeraj Rattan,","Action,Comedy,Drama,Romance,",Not Rated,"May 16, 2013 (India)","India,","Hindi,Punjabi,","Jimmy Sheirgill Productions,","$243,246",,2h 9min,Color,,,5.0/10,188,3,,
Mori no iru basho,"Stars,Tsutomu Yamazaki,Munetaka Aoki,Mitsuru Fukikoshi,,","Shûichi Okita,","Shûichi Okita,","Biography,Comedy,Drama,",,"May 19, 2018 (Japan)","Japan,","Japanese,","Dub,Nikkatsu,","$7,986",,1h 39min,Color,,,6.5/10,384,1,11,
The Criminal Man,"Stars,Madona Chachkhiani,Natalia Jugheli,Vladimer Kobakhidze,,","Dmitry Mamuliya,","Archil Kikodze,Dmitry Mamuliya,","Thriller,",,"April 2, 2020 (Russia)","Georgia,Russia,","Georgian,","Georgian National Film Centre,Millimeter Film,",,,2h 15min,Color,"D-Cinema 48kHz 5.1,Stereo,",,5.6/10,126,2,3,
En vanföreställning,"Stars,Andi Almqvist,Bebe Risenfors,Filip Runesson,,","Andi Almqvist,",,"Music,",,"May 28, 2011 (Sweden)","Sweden,","English,","Sveriges Television (SVT),",,,1h,Color,,,,,,,
The Party Bus,"Stars,Jonathan Newton,Damon Hunter,Richard Mealey,,","Jonathan Newton,","Jonathan Newton,","Drama,",,2020 (United States),"United States,Australia,","English,","Creative Frame Media,iShoot Images,Lady of the Light Productions,",,"$350,000 (estimated)",1h 42min,Color,,,,,,,
Quel bravo ragazzo,"Stars,Luigi Luciano,Tony Sperandeo,Enrico Lo Verso,,","Enrico Lando,","Writers,Andrea Agnello,Gianluca Ansanelli,Enrico Lando,,","Comedy,Crime,",,"November 17, 2016 (Italy)","Italy,","Italian,","Lotus Production,Medusa Film,","$1,365,822",,1h 21min,Color,,2.35 : 1,5.4/10,589,1,4,
Nosotros nunca moriremos,"Stars,Brian Alba,Romina Escobar,Jésica Frickel,,","Eduardo Crespo,","Lionel Braverman,Eduardo Crespo,Santiago Loza,","Drama,",,"March 25, 2021 (Argentina)","Argentina,","Spanish,","Primera Casa,Rita Cine,",,,1h 22min,Color,,16 : 9,6.1/10,44,1,,
Captive,"Stars,Rob James Capel,Marwan Abbas,Jamie Burke,,","Stephen Patrick Kenny,","Stephen Patrick Kenny,","Drama,Horror,Sci-Fi,",,"June 12, 2016 (Ireland)","Ireland,","English,","Citizen Skull Productions,Hood Up Films,",,"€80,000 (estimated)",1h 24min,Color,,,4.4/10,96,4,10,
The Conway Curve,"Stars,Veronica Wylie,Bradley Snedeker,Casper Van Dien,,","Marian Yeager,","Richard Dane Scott,Marian Yeager,","Comedy,Crime,Drama,Family,",,"July 28, 2017 (United States)","United States,","English,","Conway Curve,MY Productions,Reel Goode Productions,",,,1h 30min,Color,,,6.2/10,58,4,,
Resurrection,"Stars,Shay Dickerhoff,Ervin Ross,Jim O'Rear,,","Jeff Burr,","Ron Aberdeen,William Dever,Stuart Price,","Horror,",,"December 14, 2010 (United States)","United States,","English,","The Indy Film Co-op,",,"$435,000 (estimated)",1h 30min,Color,"Dolby Digital,Stereo,",1.78 : 1,3.4/10,33,,,
Bheemli Kabadi Jattu,"Stars,Nani,Saranya Mohan,Kishore Kumar G.,,","Tatineni Satya,",,"Sport,",,"July 9, 2010 (India)","India,","Telugu,",,,,2h 23min,Color,,,7.3/10,215,1,,
Invasion 1897,"Stars,Murtaza Arif,Sandra Idubor,Ehigiator Joy Nosa,,","Lancelot Oduwa Imasuen,","Lancelot Oduwa Imasuen,","Biography,Drama,",,"December 21, 2014 (Nigeria)","Nigeria,","Afrikaans,","Ice Slide Films,",,"$200,000 (estimated)",1h 53min,Color,,2.35 : 1,3.0/10,104,5,,
Nour,"Stars,Vanisa Ayyoob,Julia Kassar,Kahlil Dreyfus Zaarour,,","Kahlil Dreyfus Zaarour,","Elissa Ayoub,Kahlil Dreyfus Zaarour,","Drama,Romance,",,"April 27, 2017 (Lebanon)","Lebanon,","Arabic,",,,,1h 31min,Color,,1.85 : 1,4.6/10,93,2,,
The Hunt,"Stars,Fawn Hanson,Royd McCargish,Mike Gaba,,","Peter Rochon Nicholas,","Peter Rochon Nicholas,","Action,Drama,Thriller,",,,"United States,","English,","Off The Road Productions,",,"$8,000 (estimated)",1h 40min,Color,,,3.9/10,68,6,,
Tandem Hearts,"Stars,Quinn Allan,Stephanie Blair,Cooper Bombadil,,","Jon Garcia,","Jon Garcia,","Drama,",TV-14,"April 1, 2012 (United States)","United States,","English,","Bloodtoe Media,Lake Productions,",,"$15,000 (estimated)",1h 41min,Color,,,8.3/10,204,,,
The Diver Inside,"Stars,Alex Brendemühl,Julia Franz Richter,Dominic Marcus Singer,,","Günter Schwaiger,","Günter Schwaiger,","Drama,Thriller,",,"November 28, 2019 (Austria)","Spain,Austria,Germany,","Spanish,German,","Günter Schwaiger Filmproduktion,Radio Televisión Española (RTVE),eXtra Film,",,,1h 34min,Color,,,6.2/10,29,3,,
The Show Can't Go On,"Stars,Robin E. Fitzgerald,Barbara Wilder,Kim Sava,,","Cherie Kerr,","Cherie Kerr,","Comedy,",,,"United States,","English,","Ree-Invent Films,",,,,Color,,,,,,,
In i dimman,"Stars,Anastasios Soulis,Freddy Åsblom,Anton Lundqvist,,","Anders Hazelius,","Anders Hazelius,","Drama,Thriller,",,"December 14, 2018 (Sweden)","Sweden,","Swedish,","Zentropa International Sweden,",,"SEK 4,709,726 (estimated)",1h 18min,Color,,,5.6/10,144,1,3,
Un caballo llamado Elefante,"Stars,Tomás Arriagada,Salvatore Basile,Ana Sofía Durán,,","Andrés Waissbluth,","Miguel Ángel Labarca,Daniel Laguna,Andrés Waissbluth,","Adventure,Biography,Family,Fantasy,",TV-PG,"August 4, 2016 (Chile)","Chile,Colombia,Mexico,","Spanish,","Invercine,TRZ Comunicacion,Rhayuela Cine,","$9,034","$1,000,000 (estimated)",1h 20min,Color,,2.35 : 1,5.9/10,30,2,,
Là où on va,"Stars,Théophile Baquet,Élise Diamant,Eugénie Derouand,,","Jérôme de Gerlache,","Marc Brunet,Jérôme de Gerlache,","Drama,",,"September 20, 2018 (France)","France,","French,","Eastness Productions,Marty est une entreprise,",,"€959,000 (estimated)",,Color,,2.35 : 1,,,,,
Selvajaria,,"Miguel Gomes,","Euclides da Cunha,","War,",,August 2020 (Switzerland),"Portugal,China,Greece,France,Brazil,",,"Faliro House Productions,O Som e a Fúria,RT Features,",,,,Black and White,,,,,,,
The Locksmith,"Stars,Don Wallace,Sophie Scarf,Annabel Graham,,","Ryan Miningham,","Ryan Miningham,","Horror,",,"October 26, 2019 (United States)","United States,","English,","Locksmith productions,",,"$1,000,000 (estimated)",1h 30min,Color,"Dolby Digital,",1.78 : 1 / (high definition),,,,,
