title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Hor Taew Tak Hake Na Ka,,,,,,"October 25, 2015 (Thailand)",,,,"$782,060",,,,,,5.5/10,34,,,
Patient: 23,"Stars,Damian Vargas,Ron Fulmer,Kika Magalhães,,","Anthony R. Gutierrez,Jose Rodriguez,","Writers,Ron Fulmer,Anthony R. Gutierrez,Damian Vargas,,","Action,Drama,Horror,",,"August 8, 2013 (United States)","United States,","English,","BX Filmz,",,"$3,000 (estimated)",1h 20min,Color,,16:9 HD,5.2/10,14,,,
Wages of Sin,"Katharine Everett,Lauren Martin,Travis Quentin Young,","Doug Burch,","Doug Burch,Sam Ingraffia,","Drama,",Not Rated,2011 (United States),"United States,","English,","Little Dog Productions,Shadowcast Pictures,",,"$100,000 (estimated)",1h 40min,Color,,,3.6/10,182,2,1,
Ayaal Sassi,"Stars,Sreenivasan,Divya Gopinath,S.P. Sreekumar,,","Sajin Baabu,","Sajin Baabu,","Comedy,Drama,",,"July 7, 2017 (India)","India,","Malayalam,","Pix N Tales,",,,2h 2min,Color,,,5.6/10,89,1,1,
I.M. Caravaggio,"Stars,Ryan Eicher,Beverly Lynne,Fletcher Sharp,,","Derek Stonebarger,","Damen Draeko,Derek Stonebarger,","Biography,Drama,History,Thriller,",,"November 18, 2010 (Argentina)","United States,","English,","Vegaswood Studios,",,,1h 32min,Color,,,7.0/10,43,2,,
Free - Liberi,"Stars,Erika Blanc,Antonio Catania,Corinne Cléry,,","Fabrizio Maria Cortese,","Writers,Marcello Cantoni,Alfredo Civita,Fabrizio Maria Cortese,,","Comedy,",,"November 12, 2020 (Italy)","Italy,","Italian,","Apulia Film Commission,Golden hour films s.r.l,Ismaele Film,",,,1h 29min,Color,"Dolby Surround 7.1,",2.35 : 1,5.9/10,8,,,
L'air de rien,"Stars,Grégory Montel,Michel Delpech,Christophe Miossec,,","Grégory Magne,Stéphane Viard,","Grégory Magne,Stéphane Viard,","Comedy,",,"November 7, 2012 (France)","France,","French,","Les Films Velvet,Garance Capital,Cofinova 8,",,,1h 31min,Color,,2.35 : 1,6.2/10,83,2,3,
La comiqueria: la película,"Stars,Catalina Aguayo,Jorge David,Katyna Huberman,,","Nicolás Lorca,","Nicolás Lorca,Cristián Raveau,","Comedy,Drama,",,"December 23, 2011 (Chile)","Chile,","Spanish,","Escuela de Cine de Chile,Introfilms,",,"CLP 5,000,000 (estimated)",1h 23min,Color,"Stereo,",16:9 HD,,,,,
A mama luchshe!,"Stars,Lolita Ausheva,Victoria Bonya,Anfisa Chekhova,,","Maksim Voronkov,","Larisa Belova,Maksim Voronkov,","Comedy,Drama,",,"December 9, 2010 (Russia)","Russia,","Russian,","MV Sinema,",,,1h 16min,Color,,,2.1/10,33,,,
Abe Sada: Saigo no nanokakan,"Stars,Yuma Asami,Nobuyuki Matsuda,Mayuko Sasaki,,","Kyôko Aizome,","Akira Fukuhara,","Drama,",,"June 18, 2011 (Japan)","Japan,","Japanese,","GP Museum Soft,Shintoho Company,",,,1h 10min,Color,,,6.2/10,46,1,,
