title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Oz,"Aria Lancaster,Dylan Watson,Demetria Balentine,","Dylan Watson,","Maxine Hedenburg,Dylan Watson,","Drama,Fantasy,",,May 2019 (United States),"United States,","English,","Watson Balentine Studios,",,,1h 2min,Color,,,,,,,
Chapters,"Stars,Greg Briggs,Christopher Cassarino,Josh Constable,,","Katherine Yarbrough,Jeremy Briggs,","Jeremy Briggs,Joseph Joyce,Katherine Yarbrough,","Sport,",Not Rated,"May 11, 2011 (France)","United States,","English,","Echoboom Sports,",,"$15,000 (estimated)",51min,Color,,,,,,,
Intervention,"Joe Hammerstone,Casey Lee McIntosh,Sarah Williford,","Brewster Hammer,","Brewster Hammer,","Drama,",,"November 16, 2018 (United States)","United States,","English,",,,,,Color,,,,,,,
Bitchen Foot Charlie,"Stars,Kristin Naomi Garcia,Phillip O'Riley,Andrew Ian,,","Wyatt Roose,","Wyatt Roose,","Horror,",,"November 1, 2015 (United States)","United States,","English,","KMR Productions,",,"$10,000 (estimated)",,Color,,,,,,,
The New Doctrine,"Harper Fan,Maia Morgan,Tim Turner,","Kitsann Means,","Isabelle Rogers,","Comedy,Drama,",,May 2016 (United States),"United States,","English,",,,,1h 52min,Color,,,,,,,
Reung Rak Rawang Ther,,,,,,"March 25, 2012 (Thailand)",,,,"$86,963",,,,,,,,,,
Big Baker's Unlucky Bear,,,,,,"January 8, 2017 (China)",,,,"$18,330,043",,,,,,,,,,
Ethel Street,"Alain Gratious,","Imogen Tyers,","Imogen Tyers,","Drama,",,2013 (Australia),"Australia,","English,",,,"A$5,000 (estimated)",,Color,,,,,,,
"Patu, the legend",,"Waitiare Kaltenegger Icka,","Waitiare Kaltenegger Icka,","Animation,Drama,Fantasy,Mystery,",,,"Chile,",,,,,49min,Color,,,,,,,
Sana baryan yollar,"Yagsy Gosunow,Myrat Molla,Gülnar Tajowa,","Myrat Molla,",,"Comedy,",,,"Turkmenistan,","Turkmen,",,,"TMM 2,500,000 (estimated)",,Color,,,,,,,
Initiation Afterglow,,"Courtney Fathom Sell,",,,,"May 20, 2018 (United States)","United States,","English,","Show Video Productions,",,,,Color,,,,,,,
Mount Awa,"Wannian Li,Xuanhe Zhang,Hong Zhao,","Huilei Ma,",,"Drama,",,"November 8, 2012 (China)",,"Chinese,","Guangxi Film Studio,",,,,Color,,,,,,,
Wedding 93,,,,"Horror,",,,"Cambodia,","Central Khmer,",,,"$32,813 (estimated)",1h 11min,Color,,,,,,,
ConnectieCuts: Hundr Gangr,"Stars,Fie Drejer,Ole Dupont,Mads Koudal,,","Mads Koudal,","Mads Koudal,","Music,",,"March 21, 2016 (Denmark)","Denmark,",,"Koudal Film & Medie,",,,,Color,,,,,,,
63 regards,"Stars,Mireille Perrier,Dominique Reymond,Françoise Lebrun,,","Christophe Pellet,","Christophe Pellet,","Drama,",,January 2010 (France),"France,","French,German,","Bathysphere Productions,Centre National des Arts Plastiques,Ministère de la Culture et de la Communication,",,,49min,Color,,1.78 : 1,,,,,
Ohh My Love,,"Partha Sarathi Joarder,",,"Drama,",,"February 11, 2011 (India)","India,","Bengali,",,,,,Color,,,,,,,
The Child and the Pig,"Stars,Perdikis Giannis,Mimilidou Liza,Nerantzi Melina,,","George Nerantzis,","George Nerantzis,","Drama,",,"November 5, 2016 (Greece)","Greece,","Greek,",,,€1 (estimated),1h 36min,,,,7.1/10,8,,,
Roshni,,,,,,,"India,","Hindi,",,,,,,,,,,,,
Geronia: His Own Wide World,"Stars,Daniel Pospischil,Julia Resinger,Hannes Bickel,,","Jo Danieli,","Jo Danieli,","Adventure,Romance,",,,"Austria,United States,","German,",,,,2h 1min,Color,,,,,,,
Xang Xang Klang,"Stars,Amlan Panda,Suyesha Dutta,Suresh Dutta,,","Col. Kapoor,",,"Drama,",,2010 (India),"India,","Hindi,","Children's Film Society of India,",,,1h 10min,Color,,,,,1,,
Vu Dieu Duong Cong,,"Khoa Trong Nguyen,","Khoa Trong Nguyen,Thuy Kim Phuong Nguyen,","Romance,",,"January 12, 2012 (Vietnam)","Vietnam,","Vietnamese,","WE Entertainment,",,"$200,000 (estimated)",1h 53min,,"Stereo,",1.85 : 1,,,,,
Summer is Around,"Stars,Sherman Becher,Van de Saus,Ben G.,,","Onno Mara,",,,,,,,,,,,Color,,,,,,,
The Cancer Period,"Stars,Mohammad Akbari,Bahareh Ansari,Payam Dehkordi,,","Hossein Shahabi,","Hossein Shahabi,","Drama,",,,"Iran,","Persian,","Baran Film House,",,,1h 40min,Color,,16 : 9,,,,,
Amores Líquidos,"Stars,Dime Cronista,Keila Gentil,Lorena Lobato,,","Jorane Castro,","Jorane Castro,","Drama,",,2016 (Brazil),"Brazil,","Portuguese,","Cabocla Filmes,Rec Produtores Associados Ltda.,",,,1h 40min,Color,,,5.5/10,13,3,,
Hitozuma kasei-fu: Uzuki ni oborete,"Stars,Mirei Yokoyama,Azusa Maki,Yuria Hidaka,,","Tetsuya Takehora,","Kiminori Komatsu,","Mystery,",,"March 23, 2012 (Japan)","Japan,","Japanese,","Blue Forest Film,",,,,Color,,,,,,,
Mazhaikaalam,"'Ganja' Karuppu,Saranya Nag,Sri Ram,","S. Dheepan,",,"Drama,",,"April 6, 2012 (India)","India,","Tamil,","A. R. Screens,",,,2h 15min,Color,,,,,,,
Perfect Foreign,,,,,,"December 18, 2016 (Greece)",,,,"$1,434,809",,,,,,,,,,
Joy,"Parvati,Sunil,Vainavi,","Varma .B.R.,",,"Drama,",,"February 20, 2010 (India)","India,","Kannada,","Arunai Pictures,",,,,Color,,,,,,,
Lovelesslust Live: Things We'd Like Not To Remember,"Stars,Johnathan Cooper,Devin Goodsell,Jazmin Gutierrez,,","Tom Hass,",,"Music,",,,"United States,","English,",,,,1h 6min,Color,,,,,,,
Distanásia,"Stars,Priscilla Avila,Betânia Betcher,Mario Candido,,","Isaac Huna,",,"Thriller,",,2014 (Brazil),"Brazil,","Portuguese,","S & H Produções,",,"R$155,000 (estimated)",,Color,,,,,,,
Church Gossip,"Stars,Brian Bowman,Cornell Bradbury,Gerri Brown,,","Kasper Harris,","Kelli Bolton,","Drama,",,"May 16, 2015 (United States)","United States,","English,","ITGfilms,",,,1h 34min,,,,8.2/10,9,,,
"Krónicos, viajeros de la tormenta","Stars,Sofia Cuellar Aliaga,Nerina Carunchio,Leandro Castillo,,","Omar Ismael Rossi,","Omar Ismael Rossi,","Sci-Fi,",,"December 20, 2014 (Argentina)","Argentina,","Spanish,","Colegio ICADE,",,"ARS 20,000 (estimated)",,,,,,,,,
Dabie,"Stars,Estelle Ndinga,Merveille Ndala,Mike Combo,,","Joy Christ,","Estelle Ndinga,","Drama,",,2020 (Congo),"Congo,","French,",,,,,Color,,,,,,,
Desolation,"Stars,Nick Naro,Owen McCuen,Kyle Steele,,","Ryan Fox,","Ryan Fox,Kyle Schiffert,","Crime,Drama,Thriller,",,"April 1, 2014 (United States)","United States,","English,","Time to Back Out Productions,",,"$1,500 (estimated)",1h 21min,Color,,,,,1,,
Onna bengoshi: Momasete shôso,"Stars,Peach Momomiya,Yui Masaki,Yume Honoka,,","Minoru Kunizawa,","Minoru Kunizawa,",,,"February 6, 2015 (Japan)","Japan,","Japanese,","Freak Out,",,,1h 10min,Color,,,,,,,
The Haley Project,"Stars,Laura Benson,Kokou Aurelien Gaya,Taylor Harb,,","Edgar Muñiz,","Writers,Kokou Aurelien Gaya,Seth Johansson,Tiffany Kieu,,","Comedy,Drama,Romance,",Not Rated,,"United States,","English,",,,,1h 15min,Color,,1.78 : 1,,,,,
Ashcan Copies,"Stars,Danny Davidson,Christopher Ellis,Jorge Escamilla,,","Andy Sylvester,Matt Sylvester,","Matt Sylvester,","Drama,Horror,Thriller,",,,"United States,","English,","Blue Ibis Films,",,,1h 24min,Color,,,,,,,
Sing the Blues,"Kôtarô Torii,Kido Masao,","Kenny Ong,","Writers,Irei Hideki,Weijie Lai,Kenny Ong,,","Thriller,",,,"Japan,Singapore,","Japanese,","Momentum,",,,57min,Color,,2.35 : 1,,,1,,
O Poeta,"Stars,Adrian Carvalho Doas Amaral,Paula Cohen Barbosa,Aurora Barreto,,","Marco Nicoletti,","Marco Biglia,Marco Nicoletti,","Comedy,Drama,",,"January 1, 2012 (Brazil)","Brazil,","Portuguese,","Barking Dogs Productions,",,,1h 26min,Color,,,,,,,
One,"Kayli Ross,Olivia Watry,Tristan Baumeister,","Tristan Baumeister,Kayli Ross,Olivia Watry,","Writers,Tristan Baumeister,Kevin Lucero Less,Kayli Ross,,","Horror,Sci-Fi,",,"May 12, 2014 (United States)","United States,","English,","IAA Films,",,"$5,000 (estimated)",54min,Color,"DTS,",16:9 HD,,,,,
List of Saints,"Matt Valliere,Jesse Doole,Chris Torres,","Matt Valliere,Jesse Doole,Chris Torres,","Writers,Jesse Doole,Chris Torres,Chris Torres,,","Action,Crime,Drama,",,"August 22, 2010 (United States)","United States,","English,",,,,45min,Color,,,6.5/10,11,,,
Nick and the Ne'er-Do-Wells,"Stars,Connor Barr,Claire Seaman,Chase Grammer,,","Zoe Dahmen,Kelsey Hockmuller,","Zoe Dahmen,Kelsey Hockmuller,","Adventure,Comedy,Family,",,"September 26, 2012 (United States)","United States,","English,","K->Z Films,A.V. Club Productions,",,"$3,000 (estimated)",1h 23min,Color,,,,,,,
Red Plague,"Stars,Leon Axt,J. Max Baker,Danielle E. Campbell,,","John L. Ponger,","Zubair Simonson,Gordon White,","Comedy,Horror,",,,"United States,","English,",,,"$1,500 (estimated)",,Color,,,,,,,
Über Stock und Stein - Es steht ein Baum im Odenwald,"Stars,Larissa Anton,Rebekka Bareith,Thomas Goersch,,","Larissa Anton,","Larissa Anton,","Drama,History,Mystery,",,"March 20, 2016 (Germany)","Germany,","German,","Larissa Anton Produktion,",,"€100,000 (estimated)",1h,Color,,,,,,,
Fish-Nets,"Alex Vancleeck,","Tim Niverth,","Tim Niverth,","Romance,",,"July 7, 2018 (United States)","United States,","English,","Bordello Productions,",,$25 (estimated),,Color,,,,,,,
Discovering Masterpieces of Classical Music: Wolfgang Amadeus Mozart,,,,,Unrated,May 2014 (United States),,,,,,1h 1min,,,,,,,,
Lady Luck,"Stars,Ashley Dougherty,Kasandra Bandfield,Holly Westwood,,","F.C. Rabbath,","F.C. Rabbath,","Sci-Fi,",,"April 15, 2018 (United States)","United States,","English,","2 Tree Films,F.C. Rabbath Creations,",,,,Color,,,,,,,
History of Movement 2,,"Nicholas Nedelkopoulos,",,"Animation,",,"May 30, 2016 (Australia)","Australia,","None,",,,,1h 41min,Black and White,"Stereo,",,,,,,
Yo quiero a Eva,"Stars,Blanca Aldana,Hernan Canto,Paloma Cumplido,,","Ed Zadi,","Ed Zadi,","Comedy,",,"November 24, 2012 (Mexico)","Mexico,","Spanish,","Zadi Films,",,"$100,000 (estimated)",,,,16:9 HD,,,,,
Solnechnye dni,"Stars,Inkar Abdrash,Asel Kaliyeva,Yuri Radin,,","Nariman Turebaev,","Nariman Turebaev,","Drama,",,"April 3, 2014 (Germany)","Kazakhstan,","Russian,","Kazakhfilm Studios,",,,1h 41min,Color,,,6.9/10,9,6,,
Iraade Maum Ke,"Stars,Zeshan Bhatti,Sonny Chatrath,Smita Gandhi,,","Gaurav Rawal,","Gaurav Rawal,","Drama,",,"June 7, 2015 (India)","United States,","Hindi,",,,,1h 26min,Color,,,,,,,
Los Hamsters,"Stars,Gabriela Bellusci,Juan Crampet,Sergio Gallo,,","Geremías Prum,","Geremías Prum,",,,,"Argentina,","Spanish,",,,,1h 2min,Color,,,,,,,
Poder Oculto,"Alvaro Celorio,Pablo Celorio,David Negrete Ornelas,","Pablo Celorio,","Pablo Celorio,","Crime,Drama,",,"May 22, 2015 (Mexico)","Mexico,","Spanish,","Visualimex,",,"MX$100,000 (estimated)",,,,,,,,,
Aliyah,"Stars,Dhanamajuri,Edhou,Bonny Gurumayum,,","Yoimayai Mongsaba,","Binoranjan Oinam,","Drama,",,"August 19, 2018 (India)","India,","Manipuri,","Evening Star Films Production,",,₹10 (estimated),2h,Color,,,,,,,
Appointed by time,,,,,,,,,,,,,,,,,,,,
Three Months Time,"Stars,Taylor Gall,Anthony Mattias,Paul Moroder,,","Brady Palubiski,","Brady Palubiski,","Comedy,Drama,Romance,",,July 2015 (United States),"United States,","English,",,,$150 (estimated),1h 31min,Color,,,,,,,
Silent Echo,"Stars,Bradley Beamon,Ryan Beamon,Jeffrey Benesh,,","Cory Malkin,Dana Malkin,Kyle Malkin,","Bradley Beamon,Cory Malkin,Joel Malkin,","Action,Adventure,War,",Not Rated,August 2012 (United States),"United States,","English,","Easily Amused Productions,",,,48min,Color,,,7.4/10,86,,,
"The Girl, the Gun, & Everything","Stars,Trenton L. Culkin,Michael Shoemaker,David Cobb,,","Mario Bova,","Mario Bova,","Crime,",Not Rated,"December 27, 2013 (United States)","United States,","English,","Tutti Fuori Productions,",,"$10,000 (estimated)",,,,,,,,,
The Lonesome Lass,"Stars,Kakali Dan,Mahendra Dan,Madhumita Kundu,,","Bhaskar Banerjee,",,"Drama,Family,",,"January 10, 2017 (India)","India,","Bengali,",,,,50min,Color,,,,,1,,
7 Days,"Stars,Grady Lee Richmond,Moe Irvin,Jolene Adams,,","George Blumetti,Maurice Kelly,",,"Sci-Fi,",,"June 1, 2015 (United States)","United States,","English,German,Korean,Spanish,","Kelly Blumetti Entertainment Group,",,"$1,000,000 (estimated)",,Color,,,,,,,
Off Season,,,,,Not Rated,September 2015 (United States),,,,,,1h 23min,,,,,,,,
Dove,,"B.A. Lewandowski,","B.A. Lewandowski,","Animation,Drama,Music,Sci-Fi,Thriller,",,"February 18, 2012 (Germany)","United States,Spain,","English,Spanish,",,,,1h 39min,Color,,,,,,,
My Ghost Partner,,,,,,"September 9, 2012 (Singapore)",,,,"$18,994",,,,,,,,,,
