title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
The Untitled Work of Paul Shepard,"Stars,Kris Holden-Ried,Mary Krohnert,Christine Horne,,","Jeremy LaLonde,","Jeremy LaLonde,","Comedy,Romance,",,"October 21, 2011 (Canada)","Canada,","English,","Cryingman Productions,Eggplant Picture & Sound,The Eggplant Collective,",,,1h 44min,Color,,,6.4/10,67,2,4,
Id-Destin,"Stars,Clayton Pace,Kristen Camilleri,Sonic Aquilina,,","Dominic Said,","Clayton Pace,","Drama,Romance,",,"May 4, 2018 (Malta)","Malta,","Maltese,","Mixta Drama,Brighter Image,",,,,Color,,2.35 : 1,7.1/10,16,,,
Love You Bangaram,"Shravya,Rahul Haridas,Trisha Dantala,","Goverdhan Reddy,",,"Drama,",,"January 24, 2014 (India)","India,","Telugu,","Creative Commercials,",,,,Color,,,,,,,
Aakasmikam,"Stars,Devan,Shivaji Guruvayoor,Madhupal,,","George Kithu,","George Kithu,","Drama,",,"December 14, 2012 (India)","India,","Malayalam,",,,"₹10,000,000 (estimated)",,,,,4.5/10,11,1,,
Hide and Seek,"Stars,Evelyn Coffing,Matthew Fort,Seriah Getty,,","Matthew Evans,","Seriah Getty,","Action,Drama,Sci-Fi,",,"December 4, 2019 (United States)","United States,","English,","Los Metates Studios,",,,1h 58min,Color,,,,,,,
Shahzada Ali,"Nidhi Bisht,Zeishan Quadri,","Akbar Quadri,Azam Quadri,","Akbar Quadri,Azam Quadri,","Drama,",,"October 17, 2020 (India)","India,","Hindi,",,,,,Color,,,,,,,
Rumah di Seribu Ombak,"Stars,Risjad Aden,Tania Grace,Riman Jayadi,,","Erwin Arnada,","Erwin Arnada,Jujur Prananto,","Drama,",,"August 30, 2012 (Indonesia)","Indonesia,","Indonesian,","Tabia Films,Winmark Pictures,",,,1h 47min,Color,,,7.2/10,31,2,,
Bende Kal,"Stars,Peker Açikalin,Sadi Celil Cengiz,Hüseyin Elmalipinar,,","Utku Uçar,","Utku Uçar,","Comedy,",,"July 13, 2018 (Turkey)","Turkey,","Turkish,","Hayal Sanat,","$25,027",TRL 250 (estimated),1h 30min,Color,,,3.0/10,53,,,
"Si vis pacem, para bellum","Stars,Stefano Calvagna,Francesca Fiume,Giulia Anchisi,,","Stefano Calvagna,","Stefano Calvagna,Daniele Malavolta,","Action,Crime,Romance,",,"May 18, 2016 (Italy)","Italy,","Italian,Chinese,","Poker Entertainment,",,,1h 30min,Color,,,6.3/10,13,,,
Bunkerember,"Stars,Zsolt Trill,Nelli Szücs,Mari Nagy,,","Dezsö Zsigmond,","Géza Balogh,Pál Laska,Dezsö Zsigmond,","Drama,",,2010 (Hungary),"Hungary,","Hungarian,","K.K. TV,Magyar Televízió,",,,1h 17min,Color,"Dolby SR,",1.85 : 1,3.7/10,24,,,
Mevsim çiçek açti,"Stars,Turgay Tanülkü,Mehtap Bayri,Onur San,,","A. Levent Ungor,Ali Levent Üngör,","A. Levent Ungor,Ali Levent Üngör,","Drama,",,"April 6, 2012 (Turkey)","Turkey,","Turkish,","Yalinayak Film,","$11,866",,1h 50min,Color,,,5.2/10,50,3,,
Cha Ma,"Stars,Phuong Anh Dao,Ngoc Duyen,Chieu Nghi,,","Ba Vu Nguyen,",,"Horror,Thriller,",C18,"August 23, 2019 (Vietnam)","Vietnam,","Vietnamese,","AmZuong Studio,EV Group,Ánh Sao Production,","$98,619",,1h 28min,,"Dolby Surround 7.1,",2.39:1,5.2/10,20,,,
Vikalp,"Stars,Pankaj Berry,Kranti Prakash Jha,Abhay Joshi,,","Sachin P. Karande,","Vishal Vijay Kumar,Kukku Prabhas,","Crime,Drama,Mystery,Thriller,",,"January 7, 2011 (India)","India,","English,Marathi,Hindi,Thai,","Madhav Movies,Onkar Entertainment,",,,2h 10min,Color,"Dolby Digital,",,6.4/10,18,1,,
Paranoia Tapes 3: SIREN,"Stars,Jack Saint Hunter,Grace Brandt,Celia Searles,,","Directors,Jackie Rae,Nikki Chatwin,Annie Alfiero,,","Jack Saint Hunter,","Horror,",,"December 26, 2018 (United States)","United States,","English,","Southern Sykos Productions,",,,,Color,,,5.2/10,23,1,,
HogMaul: The Legend of Abrams County,"Stars,Chris Beck,Sarah Bentley,Vicki Bentley,,","Nap Bishop,","Nap Bishop,","Comedy,Horror,",,"August 26, 2013 (United States)","United States,","English,",,,,1h 38min,Color,,,6.2/10,31,3,2,
