title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Everything's Gonna Be Pink,"Stars,Talia Wray,Natalie Thomas,Alexandra Turshen,,","Roni Ezra,","Christina Pastor,","Drama,",,2015 (Germany),"United States,","English,","Red Razor Films,Framework Films,Pharmacy Fims,",,,1h 40min,Color,,,7.0/10,14,,,
Amor Assombrado,"Stars,Vanessa Gerbelli,Carmo Dalla Vecchia,Guilherme Prates,,","Wagner de Assis,","Wagner de Assis,","Drama,",,"October 10, 2019 (Brazil)","Brazil,","Portuguese,","Cinética Filmes e Produções,",,,1h 31min,Color,,,5.8/10,25,2,,
Ox Films Collection,"Stars,Damon Appelblat,Cecile Cubilo,Luke Estrada,,","Richard Ryan,","Richard Ryan,","Adventure,Crime,Drama,Horror,Thriller,",,"August 20, 2010 (United States)","United States,","English,","Ox Films,",,"$2,000 (estimated)",1h 30min,Color,,,,,,,
Bloodline: Now or Never,"Stars,Rocky Myers,Erin Ross,Erica Wessels,,","Derrick William,","Tariku Bogale,","Action,Drama,",,,"South Africa,United States,","English,","Cut & Paste Generation,Dual Films (II),Dual Films,",,,,Color,"Dolby Digital,",,,,,,
Yarukkya naito,"Stars,Tomoya Nakamura,Nina Endô,Elisa Yanagi,,","Katsutoshi Hirabayashi,","Nonki Miyasu,Lion Hitoshizuku,Katsutoshi Hirabayashi,","Comedy,",,"May 23, 2015 (Japan)","Japan,","Japanese,","Pony Canyon,",,,,Color,,,5.5/10,46,,,
When Africa Meets You,"Stars,Yang Yue,Wang Ziquan,Dwain Worrell,,","Yan Cui,","Yan Cui,Limin Lu,Qi Ye,","Action,Adventure,Comedy,Romance,",,"October 19, 2018 (China)","China,","Chinese,English,","Shenzhen Bigwill Culture Media,Global Max Media Group,Shenzhen Shi Guangdian Lian Wenhua Chuanmei Youxian Gongsi,","$157,273",,1h 28min,Color,,2.35 : 1,,,,,
La obra del siglo,"Stars,Mario Balmaseda,Mario Guerra,Leonardo Gascón,,","Carlos Quintela,","Abel Arcos Soto,Carlos Quintela,","Drama,",,"April 15, 2016 (Poland)","Argentina,Cuba,Switzerland,Germany,","Spanish,Russian,","Uranio Films,Rizoma Films,Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC),",,,1h 40min,Black and White,,,6.2/10,129,1,7,
Rite of Passage: The Steamfunk Movie,"Stars,Omar Sean Anderson,Shannon Brinson,Casy Cudmore,,","Balogun Ojetade,","Ojetade Balogun,Milton Davis,","Action,Thriller,",,October 2014 (United States),"United States,","English,","Roaring Lions Productions,MVmedia,School of Literature, Media and Communication at Georgia Tech,",,"$5,000 (estimated)",,Color,,,,,,,
Khaidi,"Stars,Yashwanth Bijur,Chandini,Dhanush,,","R. Gurudath,","R. Gurudath,","Drama,",,"April 17, 2015 (India)","India,","Kannada,",,,,2h 25min,Color,,2.35 : 1,,,,,
Female Boss Hooker,,,,"Drama,",,"August 8, 2020 (South Korea)","South Korea,","Korean,",,,,1h 16min,Color,,,,,,,
