title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Koracharithram,"Stars,Murukan Anoop,ArunRaj Appu,Vijay Babu,,","Appu Arunraj Rs,","ArunRaj Appu,","Mystery,",,"September 1, 2020 (India)","India,","Malayalam,",,,"₹300,000 (estimated)",,Color,,,,,,,
Ek Sangharsh Mastercha,"Stars,Dipak Bhavsar,Sachin Birhade,Sachin Chandwade,,","Mahesh Thorat,","Shubham Shimpi,","Biography,",,"January 5, 2018 (India)","India,","Marathi,",,,"₹2,500,000 (estimated)",,,,,,,,,
Aithalakkadi,"Stars,Rangayana Raghu,Bullet Prakash,Neethu Shetty,,","J.G. Krishna,","J.G. Krishna,","Comedy,",,"June 4, 2010 (India)","India,","Kannada,","Chithra Kuteera,",,,,Color,,,5.6/10,10,,,
Let's Make an Opera,"Stars,Emily Brown,Katy Connors,Lola Eden,,","Justin Raffa,",,"Music,",,"February 4, 2017 (United States)","United States,","English,",,,"$1,390 (estimated)",,Color,"Stereo,",,,,,,
Agadir Express,"Stars,Mohamed Bastaoui,Abdelilah Rachid,Rabii Benjhaile,,","Youssef Fadel,","Youssef Fadel,","Drama,",,2014 (Morocco),"Morocco,","Arabic,","Toubkal Prod,",,,1h 30min,Color,,2.35 : 1,,,,,
Sheep in Fog,"Stars,Jason Croot,George Hewer,Tonia Nee,,","Jason Croot,Stephen Southouse,","Stephen Southouse,","Biography,Drama,Romance,",,"September 30, 2016 (United Kingdom)","United Kingdom,","English,","Zelica Films,",,,1h 45min,Color,,,8.7/10,16,,,
Dil Dosti Love in Life,"Hasmukh Bhavsar,Jignesh Modi,Chandan Rathod,","Bapu .K.R.,","Chandan K. Rathod,","Drama,",,"March 23, 2018 (India)","India,","Gujarati,","Devva Creations,",,,2h 11min,Color,,,,,,,
Sakuradamon-nai no hen,"Stars,Katsumi,Kota,Asakura Pancho,,","Hiroyuki Watanabe,","Yuki Kesennuma,","Drama,",,"October 20, 2012 (Japan)","Japan,","Japanese,","Project Ibaragi,Rei 23,",,,1h 22min,Color,,,,,,,
Three Minutes to Midnight,"Stars,Rachelle Crowder,Rickey Crowder,Taylor Needham,,","Kevin Rogers,","Writers,Rickey Crowder,Devon Dundee,Taylor Needham,,","Action,",,"May 21, 2013 (United States)","United States,","English,","BackSpace Productions,",,$40 (estimated),1h 30min,Color,,,,,,,
The Tuba Thieves,"Stars,Jared DeBusk,Russell Harvard,Nyke Prince,,","Alison O'Daniel,",,"Music,",,2014 (United States),"United States,","English,",,,,,Color,,,,,,,
Magánterület,"Stars,Balázs Czukor,János Derzsi,Afaneh Dániel,,","András Kécza,","András Kécza,","Drama,",,2015 (Hungary),"Hungary,","Hungarian,",,,"HUF 30,000 (estimated)",,Color,,,,,,,
Laloorinu Parayanullathu,"Stars,K. Venu-Social Activist,Sarah Joseph-Social Activist,Medha Patkar,,","Sathish Kalathil,","Sathish Kalathil,Bhasi Pangil,","History,",,"December 2, 2012 (India)","India,","Malayalam,","Digital Film Makers Forum Trust,",,"$20,310 (estimated)",1h,,,,,,,,
Beyond the court,"Travis Holmes,Berry Williams Jr.,","Ray Simone,","Ray Simone,","Family,",,"December 14, 2020 (United States)","United States,","English,",,,"$5,000 (estimated)",,Color,,,,,,,
"Una vida, un país. Alberto Arvelo Ramos",,"Alejandro Victorero,","Alejandro Victorero,","Biography,",,"March 15, 2011 (Venezuela)","Venezuela,","Spanish,","Tempano Films & Arts,",,,,Color,,,,,,,
Kamp,"Stars,Candemir Ongan,Evren Aslan,Yagmur Nazli Genç,,","Mustafa Kara,","Evren Aslan,Mustafa Kara,","Action,Drama,Thriller,",,"April 23, 2013 (Turkey)","Turkey,","Turkish,","BLACKMANMEDIA,Ali Akcan,",,"TRL 15,000 (estimated)",1h 30min,Color,,,4.1/10,58,,,
Danny's Day Trip,"Stars,Sean Bolger,Michael Ehlers,Charles Andrew Gardner,,","Matthew Scott Lloyd,","Matthew Scott Lloyd,","Drama,",,,"United States,","English,",,,,1h 18min,Color,,,,,,,
Footprints,"Sin Yu Valonia Chau,José Ho,","Jackie Chow,Wai Wong,",,"Drama,",,"August 25, 2017 (Canada)","Hong Kong,","Chinese,",,,"$1,000,000 (estimated)",,Color,,,,,,,
tt12923752,,,,,,"August 14, 2020 (Japan)",,,,,,,,,,,,,,
Shattered Fragments,"Stars,Andrea Osp Karlsdottir,Amanda Goldsmith,David Ordinas,,","Brahim Amzil,Þórunn Lárusdóttir,Sara Louise Mahgoub,","Þórunn Lárusdóttir,Sara Louise Mahgoub,","Drama,",,October 2018 (Spain),"Spain,","English,",,,,1h 12min,Color,,,8.8/10,9,,,
Hunting Horse,,,,,,,,,,,,,,,,,,,,
Scars of Ancient Futures,"Crystal Loverro,Patricia Raven,Jake Reehl,","Leonel Ortega-Valdez,","Leonel Ortega-Valdez,","Horror,",,2019 (United States),"United States,","English,",,,"$1,000 (estimated)",,Color,,,,,,,
Fidelio,"Stars,Sebastian Holecek,Jochen Schmeckenbecher,Robert Dean Smith,,","Otto Schenk,",,"Drama,",,"June 9, 2015 (Austria)","Austria,","German,",,,,2h 29min,,,16:9 HD,,,,,
Prophecy,"Stars,Lekzin Choden,Lekzin Choden,Loday Chophel,,","Zuri Rinpoche,","Writers,Pelden Dorji,Fiona Lo,Zuri Rinpoche,,","Drama,",,April 2015 (United States),"Bhutan,","Dzongkha,",,,,1h 32min,Color,,,6.4/10,14,,,
Coma Profundo,,"Roberto Angel Salcedo,","Roberto Angel Salcedo,","Drama,",,2018 (Dominican Republic),"Dominican Republic,",,"Miranda Films,",,,,Color,,,,,,,
"Deep Meaning aka: Neglect, Hate & Self Shame","Stars,Rosey Hayes,Maeve Moran,Caoimhe Murphy,,","Alan Power,","Alan Power,","Animation,Drama,",,"August 11, 2018 (Ireland)","Ireland,","English,",,,€800 (estimated),52min,Color,,1.78 : 1,,,1,,
Love Beyond Eternity,"Qiuping Duan,Jun Yang,Chunyao Zhan,","Weiji Miao,",,,,"March 28, 2013 (China)",,"Chinese,","Dongguan Cultural Media CO.,",,,,Color,,,,,,,
Mero Badloo,"Stars,Mahendra Gaur,Rudra Gour,Swati Jaiswal,,","Mahendra Gour,","Murari lal Pareek,","Drama,",,"June 19, 2015 (India)","India,","Rajasthani,","TVF,",,"₹300,000 (estimated)",,Color,,,,,,,
She's Dead,"Stars,Serena Chloe Gardner,Alexander Lewis,Julian Seager,,","Nick Box,Sam Wahnon,","Nick Box,","Horror,",,"October 31, 2012 (United Kingdom)","United Kingdom,","English,","Dead Good Films Like Productions,",,£800 (estimated),,Color,,,6.6/10,46,2,3,
Stuck Underground,"Manos Krystalis,Patrick McLean,","Manos Krystalis,","Manos Krystalis,","Crime,",Approved,,"United States,",,"Krystalis,",,"$15,000,000 (estimated)",,,,16:9 HD,,,,,
On Hold,"Júlia Ventura,","Adria Freijo,Naomi Urquizu,","Adria Freijo,Carla Jiménez,Naomi Urquizu,",,,"June 17, 2019 (Spain)","Spain,","English,",,,"€3,000 (estimated)",1h,,,,,,,,
