title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
The Helsings,"Stars,Cheryl Lynn Golemo,Alison Van Dam,Peter Mastne,,","Arthur Gilchrist,Anuj Iravane,","Taylor Beck,","Drama,Thriller,",,"May 26, 2017 (United States)","United States,","English,","Applause for a Cause,",,"$6,000 (estimated)",,Color,,,6.7/10,7,,,
Smart & Clever,"Stars,Tomasz Banak,Han Dan,Greg Hardin,,","Mark Mos,Mariusz Marek Moscicki,","Mark Mos,","Crime,Drama,Mystery,",Not Rated,,"United States,","English,",,,"$30,000 (estimated)",1h 20min,Color,"Stereo,",,,,,,
Matthe Shhh,"Stars,Ashok Cashyap,Vijay Chendoor,Shruthi Heera,,","Wesley,",,"Drama,",,"March 25, 2016 (India)","India,","Kannada,",,,,2h 38min,Color,,2.35 : 1,,,,,
Skazhi pravdu,"Nina Gerai,Ivan Meshkorudnikov,Polina Pakhomova,","Kirill Gerasimov,","Kirill Gerasimov,","Drama,",,,"Russia,","Russian,",,,,1h 7min,Color,,,,,,,
Lies We Tell,"Stars,Adam Filangeri,Clinton Hammond,Tarek Jafar,,","Andrew Helmer,","Andrew Helmer,","Drama,",,,"Canada,","English,","Obscure Thoughts Productions,",,"CA$10,000 (estimated)",1h 15min,Color,,2.35 : 1,,,,,
Stúlkurnar frá Kleppjárnsreykjum,,,,,,"October 18, 2015 (Iceland)",,,,"$29,283",,,,,,,,,,
El regreso de Lencho,"Stars,Mario Lanz,Miriam Arenas,Tatiana Palomo,,","Mario Rosales,","Mario Rosales,","Drama,",,"November 9, 2012 (United States)","Guatemala,","Spanish,Maya,English,","Occularis Films,",,,,Color,,1.66 : 1,4.5/10,12,,,
Baxt izlab,"Dineyra,Oyhon Ganiyeva,Shuxrat Yuldashev,","Zebo Nuruzova,","Zebo Nuruzova,","Drama,",,"April 30, 2011 (Russia)","Uzbekistan,","Uzbek,","Temr Jan Film (TJ Film),",,,1h 20min,Color,,,,,,,
Tolet 4 Bachelors Only,"Kalyan,Narsing Yadav,","Ramana Geddam,",,"Drama,",,"March 8, 2014 (India)","India,","Telugu,","Kingdom Movies,",,,1h 53min,Color,,,,,,,
Brody: He's Back,"Stars,Boriyan Andonov,Andrei Boyanov,Mimo Garcia,,",,"Writers,Martin Andreev-son,Stela Boreva,Mimo Garcia,,","Action,",,"October 15, 2015 (Bulgaria)","Bulgaria,","Bulgarian,",,,"BGL 2,500 (estimated)",,Color,,,,,,,
Skynd Deg Sakte (Hurry Slowly),"Amalie Ibsen Jensen,David Jakobsen,Lars Halvor Andreassen,","Anders Emblem,","Anders Emblem,","Drama,",,"July 14, 2018 (United States)","Norway,","Norwegian,","Vesterhavet,",,,1h 8min,Color,,2.39 : 1,7.3/10,20,1,,
Post BFA,"Stars,Emilie Alexandre,Elli Stovall Brown,Lauren Butler,,","Timothy Penalosa,","Ben Strate,","Drama,",,"September 23, 2020 (United States)","United States,","English,",,,"$1,600 (estimated)",52min,Color,,,,,,,
Romancing Sydney,"Stars,Aileen Beale,Gabrielle Chan,Connor Dowling,,","Anmol Mishra,","Anmol Mishra,","Comedy,Romance,",,"November 14, 2013 (India)","Australia,","English,",,,,1h 40min,Color,,,,,1,,
Ironie fatale,"Stars,Amanda Baye,Lux Bayonne,Credo Eguenin,,","Michael Gandoh,","Michael Gandoh,","Drama,",,2016 (Congo),"Congo,","French,",,,,,Color,,,,,,,
Yarimdunya,"Stars,Parvin Abiyeva,Rovshan Agayev,Kamran Aghabalayev,,","Kamran Aghabalayev,Osman Albayrak,","Mehmet Ulukan,","Drama,",,"April 9, 2015 (Azerbaijan)","Azerbaijan,","Azerbaijani,","Aruba,PicMus Production,Red Socks,",,"AZM 100,000 (estimated)",,Color,,,3.5/10,35,,,
PureH: CMBR,,"Simon Serc,",,"Music,",,"May 10, 2017 (United Kingdom)","United Kingdom,",,"Matrix441,Pharmafabrik,",,,45min,Color,"Dolby Surround 7.1,",,,,,,
Depresszió: 15 éves jubileumi koncertfilm,,"Péter Tokay,",,"Music,",,"October 9, 2016 (Hungary)","Hungary,","Hungarian,","PXL Pictures,",,,,Color,,,,,,,
Kaand Black Scandal,"Jagbir,Mahimaa,Surajkshah,","Kumar Santosh Gupta,","Kumar Santosh Gupta,","Drama,",,"November 15, 2013 (India)","India,","Hindi,","MK Murti Productions,",,"₹25,000,000 (estimated)",,,,,,,,,
Something Barked on Christmas Morning,"Michael Sean Erickson,Sharon Marston,","Michael Sean Erickson,","Michael Sean Erickson,","Family,",,"December 25, 2019 (United States)","United States,","English,","Darkest Night Films,",,"$100,000 (estimated)",1h 30min,Color,,,,,,,
An Odd Day in Town,,"Meagan Niverth,","Meagan Niverth,Tim Niverth,","Drama,",,"January 13, 2018 (United States)","United States,","English,","Bordello Productions,",,$25 (estimated),,Color,,,,,,,
"Mada, ningen","Stars,Denden,Honoka Ishibashi,Ryosuke Kato,,","Junpei Matsumoto,","Junpei Matsumoto,","Drama,",,"May 26, 2012 (Japan)","Japan,","Japanese,",,,,2h 12min,Color,,,,,1,,
Evolution of the Mind,,"0010x0010,",,,,"July 14, 2015 (United States)","United States,",,"Cyberstate of Consciousness,",,"$20,000 (estimated)",,Black and White,,,,,,,
