title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Yanimda Kal,"Stars,Caglar Ertugrul,Meric Aral,Murat Aygen,,","Mustafa Ugur Yagcioglu,","Çaglar Yurt,","Romance,",,"December 21, 2018 (Turkey)","Turkey,","Turkish,","Lucky Red Film & TV,Sony International,","$70,093",,1h 45min,Color,"Stereo,",,5.5/10,598,2,2,
Dak teol,"Kim Chang-wan,Bae So-eun,Seo Gun-woo,","Sung-Hong Kim,","Sung-Hong Kim,","Action,Horror,Thriller,",,"June 20, 2013 (South Korea)","South Korea,","Korean,","Nomad Film Company,",,,1h 37min,Color,,,4.7/10,132,1,,
The Hacker,"Stars,Aryann Bhowmick,Aryan D. Roy,Ena Saha,,","Subrata Mondal,Subroto Mondal,Siddhartha Sen,",,"Action,Drama,",,"March 1, 2019 (India)","India,","Bengali,","Lace Styles,",,,2h 1min,Color,,,8.1/10,47,1,,
Jätten,"Stars,Christian Andrén,Johan Kylén,Anna Bjelkerud,,","Johannes Nyholm,","Johannes Nyholm,","Drama,Sport,",Not Rated,"October 14, 2016 (Sweden)","Sweden,Denmark,","Swedish,","Film i Väst,Sveriges Television (SVT),Beofilm,",,,1h 26min,Color,,1.85 : 1,6.5/10,1.1K,3,20,
Ithu Thaanda Police,"Stars,Asif Ali,Janani Iyer,Abhirami,,","Manoj Palodan,","Manoj Palodan,Ranjith,","Comedy,",,"March 18, 2016 (India)","India,","Malayalam,","Elu Films,",,,2h 4min,Color,,,3.2/10,167,,,
6:15,"Stars,Rosebud Baker,Matt Riker,Ben Samuels,,","Ben Samuels,","Ben Samuels,","Action,Horror,Thriller,",TV-14,"August 24, 2018 (United States)","Canada,United States,","English,","615 The Movie,",,,1h 23min,Color,,2.39:1,3.9/10,205,7,4,
Squid Man,"Stars,Andrew Roth,Laurel Schroeder,Eric Bryant,,","Charlie Cline,","Charlie Cline,","Comedy,Sci-Fi,",Not Rated,"November 13, 2013 (United States)","United States,","English,","Storynaut Productions,Lemodeln Model & Talent Agency,",,,1h 29min,Color,,,6.6/10,73,7,,
Ma vie avec James Dean,"Stars,Johnny Rasse,Mickaël Pelissier,Nathalie Richard,,","Dominique Choisy,","Dominique Choisy,","Comedy,",,"January 23, 2019 (France)","France,","French,English,","La Voie Lactée,Les Amis de Jimmy,Bulldog Audiovisuel,",,,1h 48min,Color,,1.78 : 1,6.4/10,505,6,10,
A Night in the Woods,"Scoot McNairy,Anna Skellern,Andrew Hawley,","Richard Parry,","Richard Parry,","Horror,Mystery,",TV-MA,"September 7, 2012 (United Kingdom)","United Kingdom,","English,","Vertigo Films,",$357,,1h 22min,Color,,,3.7/10,898,20,23,
Duplicity,"Stars,Benjamin Mehr,Andrew Wright,Ben Gardner,,","Garrett Adams,","Garrett Adams,","Mystery,",,"August 1, 2017 (United States)","United States,","English,","Grand Production Films,Enigma Studios,",,"$3,000 (estimated)",1h 11min,Color,,2.35 : 1,7.9/10,11,1,,
