title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Nishikan,,,,"Drama,",,"March 4, 2017 (Japan)","Japan,","Japanese,",,,,48min,Color,,,,,,,
Imt Smile A Lúcnica - Made In Slovakia,,"Pauli Janik,",,,,"November 13, 2016 (Slovakia)","Slovakia,",,,"$36,257",,,,,,6.2/10,6,,,
Sophie,"Stars,Jordan M. Lacroix,Tamara Gordon,Craig A. Nelson,,","Jordan M. Lacroix,","Jordan M. Lacroix,","Action,Drama,",,"January 1, 2014 (Canada)","Canada,","English,","Guilt Trip Productions,",,,1h 10min,Color,,2.35 : 1,,,,,
Lucky Juliet,"Stars,Steve Bethers,Janelle Christa,Jana Edgington,,","Gregory C. Haynes,","Gregory C. Haynes,","Drama,",,"April 1, 2011 (United States)","United States,","English,","F W Entertainment,",,,,Color,,,,,,,
Sekisetsuna kyori,,,,,,,"Japan,","Japanese,",,,,1h 37min,Color,,,,,,,
A Likeness in Stone,"Stars,Josh Sanger,Murphy McKenzie,Jordan Alexander,,","Kevin McGuiness,","Kevin McGuiness,","Animation,Drama,Mystery,Thriller,",,,"Canada,","English,",,,,55min,Color,,,,,,,
In the Night,"Stars,Nicole Dionne,Eric Dysart,Sara Brophy,,","Götz Neumann,","Götz Neumann,","Comedy,Music,Musical,",Not Rated,"November 2, 2012 (United States)","United States,Germany,","English,","UnitedRain Productions,",,"€200,000 (estimated)",1h 26min,Color,,,8.2/10,9,,,
A Man's Gotta Do,"Tonya Smith,","Lawrence Lee Wallace,","Agin Muhammad,","Drama,",,,"United States,","English,",,,,1h 2min,Color,,,,,,,
Tumo kodeksas,"Stars,Egidijus Aleksandravicius,Vytautas Alisauskas,Ramunas Cicenas,,","Eimantas Belickas,","Liudvika Pociuniene,","Biography,",,"December 7, 2018 (Lithuania)","Lithuania,","Lithuanian,","Ketvirta versija,",,,1h 26min,Color,,,7.7/10,16,,,
La despedida,"Stars,Maxi De la Cruz,Diego Delgrossi,Coco Echagüe,,","Silvana Tomeo,","Alejandro Grobert,Karin Steffen,Javier Tió,","Comedy,",,"March 10, 2010 (Uruguay)","Uruguay,Brazil,Mexico,","Spanish,","Malicia producciones,Panda Filmes,","$118,550","$300,000 (estimated)",,Color,,,,,,,
Middlesbrough vs Southampton,,,,"Reality-TV,",,"May 13, 2017 (United Kingdom)","United Kingdom,","English,",,,,1h 36min,Color,,,,,,,
Slim,"Stars,Michael Arell,Michael Armstrong,Jake Cote,,","Michael Arell,","Michael Arell,","Adventure,Comedy,",,"August 19, 2017 (United States)","United States,","English,",,,,1h 22min,Color,,,,,4,,
The Dark Side of the Tooth,,,,"Drama,",,"September 30, 2014 (United States)",,"English,",,,,,Color,,,,,,,
Ami Zoubu,"Murray Clive Walker,Qi Liu,Zhuo Cuo Wang,","Ni Ya,","Zong Jin,","Sport,",,"June 10, 2013 (China)","China,","Chinese,",,,,,Color,,,,,,,
Sincere's Heart,"Stars,Trina Analee,Detra Bickerstaff,Peter Blain,,","Brandi Webb,","Brandi Webb,","Drama,Family,",,"June 24, 2016 (United States)","United States,","English,","Yet 2 Evolve Productions,",,,1h 26min,Color,,,,,,,
Stained Glass,"Stars,Rowin Amone,Arielle Bendory,Scott Curley,,","Rich Lugo,","Rich Lugo,","Drama,Thriller,",,"October 9, 2014 (United States)","United States,","English,","Audacity Innovative,Danspiek Dance Theatre,",,,45min,Color,"SDDS,",1.85 : 1,,,,,
Les sept remparts de la citadelle,"Stars,Philippe Caulier,Antar Hellal,Elise Hobbé,,","Ahmed Rachedi,","Mohamed Maarfia,","War,",,2017 (Algeria),"Algeria,","Arabic,French,","Arfilm Télécinex,",,,,Color,"D-Cinema 48kHz 5.1,",2.35 : 1,7.3/10,8,,,
Mais je dream ou quoi?,"Stars,Tangi Colombel,Liam Hababou,Michael Hababou,,","Michael Hababou,","Michael Hababou,","Comedy,",,2013 (United States),"United States,","French,","7 Lions,",,,,Color,,,,,,,
Janu Mari Lakhoma Ek,"Jignesh Kaviraj Barot,Hitu Kanodia,Naresh Kanodia,","Bhagwan Waghela,","Bhagwan Waghela,","Drama,",,"January 13, 2017 (India)","India,","Gujarati,",,,,2h 15min,Color,,,,,,,
Frissítés,"Stars,Szabó Attilla,Ágota Dunai,Bogdán György,,","Szabó Attila,",,"Drama,",,"July 4, 2017 (Hungary)","Hungary,","Hungarian,",,,"HUF 300,000 (estimated)",,,,,,,,,
Big Baby,"Kate Braithwaite,","Oliver Gray,",,,,"February 10, 2011 (United Kingdom)","United Kingdom,","English,","White Night Films,",,"£5,000 (estimated)",,Color,,,,,,,
Here's to Wishing I Had My Cats at the Rapture,"Stars,Ann Niblock,Emmy Panzica,Geoffery Pottorff,,","J. Large,","J. Large,","Comedy,Drama,",Not Rated,"March 18, 2014 (United States)","United States,","English,","WHAT!?roductions,",,,1h 35min,Color,,16:9 HD,8.7/10,22,,,
Ruda lejt najt,"Michal Kavalcík,","Vojtech Nouzák,","Michal Kavalcík,","Talk-Show,",,"March 5, 2015 (Czech Republic)","Czech Republic,","Czech,","TV Barrandov,",,"CZK 300,000 (estimated)",,Color,,,,,,,
Say It Like It Is,"Stars,Edmond Cofie,Alex Karfarkis,Maria McIndoo,,","Maria McIndoo,","Maria McIndoo,","Comedy,Drama,",,"March 22, 2013 (United Kingdom)","United States,","English,","MacCanDo Productions,",,"$3,000 (estimated)",1h 15min,Color,,,,,,,
Cascading Darkness,"Stars,Fady Kerko,Salim Khassa,Debra Jans,,","Salim Khassa,","Salim Khassa,Don L. Wilhelm,","Action,Adventure,Crime,Drama,",,"December 10, 2016 (United States)","United States,",,"Look Before You Leap Film Production,",,,1h 33min,,,,,,,,
Zebras in Wyoming,"Matt Greenhut,","Matt Greenhut,","Matt Greenhut,","Drama,",,2017 (United States),"United States,",,"MAY Films,Rogue Movies,",,,,,,,,,,,
Local Girls,"Stars,August Andong,Tine Genzola Terrenal,Sam Prudente,,","Ned Trespeces,","Ned Trespeces,","Drama,",,"July 16, 2011 (Philippines)","Philippines,","Filipino,Visayan,","Dirty Kitchen Productions,",,,1h,Color,,,,,,,
No Other Love,,,,,,"January 16, 2016 (Japan)","Japan,","Japanese,",,,,,Color,,,,,,,
In This Room,"Sarah-Louise Tyler,Simon Howells,","Richard Swingle,","Richard Swingle,","Drama,Mystery,",,"May 10, 2012 (United Kingdom)","United Kingdom,","English,","Long Wednesday Productions,",,,1h 10min,Color,,,8.2/10,7,1,,
Suryaganga,,,,,,2017 (United States),,,,,,,,,,,,,,
Jingle Boy,"Stars,Kalila Aguilos,Sherry Vidal Bautista,Aryn Cristobal,,","Dan Gil,","Dan Gil,","Comedy,",,"March 1, 2013 (Philippines)","Philippines,","Tagalog,","Biemann Produktion Haus,Watusi Productions,",,"₱3,000,000 (estimated)",,Color,,,,,,,
Skeletons,"Stars,John Baxter,Ricky Callan,Nick Cheals,,","Craig-James Moncur,","Craig-James Moncur,","Crime,Thriller,",,"October 11, 2014 (United Kingdom)","United Kingdom,United States,","English,","Black Box Digital Media,",,"£30,000 (estimated)",1h 20min,Color,"Stereo,",2.35 : 1,6.8/10,6,,,
The Bolshoi Ballet: Live From Moscow - La Sylphide,,,,"Fantasy,Music,Romance,",,"November 11, 2018 (Russia)",,,,"$171,177",,2h,,,,,,,,
Foliar Brasil,"Stars,Thiago Fragoso,Gustavo Melo,Pedro Osorio,,","Carolina Paiva,",,"Drama,",,2011 (Brazil),"Brazil,","Portuguese,","Flora Filmes,",,,1h 38min,Color,,,3.0/10,8,,,
Sharing,"Asuka Hinoi,Tomoki Kimura,Kinuo Yamada,","Makoto Shinozaki,","Zenzo Sakai,Makoto Shinozaki,","Animation,Mystery,Thriller,",,"April 23, 2016 (Japan)","Japan,","Japanese,","Office Kitano,",,,1h 34min,Color,,,5.3/10,24,3,,
