title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Roth,"Stars,Patrick Bergin,Trevor Downey,Karen Griffin,,","Colin Downey,","Colin Downey,",,,"December 1, 2017 (Ireland)","Ireland,","English,","Ehlemvision,",,,,,,,,,,,
Baomu de Simi Riji,"Stars,Qingqing Chen,Jessie Li,Ge Xu,,","Jiuwei Fan,","Jiuwei Fan,","Drama,",,"August 21, 2015 (China)","China,","Mandarin,","Fujian Giant Elephant Media,",,,1h,Color,,,,,,,
America - Live at the Palladium,"Stars,America,Gerry Beckley,Dewey Bunnell,,","Dave Meehan,",,"Musical,",,"April 3, 2019 (United Kingdom)","United Kingdom,","English,","Gonzo,",,"£80,000 (estimated)",1h 27min,Color,"Stereo,",16:9 HD,,,,,
Vyshe neba,"Stars,Tatyana Bovkalova,Leonid Pashkovsky,Viktor Rybchinskiy,,","Dmitry Marinin,Andrey Kureychik,","Andrey Kureychik,","Drama,Family,Musical,",,"June 21, 2013 (United States)","Belarus,","Belarusian,Russian,","Visual Effects Production,",,,2h 13min,Color,,,7.0/10,46,,,
Apocalypse,,,,,PG,"November 1, 2015 (United Arab Emirates)",,,,"$48,569",,1h 35min,,,,7.2/10,5,1,,
Larga Distancia,"Stars,Denisse Arreguí,Valquiria Huertas,Miguel Iza,,","Franco Finocchiaro,","Franco Finocchiaro,Jorge Ossio Seminario,","Drama,",,,"Peru,","Spanish,","Candu Films,Plot Point Films,",,,,Color,,,,,,,
Musmos na sumibol sa gubat ng digma,"Stars,Junyka Santarin,Juan Miguel Emmanuel Salvado,Star Orjaliza,,","Iar Arondaing,","Iar Arondaing,","Drama,",,"August 4, 2018 (Philippines)","Philippines,","Filipino,Tagalog,",,,,1h 45min,Color,,,6.3/10,9,1,,
Who Pays the Hitman,"Stars,Jo Austin,Matthew Burke,Shalane Connors,,","Rod Millner,","Andrew Hartley,","Comedy,Drama,",TV-MA,,"Australia,","English,","Bondiwood Films,",,"$200,000 (estimated)",1h 27min,Color,,,7.8/10,13,,,
Aluchatiyam,"Ramya Narasimman,Ragu,","Premkumar,",,"Drama,",,2014 (India),"India,","Tamil,",,,,,Color,,,,,,,
El loro y el cisne,"Stars,Luciana Acuña,Luis Biasotto,Mario Gallizzi,,","Alejo Moguillansky,","Alejo Moguillansky,","Comedy,",Not Rated,April 2013 (Argentina),"Argentina,","Spanish,","El Pampero Cine,Milkwood,",,,1h 42min,Color,,,6.2/10,105,1,,
Pueblo Viejo,"Stars,Teodosio Cuba,Cristhian Esquivel,Joel Huaroc,,","Hans Matos Camac,","Hans Matos Camac,","Western,",,"October 11, 2015 (Spain)","Peru,","Spanish,","Llanki cine + medios,",,"$186,000 (estimated)",1h 36min,,,,5.3/10,8,1,,
Magti-Ayon,"Bless Ramirez,Rod Maceda,","Rod Maceda,","Rod Maceda,","Romance,",,"November 20, 2020 (Philippines)","Philippines,","Filipino,","Sexy Love Cinema Productions,",,"₱100,000 (estimated)",1h 30min,Color,,,,,,,
Bound for Leem,"Isabell Gerschke,Hannes Wegener,Fenja Marlyn,","Maren Courage,","Maren Courage,","Fantasy,",,"February 11, 2011 (Germany)","Germany,","German,","Traumläufer.FILM,",,,45min,Color,,,,,,,
Premism,"Stars,Amulya,Neenasam Ashwath,Avinash,,","Rathnaja,","Rathnaja,","Drama,",,"April 2, 2010 (India)","India,","Kannada,","Kalpana Shakti,",,,2h 59min,Color,,,,,,,
