title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Being Mrs Elliot,"Stars,Perpetua Adefemi,Lawal Adekunle,Tomi Adeoye,,","Omoni Oboli,","Omoni Oboli,","Comedy,Romance,",,"September 5, 2014 (Nigeria)","Nigeria,","English,","Dioni Visions,",,"$200,000 (estimated)",1h 53min,Color,,,6.5/10,18,1,,
For Those Whose God Is Dead,"Stars,Malte Steiner,Hermina Fátyol,Christian Harting,,","Lemohang Jeremiah Mosese,","Lemohang Jeremiah Mosese,",,,"November 27, 2013 (Brazil)","Germany,","German,English,","Mokoari Street Productions,",,,1h 13min,Black and White,"Stereo,",2.35 : 1,5.0/10,11,,,
Charlotte,"Stars,Ashleigh Chanel,David Daradan,Gary Hartley,,","Nima Raoofi,","Nima Raoofi,","Drama,Mystery,",,"May 1, 2017 (Australia)","Australia,","English,",,,"A$30,000 (estimated)",1h 10min,Color,,2.35 : 1,3.8/10,157,,,
Lensface,"Michael D. Jones,Travis Zariwny,","Travis Zariwny,","Travis Zariwny,","Horror,",,January 2020 (United States),"United States,","English,","Wooden Rocket Productions,",,,1h 32min,Color,,,,,,,
Ann,"Carlos Antonio León,Jose Manuel Dominguez,The Dog Hero,","Carla Forte,","Carla Forte,Vicente Forte,","Drama,",,,"United States,","English,","ERE. Bistoury,",,,1h 19min,Color,,,7.4/10,10,7,,
Sakudumbam Shyamala,"Stars,Esther Anil,Bhama,Kunchacko Boban,,","Radhakrishnan Mangalath,","Krishna Poojappura,","Comedy,",,"July 23, 2010 (India)","India,","Malayalam,","Kunjuveettil Creations,",,,2h 18min,Color,"DTS,",1.85 : 1,4.6/10,87,,,
North Circular Road,"Stars,Lorna Larkin,Patrick O'Donnell,Patrick J Molloy,,","Donal Nugent,","Donal Nugent,","Drama,Mystery,Thriller,",,"July 11, 2015 (United Kingdom)","United Kingdom,Ireland,","English,","Dark Window Media,Peachy Vision,Red Line Filmes,",,"€100,000 (estimated)",1h 36min,Color,,1.85 : 1,6.8/10,28,2,1,
Pendulum (Pandul),"Stars,Naeim Jebeli,Hailey Imany,Golshad Moradi,,","Mostafa Azizi,Amir Ganjavie,","Mostafa Azizi,Amir Ganjavie,","Drama,",,"November 24, 2019 (Canada)","Canada,","Persian,","Pendulum Film,",,"CA$300,000 (estimated)",,Color,,,,,,,
Tränen der Sextner Dolomiten,"Stars,Manfred-Anton Algrang,Riccardo Angelini,Christian Bianco,,","Hubert Schönegger,","Peter Dollinger,","Drama,History,",,April 2014 (Italy),"Italy,","Italian,German,","Geosfilm KG,",,,,Color,"Dolby Digital,",2.35 : 1,5.2/10,21,,,
Tenshi no iru toshokan,"Stars,Fuka Koshiba,Kyôko Kagawa,Gaku Matsuda,,","Atsushi Ueda,","Kyôko Inukai,","Drama,",,"February 18, 2017 (Japan)","Japan,","Japanese,","Horizon,JR West Japan Communications,Library Content Services,",,,1h 48min,Color,,,,,,,
I più grandi di tutti,"Stars,Claudia Pandolfi,Alessandro Roja,Marco Cocci,,","Carlo Virzì,","Andrea Agnello,Francesco Lagi,Carlo Virzì,","Comedy,",,"April 4, 2012 (Italy)","Italy,","Italian,","Eagle Pictures,Indiana Production,Motorino Amaranto,",,"€2,000,000 (estimated)",,Color,,,6.2/10,240,10,,
Pink Heat,"Stars,Matt Berdahl,Jeffrey R. Burgess,Jordan Burgess,,","Sean LaFollette,","Sean LaFollette,","Action,Drama,",,"July 12, 2017 (United States)","United States,","English,","SWF Productions,",,,1h 19min,Color,,,4.7/10,10,2,,
2 Hours Love,"Stars,Tanikella Bharani,Kriti Garg,Sri Pawar,,","Sri Pawar,","Rajnikanth Kota,","Romance,",,"September 6, 2019 (India)","India,","Telugu,",,,"₹15,000,000 (estimated)",2h 30min,Color,,,6.9/10,2K,3,,
The Guru & the Gypsy,"Stars,Devon Gummersall,Sarah Carter,Kevin Ryan,,","Philippe Caland,","Philippe Caland,","Thriller,",,2016 (United States),"United States,","English,","YBG Productions,",,,1h 30min,Color,"Dolby Digital,",2.35 : 1,,,,,
There's Always One,"Stars,Fernando Jose Borrego,Aaron Latta-Morissette,Michelle Morocco,,","George Massimillo,","George Massimillo,","Comedy,",,,"United States,","English,","GMML Productions,Independent Artists Collaborative,",,,,Color,,,6.2/10,11,,,
Gentrification,"Stars,Karon Riley,Dawn Halfkenny,Dajour Ashwood,,","Mike Allen,","Mike Allen,","Drama,",,"June 24, 2018 (United States)","United States,","English,","All En Films,",,"$50,000 (estimated)",,Color,,,,,,,
Mejor no hablar (de ciertas cosas),"Stars,Victor Arauz,Andrés Crespo,Alejandro Fajardo,,","Javier Andrade,","Javier Andrade,","Drama,",,"October 13, 2012 (Poland)","Ecuador,","Spanish,","Punk S.A.,",,"$500,000 (estimated)",1h 40min,Color,,,6.6/10,236,1,1,
Jokowi,"Stars,T. Rifnu Wikana,Prisia Nasution,Susilo Badar,,","Azhar Kinoi Lubis,",,"Biography,Drama,",,"June 20, 2013 (Indonesia)","Indonesia,","Indonesian,","K2K Production,",,,1h 57min,Color,,,6.9/10,181,4,1,
Goa 350 KM,"Stars,Vikas Bangar,Namrata Bhondave,Madhuri Desai,,","Amol Padave,",,"Horror,",,,"India,","Marathi,",,,,1h 24min,Color,,,3.2/10,29,1,,
Las caras de la gran diosa,"Mateo Cruz,Maria Noelia Falco,Amy White,","Aghora Vidya,","Aimen Klimmeron,Aurea Mirabilis,","Drama,Romance,",,"August 29, 2017 (Hungary)","Hungary,","Spanish,","Tantra-Ecstasy,",,,1h 41min,Color,"Stereo,",2.35 : 1,7.1/10,117,,,
King Lee,"Stars,Nathan Faudree,Al Marshall,Caly Givens,,","Jonathan Case,","Jonathan Case,Timothy Ferlito,","Action,Comedy,History,",,"April 27, 2013 (United States)","United States,","English,","CinemaNational,",,"$18,000 (estimated)",1h 36min,Color,,1.85 : 1,8.4/10,30,3,,
Satanic Meat Cleaver Massacre,"Stars,Leeann Aubuchon,Martin DuPlessis,Jaki Lauper,,","Geno McGahee,","Geno McGahee,","Horror,",,"July 28, 2017 (United States)","United States,","English,","X Posse Productions,",,"$500,000 (estimated)",1h 30min,Color,,1.78 : 1,2.6/10,667,1,,
The Brothel,"Stars,Todd Austin,Jim Gosden,Linda Grasso,,","Justin Buzz Fisher,Rebecca Russell-Cooper,","Adam Russell-Cooper,Rebecca Russell-Cooper,","Comedy,",,"July 23, 2013 (Australia)","Australia,","English,",,,"A$4,000 (estimated)",52min,Color,,16:9 HD,5.7/10,7,,,
Ivanuku Thanila Gandam,"Stars,Deepak Dinkar,Neha Rathanakaran,Sendrayan,,","S.N. Sakthevel,S.N. Sakthivel,","S.N. Sakthevel,S.N. Sakthivel,","Comedy,",,"March 13, 2015 (India)","India,","Tamil,","VVR Cinemask,",,,2h 25min,Color,"Dolby Surround 7.1,",,5.6/10,75,,,
Vendo ou Alugo,"Stars,Maria Assunção,Sílvia Buarque,Nicola Lama,,","Betse De Paula,","Writers,Maria Lúcia Dahl,Betse De Paula,Adriana Falcão,,","Comedy,",,"August 9, 2013 (Brazil)","Brazil,","Portuguese,","Aurora Filmes,","$698,594","R$5,000,000 (estimated)",1h 28min,Color,,,5.3/10,214,1,2,
Le Weekend,"Stars,Bernard Blancan,Célia Granier-Deferre,Kirsty Oswald,,","Christopher Granier-Deferre,","Geoffrey Gunn,","Comedy,",TV-14,"January 30, 2014 (Germany)","United States,France,Canada,","English,","4D Pictures,Appaloosa Films,Poisson Rouge Pictures,",,,1h 25min,Color,,,5.9/10,113,1,11,
Groomless Bride,"Stars,Natalie Hoflin,Mo Dirani,Ella Bowman,,","Brad Diebert,","Anthony Langone,Rob Lobosco,","Comedy,",,,"Australia,","English,","Groomless Bride Productions,Silversun Pictures,",,,,Color,,,,,,,
Disentangled,"Stars,Francis Duru,Chelsea Eze,Paul Obazele,,","Felix Odion,","Felix Odion,","Drama,",,"January 5, 2020 (Singapore)","Australia,","English,","Felodion Entertainment,",,"A$400,000 (estimated)",1h 26min,,,,,,,,
Hard Time Bus,"Stars,Neil Reidman,Naomi Ryan,Roger Griffiths,,","Dean Charles,","Owen Mowatt,","Drama,Romance,",,2016 (United Kingdom),"United Kingdom,","English,","2hotfilms,",,"$2,000,000 (estimated)",1h 30min,Color,,,7.9/10,14,,,
Slimane,"Moha Kezza,Slimane Larhroti,","José Ángel Alayón,Mauro Herce,","Writers,José Ángel Alayón,Samuel M. Delgado,Mauro Herce,,","Biography,Drama,",,"December 2, 2013 (Spain)","Spain,Morocco,France,","Berber languages,Spanish,","El Viaje Films,",,,1h 10min,Color,,,7.0/10,18,1,,
Undead Silence,"Stars,Katrina Ronneburg,David Dinger,Laramie Patrick,,","Ross Gregersen,","Ross Gregersen,Shaun Gregersen,Jonathan Mortensen,","Horror,",,2016 (United States),"United States,","English,",,,,1h 33min,Color,,,7.8/10,10,3,,
Al cielo,"Stars,Ana Angelillo,Mauro Haramboure,Enrique Lunazzi,,","Diego Prado,","María Eugenia Cortajerena,","Drama,Romance,",,March 2012 (France),"Argentina,","Spanish,",,,,1h 22min,Color,,1.78 : 1,5.1/10,112,1,3,
Black Roses Symphony,"Stars,Elisabetta Montonato,Josep Maria Alejandre,Jaume Sanromá,,","Vick Campbell,",,"Horror,",,"September 15, 2019 (Spain)","Spain,","Spanish,","Fusionator Productions,",,"€10,000 (estimated)",,Color,,,,,,,
Gbomo Gbomo Express,"Stars,Gbenro Ajibade,Shaffy Bello,Blossom Chukwujekwu,,","Walter Taylaur,","Scot Eritemu,Walter Taylaur,","Crime,",,"October 2, 2015 (Nigeria)","Nigeria,","English,","Waltbanger101 Productions,",,,1h 36min,Color,,,5.1/10,44,,,
Delicia,"Stars,Marcelo Abbate,Hugo Arana,Marina Glezer,,","Marcelo Mangone,","María Laura Gargarella,","Drama,",,"October 12, 2017 (Argentina)","Argentina,","Spanish,","3 Mentes,","$2,994",,1h 40min,Color,,2.35 : 1,,,,,
Binding Tale,"Stars,Nicole Alexander,Puneet,K. Jasper,,","Kimy Martinez,","Kimy Martinez,","Comedy,Drama,",,October 2016 (United States),"United States,","English,","Stabbydoll Media,",,"$10,000 (estimated)",1h 20min,Color,"Stereo,",256:135,,,,,
Knerten i knipe,"Stars,Adrian Grønnevik Smith,Petrus Andreas Christensen,Pernille Sørensen,,","Arild Østin Ommundsen,","Kristin Skogheim,Anne-Cath Vestly,","Family,",,"September 23, 2011 (Norway)","Norway,","Norwegian,","Paradox,Film Fund FUZZ,Paradox Spillefilm,","$3,918,260",,1h 12min,Color,,,5.8/10,143,2,,
WTF: World Thumbwrestling Federation,"Stars,Debra Wilson,Eddie Jemison,Samm Levine,,","Enrico Natale,","Enrico Natale,Damian C. King,Jared Winkler,","Comedy,",Not Rated,"August 15, 2017 (United States)","United States,","English,","MORE Productions,",,,1h 29min,Color,,,7.9/10,32,1,2,
War of ShanHai: The Revenge of Titan Monsters,,"Tung Wu,","Chen Xu,","Action,Adventure,Fantasy,",,"January 9, 2020 (China)","China,","Chinese,",,,,1h 23min,Color,,,,,,,
My Life for Yours,"Stars,Benjamin Levy Aguilar,Mo Beatty,Alex Will Brooks,,","Matondo Kiantandu,","Matondo Kiantandu,","Drama,",,,"United States,","English,","MGFame Entertainment,",,,1h 30min,Color,,,,,,,
Warum Hans Wagner den Sternenhimmel hasst,"Stars,Hubertus Brandt,Ulrich Bähnk,Nika Kushnir,,","Lars Henriks,","Lars Henriks,","Comedy,Horror,Romance,",,"June 26, 2013 (Germany)","Germany,","German,","Radikal & Arrogant,",,"€1,500 (estimated)",1h 15min,Color,,16 : 9,7.6/10,13,1,2,
La rivincita,"Stars,Michele Venitucci,Michele Cipriani,Sara Putignano,,","Leo Muscato,","Leo Muscato,Michele Santeramo,","Comedy,Drama,",,"June 4, 2020 (Italy)","Italy,","Italian,","Altre Storie,",,,,Color,,2.39 : 1,6.0/10,39,2,,
Middonaito basu,"Stars,Taizô Harada,Mirai Yamamoto,Kyôzô Nagatsuka,,","Masao Takeshita,","Yuki Ibuki,Masato Kato,","Drama,",,"January 27, 2018 (Japan)","Japan,","Japanese,",,,,2h 37min,Color,,,7.5/10,41,2,,
Nisabdham,"Stars,Abhinaya,Ajay,Venkatesh Babu,,","Michael Arun,","Michael Arun,","Drama,",,"March 10, 2017 (India)","India,","Tamil,","Miracle Pictures,",,,2h 6min,Color,,,5.7/10,15,1,,
Eddy and Viv,"Stars,Kaeng Chan,Miriam Glaser,Chantelle Jamieson,,","Simon Larkins,","Chantelle Jamieson,","Comedy,Drama,Romance,",,"January 1, 2013 (Australia)","Australia,","English,","Asinpatti Films,",,,1h 30min,Color,,,,,1,,
I Am Director,"Tian Gao,FeiFei Yao,Ming Jin,","Yang Song,",,"Comedy,",,"August 30, 2013 (China)","China,","Chinese,","GuoYingXuan Film Company,",,"$12,000,000 (estimated)",,,,,,,,,
She's Wild Again Tonight,"Stars,Shima Niavarani,Gustaf Norén,Jon Coombs,,","Fia-Stina Sandlund,","Josefine Adolfsson,Fia-Stina Sandlund,","Drama,",,"November 13, 2015 (Sweden)","Sweden,","English,Swedish,","Story AB,",,,1h 38min,Color,,,5.1/10,73,,,
Punk's Dead,"Stars,Vincent Abel,Myria Schwitzgebel,David Klotzek,,","Daniel Klotzek,Elisabeth von Glahn,","Writers,Niclas Brinkmann,Sven Jackisch,Daniel Klotzek,,","Drama,",,"September 24, 2010 (Germany)","Germany,","German,","DLLK Entertainment,Theater AG Hipstedt,",,"€5,000 (estimated)",1h 48min,Color,,,,,,,
The 312,"Stars,T.C. Matherne,Jenna Larson,Dorie Casper,,","Alex R. Wagner,Phil White,","Alex R. Wagner,","Comedy,Drama,Romance,",R,"December 15, 2017 (United States)","United States,","English,","GK Studio Productions,",,,1h 15min,Color,,16:9 HD,7.5/10,399,2,,
Bloodyminded,"Stars,Isis Davis,Theo Barklem-Biggs,Richard Hahlo,,","Matt Adams,","Matt Adams,","Drama,",,"October 14, 2018 (Switzerland)","United Kingdom,","English,","Blast Theory,",,,1h 24min,Color,,,,,,,
Moma's Spirit,"Stars,A. Michelle Harleston,Everett Anderson,Robert White,,","Robert L. Parker III,","Robert L. Parker III,","Action,Horror,",Not Rated,"March 3, 2018 (United States)","United States,","English,","RIPP Entertainment Films,",,"$215,000 (estimated)",1h 20min,Color,,,3.1/10,31,3,1,
Hentai geijutsu: Suitsuku ketsugô,"Stars,Rin Azuma,Saryû Usui,Azusa Sakai,,","Kuninori Yamazaki,","Kuninori Yamazaki,",,,"April 15, 2016 (Japan)","Japan,","Japanese,","Tantan-sha Company,",,,,Color,,,,,,,
Watch Your Six,"Stars,Antione Grant,Sammy Todd,Manny Casimir,,","Bryan Bostic,","Bryan Bostic,Jeff Gordon,","Mystery,",,"October 17, 2020 (United States)","United States,","English,","Professional Hood Entertainment,",,"$10,000 (estimated)",1h 18min,Color,,,,,,,
Eriyum Kannadi,"Nakhul,Sunaina,","R. Kannan,",,"Drama,",,2022 (India),"India,","Tamil,",,,,,Color,,,,,,,
El camino del vino,"Stars,Pandora Anwyl,Charlie Arturaola,Susana Balbo,,","Nicolás Carreras,","Writers,Christoph Behl,Hernán Belón,Nicolás Carreras,,","Comedy,Drama,",,November 2010 (Argentina),"Argentina,","Spanish,","Cactus Cine,Subterránea Films,",,,1h 35min,Color,,,7.2/10,46,2,3,
