title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
The One That Got Away,"Stars,Chris White,Vanessa Orford,Andy Sechi,,","Andrew Meikle,","Andrew Meikle,","Horror,",,"May 2, 2015 (United States)","Canada,","English,","Meikle Productions,",,,,Color,,,,,,,
Orishas: The Hidden Pantheon,"Stars,Arielle Barros-Evora,Janice Choma,Milan Ewing,,","Yann Kieffoloh Jr.,","Yann Kieffoloh Jr.,Emmanuelle Yapo,","Action,Adventure,Sci-Fi,",,"August 23, 2019 (Côte d'Ivoire)","Canada,","English,","OVSEntertainment,",,"CA$20,000 (estimated)",1h 45min,Color,"Dolby SR,",2.35 : 1,6.3/10,14,,,
Devil's Life,"Stars,Alex Hall,John Waterhouse,Tony Henden,,","Nick Peterson,","Nick Peterson,","Biography,Crime,Fantasy,",,"January 16, 2020 (United States)","United States,United Kingdom,","English,","EdgeImageBank Pictures,Global Films,",,,2h 5min,Color,,,,,,,
East Hastings Pharmacy,"Shauna Hansen,Luis Figueroa,","Antoine Bourges,",,"Drama,",,"March 28, 2012 (France)","Canada,","English,","Medium Density Fibreboard Films,",,,47min,Color,,,8.3/10,27,3,,
Yo necesito amor,"Tanya Gómez Andrade,David Ponce,Diana Sedano,","Jose Luis Valle,","Jose Luis Valle,","Drama,",,"March 9, 2019 (Mexico)","Mexico,","Spanish,","Fogata Audiovisual,",,,1h 30min,Color,,,8.3/10,7,1,,
Seishun no sasakure: Bukiyô na shita tsukai,"Stars,Nanami Kawakami,Makoto Takeuchi,Saki Mizumi,,","Tetsuya Takehora,","Hiroko Fukazawa,",,,"April 20, 2018 (Japan)","Japan,","Japanese,","Blue Forest Film,",,,,Color,"Mono,",,,,,,
Les Jaunes,"Stars,Pierre-Louis Renaud,Mélissa Merlo,Roch Aubert,,","Rémi Fréchette,","Rémi Fréchette,Hugo Mayrand,David Émond-Ferrat,","Adventure,Comedy,Horror,Sci-Fi,",,"August 3, 2014 (Canada)","Canada,","French,","Nemesis Films Productions,",,,1h 36min,Color,,,5.7/10,30,1,,
Risto Räppääjä ja liukas Lennart,"Stars,Samuel Shipway,Sanni Paatso,Vesa Vierikko,,","Timo Koivusalo,","Sinikka Nopola,Tiina Nopola,Timo Koivusalo,","Comedy,Family,Musical,",,"February 7, 2014 (Finland)","Finland,","Finnish,","Artista Filmi Oy,","$3,039,052","€1,300,000 (estimated)",1h 20min,Color,,,5.3/10,165,1,,
The Holy Sound,"Stars,Ian Carmona,Elyse Dufour,Christian Adams,,","Nicholas Wagner,","Nicholas Wagner,","Drama,Horror,",,"October 11, 2013 (United States)","United States,","English,",,,,55min,Color,,,6.4/10,12,2,,
Dà zhangyú,"Stars,Daniel Gan,Mu Liu,Haocheng Zhang,,","Frank Xiang,",,"Action,Fantasy,Horror,Sci-Fi,",,"September 5, 2020 (China)","China,","Mandarin,","Fanku Culture Media Shanghai,",,,,Color,,,,,1,,
Sushree Sampatti,"Stars,Bisharad Basnet,Pramod Agrahari,Salon Basnet,,","Subrat Acharya,",,"Romance,",,"September 7, 2018 (Nepal)","Nepal,","Nepali,","Trident Concept,",,,1h 53min,Color,,,,,,,
A stolen love,"Stars,Chiara Bonetti,Gianna Capoccia,Valentina Capoccia,,","Leonardo Bonetti,","Leonardo Bonetti,","Drama,",,,"Italy,","Italian,",,,,1h 42min,Color,,,,,,,
Moondraam Ullaga Por,"Stars,Sunil Kumar,Akhila Kishore,Wilson Ng,,","Sugan Kartthi,","Sugan Kartthi,Rajshri Sudhakar,","Action,Drama,War,",,"January 22, 2016 (India)","India,","Tamil,","Aartin Frames,",,,1h 45min,Color,,,4.3/10,70,,,
The Lost Number,"Stars,Sam Dede,Lisa Holsappel-Marrs,Sadiq Abu,,","Kester Nsirim,","Kester Nsirim,","Action,",,"August 12, 2012 (Nigeria)","Nigeria,","English,","D.I.P Pictures Entertainment,",,"$130,000 (estimated)",1h 30min,Color,,,7.0/10,26,1,,
Khel Premacha,"Stars,Chetan Dalvi,Vivekanand Dhole,Avtar Gill,,","Mangal Khade,",,"Romance,",,2014 (India),"India,","Marathi,",,,,,Color,,,,,,,
Non ci indurre in tentazione,"Lorenzo Berti,","Nicola Santi Amantini,","Lorenzo Berti,Nicola Santi Amantini,","Drama,",,"February 28, 2013 (Italy)","Italy,","Italian,","La Marina Pictures,Whiterose Pictures,",,,1h 17min,Color,,1.85 : 1,,,1,,
Phati Padi Hai Yaar,"Stars,Ibra Khan,Sunil Pal,Kuldeep Sareen,,","Prem Mohan Girdhani,","Prem Mohan Girdhani,","Drama,",,"December 13, 2019 (India)","India,","Hindi,","Remolo Entertainment,",,₹1 (estimated),,Color,,,,,,,
Oto,"Stars,Ludvik Bagari,Iztok Horvat,Matic Horvat,,","Vasja Rovsnik,","Vasja Rovsnik,","Drama,",,"May 20, 2018 (Slovenia)","Slovenia,","Slovenian,German,",,,"€5,000 (estimated)",1h 50min,Color,,,,,,,
"La bani, la cap, la oase","Stars,Ovidiu Niculescu,Zane Jarcu,Gratiela Duban,,","Cristian Comeaga,","Robertino Patilea,","Action,Comedy,",,,"Romania,","Romanian,","Domino Film,","$13,389",,1h 44min,Color,"Stereo,",16:9 HD,5.8/10,300,1,1,
Shadowed,"Stars,Sean Nelson,Tony Doupe,David S. Hogan,,","Joey Johnson,","Joey Johnson,","Mystery,Thriller,",Not Rated,"May 16, 2012 (United States)","United States,","English,","Frenetic Productions,Daily Riots Productions,",,"$80,000 (estimated)",1h 24min,Color,"Dolby Digital,",,5.6/10,102,5,,
Suramericano,"Stars,Emilio Alonso Aquino,Paul Gamez,Eduardo Paxeco,,","Domingo Olavarria,","Domingo Olavarria,","Drama,",,"August 11, 2014 (United States)","Venezuela,","Spanish,","Cineola Films,",,,,Color,,,,,,,
Andreas Gabalier: Unplugged,"Andreas Gabalier,",,,"Music,",Not Rated,2017 (United Kingdom),"United Kingdom,","German,",,,,2h 4min,Color,,,,,,,
Hoshikuzu no machi,"Stars,Akiko Aitsuki,Yoshiki Arizono,Denden,,","Yasukazu Sugiyama,","Ryûji Mizutani,","Drama,",,"March 6, 2020 (Japan)","Japan,","Japanese,",,,,1h 42min,Color,,,6.4/10,7,,,
Shadows of Love,"Stars,Quenton Alexander,Juliane Casey,Chen Drachman,,","Kenya Cagle,Luana Claxton Fredericks,Stephanie Walker,","Stephanie Walker,","Drama,Romance,",,,"United States,",,,,,1h 30min,,,,8.0/10,9,,,
Warrior Angels,"Stars,Jiayi Ding,Hongyu Guo,Siyu Jin,,","Ben Li,","Ruofei Du,Xinhua Gu,Binbin Tang,","Action,Comedy,",,"March 24, 2018 (China)","China,","Mandarin,","King Kong Times,Shanghai Palla Culture and Media Studio,VHQ Beijing Digital Media,",,,1h 6min,Color,,,,,,,
Ipanema Sonyeon,"Stars,Lee Soo-hyuk,Min-ji Kim,Woo-hee Chun,,","Kih-hoon Kim,","Kih-hoon Kim,","Drama,",,"April 29, 2010 (South Korea)","South Korea,Japan,","Karen,",,"$20,356",,1h 35min,Color,,,6.3/10,31,1,,
Prema katha Chitram 2,,,,"Thriller,",,2019 (India),"India,","Telugu,",,,,2h 14min,Color,,,4.3/10,7,,,
This Is Who I Am,"Stars,Mitchell Lance Adams,Reginald L. Barnes,Amanda Chism,,","Jeff Faulkinbury,","Jeff Faulkinbury,","Drama,",,"December 4, 2020 (United States)","United States,","English,","Post Punk Films,",,"$5,000 (estimated)",1h 16min,Color,"Stereo,",16:9 HD,,,,,
A Part of the Game,"Stars,Troy Iv Ballard,Anthony Blissett,Patrick Brewer,,","Stacey Gill,","Nicole Washington,","Drama,",,"June 20, 2015 (United States)","United States,","English,",,,"$3,000 (estimated)",1h 32min,,,,8.0/10,8,,,
Olaedo the Fisher Girl,"Stars,Pacass Adebayo,Solomon Akiyesi,Darlinton Azoro,,","Richards Omos-Iboyi,",,"Drama,",,2015 (Nigeria),"Nigeria,","English,","Lion-Hills,",,,1h 7min,Color,,,,,,,
Convention of the Dead,"Stars,Andy Pierce,Christopher Rithin,Jonathan Hansler,,","Kelvin Beer,","Kelvin Beer,","Action,Comedy,Horror,",,2016 (United Kingdom),"United Kingdom,","English,","Paper Street Pictures,Ratmonkey Productions,Three-Edged Productions,",,"£25,000 (estimated)",1h 18min,Color,,2.35 : 1,6.7/10,17,,,
Romeo and Juliet in Yiddish,"Stars,Lazer Weiss,Melissa Weisz,Mendy Zafir,,","Eve Annenberg,","Eve Annenberg,","Comedy,Drama,",Not Rated,"July 8, 2011 (United States)","United States,","English,Yiddish,","Vilna City Films,Oscar Productions,Stratford Upon the Dnieper Productions,",,,1h 32min,Color,,,7.0/10,55,6,9,56
Prikazano zabyt,"Stars,Shamkhan Mitraev,Kheda Akhmadova,Timur Badalbeyli,,","Hussein Erkenov,","Ruslan Kokonaev,","Drama,History,War,",,"October 14, 2014 (Poland)","Russia,","Chechen,Russian,",,,,1h 26min,Color,,,5.8/10,47,2,,
River City Panic,"Stars,Aric Diamani,Ryan Satterfeal,Marc Wilkinson,,","Tyler Amm,","Tyler Amm,","Adventure,Comedy,Horror,",Not Rated,"March 20, 2015 (United States)","United States,","English,","Beard in Charge Films,Hometown Hero Productions,",,"$20,000 (estimated)",1h 5min,Color,,,5.6/10,57,1,1,
Kaledeki Yalnizlik,"Stars,Numan Çakir,Özlem Tekin,Tolga Saritas,,","Volga Sorgu,","Volga Sorgu,","Drama,",,"June 3, 2011 (Turkey)","Turkey,","Turkish,","Çimen yapim,","$37,863",,1h 45min,Color,,,6.1/10,257,1,,
Times and Seasons,"Paulina Oduro,Shatta Wale,Paul Wilson,","Selorm Martinson Jr.,",,"Crime,",,"March 2, 2020 (Ghana)","Ghana,","English,",,,,,Color,,,,,,,
Dacii Liberi,,"Andrei Gorgan,Monica Lãzurean-Gorgan,",,,,"November 30, 2018 (Romania)","Romania,","English,","Manifest Film,","$5,228",,,Color,,,7.0/10,5,,,
Now and Not Later - Embrace the Moment,"Stars,Antal Cserna,Imre Csuja,Pegasus Envoyé,,","Pegasus Envoyé,Fanny Hozleiter,Zoltán Vékony,","Pegasus Envoyé,Fanny Hozleiter,","Biography,Comedy,Drama,Romance,",,"June 29, 2019 (Hungary)","Hungary,","Hungarian,English,","Te döntesz,",,,,Color,,,,,,,
Low Town,"Stars,Ehsan Ahmed,Ryan J. Anderson,Jimmy Arteaga,,","Joe Black,","Joe Black,","Action,Comedy,Romance,Thriller,",,2017 (United States),"United States,","English,",,,,2h 13min,Color,,,5.6/10,15,,,
Banza Kiri!,"Stars,Giuseppe Alagna,Manuela Boccanera,Francesca Cutolo,,","Gianluca Testa,","Gianluca Testa,","Sci-Fi,",,"May 15, 2014 (Italy)","Italy,","Italian,","Teatroformattivo,",,"€10,000 (estimated)",,Color,,,,,,,
Towheads,"Stars,Shannon Plumb,Derek Cianfrance,Cody Cianfrance,,","Shannon Plumb,","Shannon Plumb,","Comedy,Drama,Family,",Not Rated,"January 25, 2013 (Netherlands)","United States,","English,","Artists Public Domain,",,,1h 25min,Color,,,5.5/10,107,1,7,56
Bill Hicks Lives,"A.J. Moorehead,","Jay Douglas Guffey,","Bill Hicks,A.J. Moorehead,","Comedy,",Not Rated,"February 14, 2013 (United States)","United States,","English,","Picket Fence,",,"$50,000 (estimated)",,,,,6.8/10,46,4,,
Mord hinterm Vorhang,"Stars,Hanspeter Bader,Andreas Beutler,Oscar Bingisser,,","Sabine Boss,","Martin Rauhaus,","Comedy,",,"November 11, 2011 (Switzerland)","Switzerland,","Swiss German,","Dschoint Ventschr Filmproduktion AG,",,,1h 30min,Color,,,6.1/10,19,,,
Scarlet Samurai: Incarnation,"Stars,Tara Cardinal,Alicen Holden,Christian Boeving,,","Tara Cardinal,David R. Williams,","Tara Cardinal,David R. Williams,","Action,Adventure,Fantasy,Horror,Mystery,Romance,",R,"October 10, 2013 (United States)","United States,Canada,","English,","Cthulhu Blues Productions,Red Scream Films,Reel Heroine,",,"$1,000,000 (estimated)",1h 29min,Color,,,5.0/10,50,3,,
Amazing Spring,"Stars,Cedric Loo,Joey Leong,Kar-Ying Law,,","Nick Wong,",,"Drama,",,"February 5, 2019 (Malaysia)","Malaysia,","Mandarin,","Dreamax Entertainment,Multimedia Entertainment,The Film Engine,",,,1h 50min,Color,,,7.8/10,24,1,,
La Mentirita Blanca,"Stars,Rodrigo Salinas,Ernesto Meléndez,Catalina Saavedra,,","Tomas Alzamora,","Tomas Alzamora,","Comedy,",,"June 1, 2017 (Chile)","Chile,","Spanish,","Equeco,Equeco,Pageman Production,",$74,,1h 20min,Color,,,6.3/10,86,3,,
Locked in a Garage Band,"Stars,Scott Lyster,Ella Simon,Luke Jennings,,","Jennifer Westcott,","Jennifer Westcott,","Comedy,",,,"Canada,","English,","Elgin Road Productions,",,"CA$500,000 (estimated)",,Color,,,6.6/10,32,3,,
Soñando Un Lugar,,"Alfonso Kint,","Alfonso Kint,","Biography,",,"October 23, 2018 (Spain)","Spain,","Spanish,","Kint Pictures,",,,1h 10min,,"Stereo,D-Cinema 48kHz 5.1,",1.85 : 1,,,1,,
Datin Ghairah,"Stars,Aaron Aziz,Maria Farida,Faizal Hussein,,","Sabree Fadzil,","Sabree Fadzil,","Comedy,Romance,",,"December 8, 2011 (Malaysia)","Malaysia,","Malay,","De Baron,",,,1h 29min,Color,,,3.3/10,14,1,,
So Hãi Tôt Dô,"Stars,Jennifer Foh,Ming Xiang Guo,Jia Jie Lee,,","Joon Han Yeo,","Joon Han Yeo,","Horror,",,"March 27, 2014 (Malaysia)","Malaysia,","Mandarin,","Amok Films,","$381,663",,1h 39min,Color,"Dolby Digital,",2.35 : 1,5.8/10,15,3,,
Fundamental,"Stars,Francesca Emms,Thomas Rimmer,Stathia Golding,,","Bill Hunt,","Writers,James Dunlop,Bill Hunt,Christof Mueller,,","Horror,Thriller,",,,"New Zealand,","English,","ApeOnAWhale,Unlit Vistas,",,"$4,700 (estimated)",1h 20min,Color,"Stereo,",2.35 : 1,4.3/10,41,3,1,
Mockingbird,"Stars,Kayleigh Stover,Davis Osborne,Tina Murphy,,","Jason Ledford,","Brad Hord,","Drama,",,"October 1, 2018 (United States)","United States,","English,","Shanghai Films,",,,,,,,,,,,
Case: Osterberg,"Stars,Primoz Vrhovec,Vida Breze,Niko Gorsic,,","Matej Nahtigal,","Zoran Bencic,Matej Nahtigal,","Crime,Drama,Thriller,",,September 2015 (Slovenia),"Slovenia,","Slovenian,",,"$1,856",,1h 33min,Color,,,7.1/10,79,2,,
Como Quien No Quiere La Cosa,"Stars,Celine Aguirre,Karine Aguirre,Marisol Aguirre,,","Alvaro Velarde,",,"Comedy,Family,Fantasy,",,2013 (Peru),"Argentina,Peru,","Spanish,",,,,1h 19min,Color,,1.85 : 1,4.5/10,36,,,
Leon,"Stars,Kellen Boyle,Ben Boysza,Angelica Chapman,,","Bryan Doud,","Bryan Doud,Larry Phillips,","Comedy,",,2014 (United States),"United States,","English,","Hollywood Outcast Productions,Sleeping Dogs Productions,Ubstar Productions,",,,,,,,,,,,
Kaaval,"Stars,Vimal,Samuthirakani,'Punnagai Poo' Geetha,,","V.R. Nagendran,","V.R. Nagendran,","Action,Thriller,",,"June 26, 2015 (India)","India,","Tamil,","Clap Cinemas,SG Films,",,,2h 7min,Color,,,3.3/10,61,,,
Brut,"Luise Aschenbrenner,Nicolai Despot,Anja Schneider,","Constantin Hatz,","Constantin Hatz,","Drama,",,"October 27, 2017 (Germany)","Germany,","German,","DOMAR Film,",,,2h,Color,,,5.6/10,6,1,,
