title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Masth Mohabbat,"Stars,Prem Kumar,Poonam Bajwa,Chikkanna,,","Mohan Malagi,",,"Comedy,Romance,",,"January 22, 2016 (India)","India,","Kannada,","Manasa Movies,",,"₹1,500,000 (estimated)",2h 4min,Color,,16 : 9,4.5/10,7,1,,
El silencio a gritos,"Stars,Ángel Miranda,Nahir Millares,Yara Mamani,,","José Celestino Campusano,",,"Drama,",,"April 15, 2018 (Argentina)","Argentina,Bolivia,","Spanish,",,,,1h 1min,Color,,,2.9/10,20,1,2,
Drawing Near,"Stars,Rachel Stefursky,Cody Cheyenne Napier,Chrissy Lewis,,","Joe Robertson,","Joe Robertson,","Drama,Horror,Thriller,",,"March 15, 2020 (United States)","United States,","English,","Six21 Pictures,",,"$7,000 (estimated)",,Black and White,,,,,,,
Watashi no kanashimi,"Yoshipiyo Ito,Erika Nagamine,Yuri Yamada,","Hiroshi Horiuchi,",,"Romance,",,"July 7, 2012 (Japan)","Japan,","Japanese,",,,,1h 32min,Color,,,,,,,
El Regreso,"Stars,Miguel Anaya,Víctor Barba,Elizabeth Brambila,,","Gerardo González,","Alejandro Bullón,","Drama,",,"March 10, 2012 (United States)","United States,","Spanish,","Bullón Ministry Films,",,,1h 9min,Color,,,6.0/10,8,,,
Sperm Donor X,,"Deirdre Fishel,",,"Drama,",,2011 (United States),"United States,","English,",,,,,Color,,,,,,,
Jaan Tere Naam,"Stars,Viraj Bhatt,Tanushree Chatterji,Priya Sharma,,","Ramakant Prasad,","Manoj Kushwaha,","Romance,",,2012 (India),"India,","Bhojpuri,","Aadi Shakti Entertainment,Kumari Mai Movies,",,,2h 39min,Color,,,,,,,
Desert Butterfly: Paru paro sa disyerto,"Albert Gayo,Angelo Carl,Arnel Hasigan,","Albert Gayo,","Albert Gayo,","Drama,",,"December 3, 2017 (United Arab Emirates)","United Arab Emirates,","English,","ASG International FZ LLE,",,"$300,000 (estimated)",1h 50min,Color,,1.78 : 1 / (high definition),,,,,
Jeegisha,"Stars,Dhurba Dutta,Prasuna Kadel,Manish Shrestha,,","Sanam Kumar,","Sanam Kumar,SanamKumarBairag,","Drama,",,"March 12, 2017 (United Kingdom)","United Kingdom,","Nepali,",,,,,Color,,,,,,,
Seventeen Year Old Rainy Season,,,,,,"June 16, 2017 (China)","China,","English,",,"$36,568",,,Color,,,,,,,
Life According to Rasheada II,"Stars,Tonaee Burgess,Tiara Crystal,Roderika Davidson,,","Roosevelt Jackson,","Roosevelt Jackson,","Drama,",,"May 15, 2016 (United States)","United States,","English,","Roosevelt Entertainment,",,"$12,000 (estimated)",,Color,,,,,,,
Thaarakangale Saakshi,"Stars,Arun,Kalasala Babu,Balachandran Chullikadu,,","Gopakumar Narayanapillai,","Gopakumar Narayanapillai,","Drama,",,"August 21, 2015 (India)","India,","Malayalam,",,,,1h 46min,Color,,,,,,,
Friction Current: Magic Mountain,,"Jiandyin,","Jiradej Meemalai,Pornpilai Meemalai,","Thriller,",,"October 5, 2019 (Taiwan)","Thailand,","English,",,,,,Black and White,,,,,,,
Feast of horror and juju 2,,,,"Horror,",,"October 30, 2017 (Nigeria)","Nigeria,","English,",,,,,Color,,,,,,,
I Am Worker,"Stars,Parvin Ghaedi,Mehran Ghafoorian,Mehran Rajabi,,","Ali Tohidparasst,",,"Comedy,",,"May 10, 2013 (Iran)","Iran,","Persian,",,,"$8,000 (estimated)",1h 40min,Color,,16 : 9,,,,,
CD Leganés vs Real Zaragoza,,,,"Reality-TV,",,"September 6, 2015 (Spain)","Spain,","Spanish,",,,,,Color,,,,,,,
Exegesis,"Stars,Zenon Bankowski,Alyson Dunlop,Alan John,,","Jack Delaney,","Allison Galbraith,Tim Nunn,Alexander Stevenson,","Drama,",,"March 24, 2012 (United Kingdom)","United Kingdom,","English,","Creative Scotland,Simply Thrilled,",,"£20,000 (estimated)",1h 50min,Color,"Dolby SR,",2.35 : 1,,,,,
Jousou kazoku,"Stars,Kinuo Yamada,Hanae Kan,Fumihito Endo,,","Hiroyuki Takebayashi,","Takashi Imahashi,","Drama,",,"March 4, 2017 (Japan)","Japan,","Japanese,","Tokyo University of the Arts,",,,1h 20min,Color,,,,,,,
Vo mrake,"Stars,Nazerke Amirova,Daniyar Beysekeev,Maxim Bogomolov,,","Daniyar Akchabaev,","Daniyar Akchabaev,","Horror,Thriller,",,2018 (Kazakhstan),"Kazakhstan,","Russian,",,,,1h 14min,Color,,,3.9/10,17,,,
Savage the Man,"Stars,Svitlana Ben,Hameis El-Sheikh,Gasan Eshkar,,","Asa Eitan,Yoav Tal,","Asa Eitan,Yoav Tal,","Mystery,",,2017 (Israel),"Israel,","Hebrew,",,,,1h 5min,Color,,,,,,,
Stoke City vs Liverpool,,,,"Action,",,"April 8, 2017 (United Kingdom)","United Kingdom,",,,,,1h 30min,Color,,,,,,,
Hoshi ni Negaiwo,"Stars,Ibuki Kaneda,Kimika Masada,Toshikazu Ozeki,,","Katsumi Sasaki,","Katsumi Sasaki,","Horror,",,"August 23, 2019 (Japan)","Japan,","Japanese,",,,"¥2,000,000 (estimated)",1h 58min,Color,,,,,,,
Oilfields Mines Hurricanes,"Hanne Bohmhammel,Kristof Gerega,Rúnar Lund,","Directors,Fabian Altenried,Dinah Rothenberg,Moritz Altenried,,","Writers,Fabian Altenried,Moritz Altenried,Claudia Barth,,","Drama,Mystery,",,January 2014 (Netherlands),"Germany,Iceland,","English,German,Icelandic,","Bildundtonfabrik,Schuldenberg Films,Schuldenberg Foundation,",,,2h 2min,Color,,,6.8/10,16,2,,
Aneeda Night Out: Will.I.Am Live from London,"Printz Board,Will.i.am,","Daniel E. Catullo,Michael Jurkovac,","Writers,Daniel E. Catullo,Michael Jurkovac,Carl Rosenberg,,","Music,",,"September 9, 2016 (United States)","United Kingdom,","English,","Bridge Co,Bungalow Media + Entertainment,City Drive Films,",,"$1,200,000 (estimated)",,Color,,,,,,,
Poveliteli snov,"Stars,Aleksandr Baluev,Dmitriy Endaltsev,Anastasiya Pronina,,","Irina Bagrova,","Irina Bagrova,Roman Kachanov,","Adventure,",,"October 29, 2015 (Russia)","Russia,","Russian,","Konfetti,",,"RUR 40,000,000 (estimated)",1h 20min,Color,"Dolby Digital,",,1.3/10,177,1,,
Crows,"Stars,Ava Barish,Sidney Brown,Rob Finger,,","Roy Vongtama,","James Harris,","Biography,Drama,",,,"United States,","English,","Resonant Entertainment,",,,50min,Color,,,,,,,
Happy Match of the Fall,"Kai Min Guo,Yujuan Wen,","Zhijun Han,","Zhijun Han,","Comedy,",,"March 4, 2013 (China)","China,","Chinese,","China Movie Channel,",,,1h 34min,Color,,,,,,,
Heavy Shabby Girl,,"Kanae Azuma,",,"Drama,",,"January 9, 2016 (Japan)","Japan,","Japanese,",,,,,Color,,,,,,,
Bingoleras,"Stars,Eula Valdez,Liza Diño,Mercedes Cabral,,","Ron Bryant,","Ron Bryant,","Comedy,",,"September 18, 2013 (Philippines)","Philippines,","Filipino,Tagalog,",,,,,Color,,,,,3,,
