title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Lakshmana,"Stars,Anoop Revanna,Meghana Raj,V. Ravichandran,,","R. Chandru,",,"Action,",,"June 24, 2016 (India)","India,","Kannada,","Sai Ranga Enterprises,",,"₹1,000,000 (estimated)",,Color,,2.35 : 1,2.9/10,10,,,
La helada negra,"Stars,Rubén Deming,Florencia Domínguez,Elio Guerra,,","Maximiliano Schonfeld,","Maximiliano Schonfeld,","Drama,",,"July 7, 2016 (Argentina)","Argentina,","Spanish,",,"$5,096",,1h 30min,Color,,,5.8/10,87,6,,
Nudged,"Stars,John Daws,Carla Daws,Jason Foreman,,","Rodger Marion,","Rodger Marion,","Drama,Family,Romance,",Not Rated,"May 15, 2015 (United States)","United States,","English,","Smith Creek Studios,",,,1h 36min,Color,,1.85 : 1,,,2,,
Retorno,"Stars,Cristián Almarza,Pablo Donetch,Felipe Grandón,,","Guillermo Amoedo,","Guillermo Amoedo,Sebastian Gonzalez,","Crime,Mystery,Sci-Fi,Thriller,",Not Rated,"November 5, 2010 (Chile)","Chile,","Spanish,","Sobras.com Producciones,",,"$100,000 (estimated)",1h 20min,,,,4.7/10,117,1,2,
Deep Breaths,"Stars,Fiona Whitelaw,Jamie Knox,Nick Thomas-Webster,,","Gareth Fient,","Darren Rapier,","Drama,",,2015 (United Kingdom),"United Kingdom,","English,","Fient Productions,",,"£12,000 (estimated)",45min,Color,,,8.4/10,8,,,
Ai qing ma la tang,"Stars,Peter Ho,Hao Qin,Yiwei Zhou,,","Fei Xiao,Changzheng Zhang,","Fendou Liu,","Romance,",,"March 13, 2016 (China)",,,,"$2,385,191",,1h 38min,,,,4.4/10,5,,,
Tag,"Stars,Felix Nicholls,Morgan Ashton,Aisling Gibney,,","Max Coultan,","Max Coultan,Felix Nicholls,","Action,Comedy,",,"February 1, 2017 (Australia)","Australia,","English,","Coultan&Co Productions,",,"A$1,000 (estimated)",46min,Color,,2.39:1,8.0/10,7,,,
Inanna Hotel,"Stars,Daniela Fazzolari,Gianluca Testa,Raffaella Ponzo,,","Graziano Misuraca,","Graziano Misuraca,","Horror,",,"March 15, 2010 (Italy)","Italy,","Italian,","Film Frame Company,",,"€30,000 (estimated)",,Color,,,,,,,
Ang paglalakbay ng mga bituin sa gabing madilim,"Stars,Fe GingGing Hyde,Glorypearl Dy,Irish Karl Monsanto,,","Arnel Mardoquio,","Arnel Mardoquio,","Drama,",,"November 29, 2012 (Philippines)","Philippines,","Filipino,Tagalog,","Cinema One Originals,Skyweaver Productions,Red Motion Media,",,,,Color,,,6.8/10,10,2,,
King of Prism: Shiny Seven Stars,,"Masakazu Hishida,",,"Animation,Musical,Sport,",,"March 2, 2019 (Japan)","Japan,","Japanese,","Tatsunoko Production,","$47,777",,1h 10min,Color,,,5.0/10,8,,,
Wening,"Stars,Slamet Ambari,Nungki Kusumastuti,Ruth Marini,,","Agus Pestol,","Amorita D.,","Drama,Thriller,",,"October 23, 2019 (Indonesia)","Indonesia,","Indonesian,","STRO TV,",,,1h 16min,Color,,16:9 HD,,,,,
Where Demons Hide,"Stars,Bobby Bulloch,Simon Hooson,Sarah Jane Duncan,,","Alexander James Gilbert,","Zak Ellis,Alexander James Gilbert,Nick Williams,","Drama,Thriller,",,"January 1, 2019 (United Kingdom)","United Kingdom,","English,","Alex J Gilbert Films,",,"£2,500 (estimated)",1h 4min,Color,,2.35 : 1,,,,,
