title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Yosul,"Stars,Ku Hye-Sun,Ji Kyu Im,Jeong-wook Kim,,","Ku Hye-Sun,",,"Romance,",,"June 24, 2010 (South Korea)","South Korea,","Korean,","CJ Entertainment,","$28,968",,1h 35min,Color,,,5.9/10,76,1,1,
Our Apartment,"Stars,Richard Tyson,Josh Manzer,Natasha Dee Davis,,","Franklyn Cole Jr.,","Franklyn Cole Jr.,","Drama,",,"October 12, 2015 (United States)","United States,","English,","BCMfilms,Black Market Films,",,,,Color,,,7.9/10,9,,,
Only One Way,"Stars,Josiah David Warren,Michael Maponga,Suzee Rodetis,,","Josiah David Warren,",,"Drama,",TV-PG,"November 20, 2014 (United States)","United States,","English,","Strong Foundation Films,",,,1h 35min,Color,,,3.8/10,16,2,1,
Tetro Rouge,"Stars,Alice Henley,Alexander Davies,Adam Lannon,,","Luis M Ventura,","Luis M Ventura,","Action,Adventure,",,"March 26, 2015 (Switzerland)","Switzerland,","English,","Redstone Productions,",,,,Color,,2.35 : 1,7.0/10,16,,,
Adhagappattathu Magajanangalay,"Stars,Yog Japee,Karunakaran,Manobala,,","Inbasekhar,","Inbasekhar,","Comedy,Thriller,",,"June 30, 2017 (India)","India,","Tamil,","Silver Screen Studios,",,,1h 56min,,,,5.0/10,17,1,,
Sutegataki hitobito,"Stars,Nao Ômori,Hitomi Miwa,Chika Uchida,,","Hideo Sakaki,","George Akiyama,Inochi Akiyama,","Comedy,Drama,",,"June 7, 2014 (Japan)","Japan,","Japanese,","Family Tree Co.,",,,2h 3min,Color,,,5.6/10,66,3,,
As You Like It,"Stars,Charles Aitken,David Carr,Dyfan Dwyfor,,","Robert Delamere,","William Shakespeare,","Comedy,",Not Rated,2010 (United Kingdom),"United Kingdom,","English,",,,,2h 40min,Color,,,,,,,
Opolchenochka,"Stars,Vilen Babichev,Anatoliy Falynskiy,Aleksandr Fastovskiy,,","Aleksey Kozlov,","Aleksey Kozlov,Roman Razum,Boris Tabachnik,","War,",,"May 13, 2019 (Ukraine)","Russia,","Russian,","Lugafilm,",,,,Color,,,2.9/10,68,,,
Saaradhi,"Stars,Sunny Wayne,Beena Antony,Madhupal,,","Gopalan Manoj,","Rajesh K. Raman,","Thriller,",,"February 13, 2015 (India)","India,","Malayalam,",,,,,Color,,,5.3/10,57,1,1,
Doctor Who: Besieged,"Stars,Ryan Hendrick,Jennifer Byrne,Natalie Clark,,","Lauren Lamarr,","Ryan Hendrick,","Sci-Fi,",,"June 7, 2013 (United Kingdom)","United Kingdom,","English,","Magic Works Entertainment,",,"£10,000 (estimated)",1h 35min,Color,,,7.0/10,28,1,,
Jôyoku kaidan: Noroi no akajuban,"Stars,DjMao,Noa Eikawa,Eri Katô,,","Hirohisa Sasaki,","Hirohisa Sasaki,",,,"August 3, 2018 (Japan)","Japan,","Japanese,","Eizô Shûdan Mamusu,",,,,Color,"Mono,",,,,,,
Porkkalam,"Stars,Tinnu Anand,Joe Anthony,Atheesh,,","Bandi Saroj Kumar,","Bandi Saroj Kumar,","Action,",,"January 14, 2010 (India)","India,","Tamil,","Mannan Films,",,,,Color,,,8.2/10,20,,,
Samson,"Stars,Jeffrey Scallon,Alyse Nicole Merritt,Michael Michael,,","Jeffrey Scallon,","Jeffrey Scallon,Rick Shorrock,",,,2014 (United States),"United States,","English,","Tender Shoot Films,",,,1h 12min,Color,,,4.0/10,13,2,,
100 milioni di bracciate,"Stars,William Angiuli,Nicola Bizzarri,Paola Onofri,,","Donatella Cervi,",,"Biography,",,"February 1, 2017 (Italy)","Italy,","Italian,",,,"€200,000 (estimated)",,Color,,,,,,,
Femminilità (in)corporea,"Stars,Anna Palco,Monika Malinowska,Giulia Marzulli,,","Roger A. Fratter,","Lauro Certaldo,Roger A. Fratter,","Drama,",,"March 14, 2014 (Italy)","Italy,","Italian,",,,,1h 34min,Color,,1.78 : 1,,,1,3,
The Evening Redness in the South,"Stars,Shane Corcoran,Liam Cotter,Orla Gleeson,,","Colin Hickey,","Colin Hickey,","Drama,",,"November 13, 2019 (Ireland)","Ireland,","English,","Original Pictures,",,"€7,000 (estimated)",1h 10min,Color,,,8.2/10,13,7,11,
Zama Zama,"Stars,Lindani Nkosi,Presley Chweneyagae,Khulu Skenjana,,","Vickus Strijdom,","Vickus Strijdom,","Action,",,"August 24, 2012 (South Africa)","South Africa,","Zulu,Xhosa,Sotho,English,","Kokamoya Productions,","$4,912","$542,000 (estimated)",1h 44min,,,,6.6/10,15,,,
Takatsugawa,"Masahiro Kômoto,Naho Toda,","Yoshinari Nishikôri,","Yoshinari Nishikôri,","Drama,",,"November 29, 2019 (Japan)","Japan,","Japanese,",,$458,,1h 53min,Color,,,6.2/10,27,1,1,
Computer Hackers,"Stars,Daisy Maass,Colin Kolasny,Ian Abramson,,","Jake Myers,","Jake Myers,","Sci-Fi,",,"November 14, 2020 (United States)","United States,","English,",,,"$15,000 (estimated)",1h 30min,,,1.78 : 1,3.5/10,31,,,
O Amor Dá Trabalho,"Stars,Leandro Hassum,Flávia Alessandra,Bruno Garcia,,","Ale McHaddo,","Luiz Felipe Mazzoni,Ale McHaddo,","Comedy,Fantasy,",,"August 29, 2019 (Brazil)","Brazil,","Portuguese,","Fox International Productions,Globo Filmes,Telecine,","$203,863","R$4,000,000 (estimated)",1h 40min,Color,,1.85 : 1,5.8/10,122,4,,
La Femme aux Chaussures Leopard,"Paul Bruchon,","Alexis Bruchon,","Alexis Bruchon,","Drama,",,"October 28, 2020 (United Kingdom)","France,","French,",,,"€3,000 (estimated)",1h 20min,Black and White,,2.35 : 1,5.2/10,25,1,12,
Mack,"Stars,Christian Anderson,Doug Dow,Johnny Ray Gibbs,,","Bryce Taylor,Benjamin Wilson,","Bryce Taylor,Benjamin Wilson,","Comedy,",,"September 27, 2019 (United States)","United States,","English,","B & B Productions,",,"$300,000 (estimated)",1h 39min,Color,,,,,,,
Der Klang der Stille,"Stars,Edis König,Rafael Albert,Nina Quintero,,","Barnabas Valley,","Michaela Valle,Barnabas Valley,","Drama,Mystery,",,"November 4, 2016 (Austria)","Austria,","German,",,,"€4,500 (estimated)",,Color,,,8.5/10,15,,,
Kombu,"Stars,Jeeva,'Ganja' Karuppu,Puvisha Manoharan,,","E. Ibrahim,",,"Thriller,",,"December 11, 2020 (India)","India,","Tamil,","Sai Srinivasa Pictures,",,,1h 51min,Color,,,4.5/10,43,,,
Vegali Vaat,"Stars,Neeta Donde,Dinesh Ingole,Sharad Jadhav,,","Achyut Narayan,",,"Drama,",,"February 7, 2020 (India)","India,","Marathi,","Imaginit Productions,",,,1h 54min,Color,,,8.3/10,21,2,,
Cachita. La esclavitud borrada,"Stars,Santiago Auserón,Carlos Bardem,Emilio Buale,,","Álvaro Begines,","Álvaro Begines,","Drama,",,"October 1, 2021 (Spain)","Spain,","Spanish,","La Mirada Oblicua,Ranna Films,",,,1h 10min,Color,,,,,1,,
Isole,"Stars,Asia Argento,Giorgio Colangeli,Ivan Franek,,","Stefano Chiantini,","Giuliano Miniati,Stefano Chiantini,","Drama,",,"May 11, 2012 (Italy)","Italy,","Italian,Czech,","Obraz Film,",,,1h 32min,Color,,,6.8/10,75,4,,
And It Was Good,"Stars,William Apps,Louis Cancelmi,Robert Clohessy,,","Graham Waterston,","Graham Waterston,","Comedy,Drama,Romance,",,2015 (United States),"United States,","English,",,,,49min,Color,,,,,,,
Un matrimonio da favola,"Stars,Ricky Memphis,Adriano Giannini,Emilio Solfrizzi,,","Carlo Vanzina,","Edoardo Maria Falcone,Carlo Vanzina,Enrico Vanzina,","Comedy,",,"April 10, 2014 (Italy)","Italy,","Italian,","Italian International Film,Rai Cinema,IDM Südtirol - Alto Adige Film Fund,","$2,374,155","€1,500,000 (estimated)",1h 32min,Color,"Dolby Digital,",2.35 : 1,5.6/10,483,4,,
Mogra Phulaalaa,"Stars,Dipti Bhagawat,Madhuri Bharti,Sanyogita Bhave,,","Shrabani Deodhar,",,"Romance,",Not Rated,"June 14, 2019 (India)","India,","Marathi,","GSEAMS,",,,2h 16min,Color,,2.35 : 1,6.6/10,115,,,
Zouzou,"Stars,Jeanne Ferron,Florence Muller,Laure Calamy,,","Blandine Lenoir,","Jean-Luc Gaget,Blandine Lenoir,","Comedy,Drama,Family,",,"December 24, 2014 (France)","France,","French,English,","Local Films,Sonosapiens,Mezzanine Films,",,,1h 22min,Color,,,5.2/10,73,3,,
Game On,"Stars,Brie Carter,Megan Therese Rippey,Jordan Nancarrow,,","Shariya Lynn,Phillip Sebal,","Shariya Lynn,Mary Elizabeth Sekela,","Comedy,Drama,",,"March 20, 2018 (United States)","United States,","English,","Last Minute Studios,",,,1h 38min,Color,,,5.2/10,40,2,,
French Blood: Mr. Pig,"Stars,Emmanuel Bonami,Leslie Carles,Sophie Chamoux,,","Rodolphe Bonnet,","Rodolphe Bonnet,","Horror,",,"March 13, 2020 (France)","France,","English,French,","Contrepoint Production,",,"€300,000 (estimated)",1h 21min,,,,5.7/10,13,,,
Hayati Tehlike,"Stars,Toygan Avanoglu,Altan Erkekli,Öznur Serçeler,,","Serdar Isik,","Baykut Badem,","Comedy,",,"December 9, 2016 (Turkey)","Turkey,","Turkish,","Dijital Sanatlar Production,","$20,162",,1h 40min,Color,,,3.9/10,187,,,
Enoshima purizumu,"Stars,Sôta Fukushi,Shûhei Nomura,Tsubasa Honda,,","Yasuhiro Yoshida,","Hirotoshi Kobayashi,Yasuhiro Yoshida,","Comedy,Sci-Fi,",,"August 10, 2013 (Japan)","Japan,","Japanese,","Television Kanagawa (TVK),Video Planning,",,,1h 30min,Color,,,6.1/10,184,1,1,
Jimseung ui kkut,"Stars,Park Hae-il,Yeong-ho Kim,Min-ji Lee,,","Sung-hee Jo,","Sung-hee Jo,","Fantasy,Mystery,Sci-Fi,Thriller,",,"March 17, 2011 (South Korea)","South Korea,","Korean,",,,,1h 54min,Color,,,5.7/10,211,5,28,
Bedridden,"Stars,Gereltuya Baatarchuluun,Bilguun Badamsed,Oyun-Erdene Batbaatar,,","Byamba Sakhya,","Byamba Sakhya,","Drama,",,"November 23, 2020 (Estonia)","Mongolia,",,"Nomadia Pictures,",,,1h 55min,Black and White,,,7.1/10,15,1,,
Schrotten!,"Stars,Lucas Gregorowicz,Frederick Lau,Anna Bederke,,","Max Zähle,","Oliver Keidel,Johanna Pfaff,Max Zähle,","Comedy,Crime,",,"May 5, 2016 (Germany)","Germany,","German,","Tamtam Film,",,,1h 35min,Color,"Dolby Digital,",2.35 : 1,6.1/10,581,2,16,
You People,"Stars,Joseph Lee Anderson,James Austin Kerr,Gabrielle Reyes,,","Laron M. Chapman,","Laron M. Chapman,","Comedy,Drama,",,"June 7, 2018 (United States)","United States,","English,","WeerNProduction,You People,,",,"$40,500 (estimated)",1h 34min,Color,,16:9 HD,6.7/10,30,,,
Dating Lanzelot,"Stars,Peter Weiss,Manuel Cortez,Narges Rashidi,,","Oliver Rihs,","Thomas Hess,Jann Preuss,Oliver Rihs,","Comedy,",,"August 30, 2012 (Germany)","Germany,Switzerland,","German,","Port au Prince Film & Kultur Produktion,SevenPictures Film,Swiss Effects,","$42,652",,1h 30min,Color,"Dolby Digital,",1.85 : 1,4.3/10,116,7,,
Mississippi Turntup,"Stars,Dewey Allen,Mando Allen,Raheem Allen,,","Dewey Allen,","Dewey Allen,","Action,",R,2017 (United States),"United States,","English,",,,"$500,000 (estimated)",1h 35min,Color,,,4.1/10,14,2,,
Operation Teddybear,"Stars,Tommy van Lent,Andre Beukers,Benjamin Daalder,,","Timo Gilhuis,","Timo Gilhuis,","Drama,",,"February 17, 2020 (Netherlands)","Netherlands,","Dutch,","World Fantasy Production Company,",,€450 (estimated),1h 5min,Color,"Dolby Digital,",,8.1/10,9,,,
Step-by-Step Strength Training,"Petra Kolber,",,,,Not Rated,May 2010 (United States),"United States,","English,",,,,1h 14min,Color,,,,,,,
BROS. On The Rocks,"Stars,Don Tjernagel,Matt Lee Ingebritson,Clint Boevers,,","Don Tjernagel,","Matt Lee Ingebritson,Don Tjernagel,","Comedy,",R,"May 2, 2018 (United States)","United States,",,,,"$5,000 (estimated)",1h 35min,,,,6.2/10,5.8K,,,
Amara Kaaviyam,"Stars,Sathya,Mia George,Thambi Ramaiah,,","Jeeva Shankar,",,"Romance,Thriller,",,"September 5, 2014 (India)","India,","Tamil,","The Show People,Vignesh Pictures,",,,2h 37min,Color,,,7.0/10,326,8,2,
