title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Borussia Dortmund vs Borussia Mönchengladbach,,,,"Reality-TV,",,"October 19, 2019 (Germany)","Germany,","German,",,,,1h 40min,Color,,,,,,,
Hell Week - Hellcoming,,"J. Edward Betancourt,","J. Edward Betancourt,","Horror,",,"December 27, 2017 (United States)","United States,","English,","E Pro Cine,",,,,Color,,,,,,,
Auster,"Abonyi Beata,","Sophie Mouton,",,"Drama,",,"August 1, 2015 (Germany)","Germany,","English,",,,€1 (estimated),,Color,,,,,,,
For Claire,"Nora Rothman,Gerrit Thurston,","Calvin Main,","Dorothy Thurston,","Drama,",,,"United States,","English,","UniLight Studio,",,,,Color,,,,,,,
Bump,"Randy Swank,","Randy Swank,","Randy Swank,","Thriller,",,,"United States,","English,",,,,2h,Color,,,,,,,
Werder Bremen vs 1. FC Heidenheim 1846,,,,"Action,",,"July 2, 2020 (Germany)","Germany,","German,",,,,1h 36min,Color,,,,,,,
Self Redemption,,,,,,"June 12, 2016 (China)",,,,"$5,792",,,,,,,,,,
Graduate,"Brahmanandam,",,,"Romance,",,"January 7, 2011 (India)","India,","Telugu,",,,,,Color,,,,,,,
Uttara: El mite,"Stars,Rinuha Dentler,Natalia Guirado,Abel Güibas,,","Albert Muns,","Albert Muns,","Horror,",,"September 6, 2017 (Spain)","Spain,","Catalan,","Cinemuns Entertainment,",,€6 (estimated),,Color,,16:9 HD,7.5/10,11,,,
Boy Minus Girl,"Stars,Bryan Siebers,Jennette Leone,James Lawrence,,","James Lawrence,","James Lawrence,","Comedy,Romance,",,November 2014 (United States),"United States,","English,",,,,1h 32min,Color,"Dolby Stereo,",1.78 : 1,,,,,
Mai sanshain,,"Yûsuke Koroyasu,",,,,"September 20, 2010 (Japan)","Japan,","Japanese,",,,,48min,Color,,,,,,,
Broken Down,"Stars,Stephanie Ray Glass,Barry Tangert,Michael Belveduto,,","Jay Taylor,","Jay Taylor,","Action,Comedy,Crime,",Not Rated,"February 20, 2012 (United States)","United States,","English,","Bad Ferret Films,",,,1h 34min,Color,"Dolby Digital,",,7.7/10,30,,,
Murku Nubah,"Stars,Sushi Angrai,Moti Gagarai,Rasika Hembrom,,","Baburam Deogam,","Rajesh Banra,","Drama,",,"February 27, 2018 (India)","India,","Santali,","Shiva Music Film,",,,1h 3min,,,,,,,,
Aller-Retour,"Stars,Danica Roy,Félix Basque,Jeanne Mance Cormier,,","Gilles Doiron,",,"Family,",,"November 16, 2013 (Canada)","Canada,","French,","Botsford Productions,",,"CA$200,000 (estimated)",1h 2min,Color,"Dolby Digital,",,,,,,
Días de lluvia,,"Flavia de la Fuente,","Flavia de la Fuente,",,,November 2015 (Argentina),"Argentina,","Spanish,",,,,45min,Color,,,,,,,
Christmas at Ben Dayho's,"Stars,Charles Read,Ricardo A. Romero,Autumn Springfield,,","Charles Read,","Charles Read,","Comedy,",,,"United States,","English,",,,,1h 43min,Color,,,,,,,
Barón Rojo. Larga vida al Rock&Roll,"Stars,Juan Aguirre,Enrique Bunbury,Hermes Calabria,,","Javier Paniagua,José San Cristóbal,","Javier Paniagua,José San Cristóbal,","Music,",,"October 29, 2012 (Spain)","Spain,","Spanish,","Flip Flop Audiovisual,",,,1h 35min,Color,,,6.2/10,33,,,
Conte de Symphonie déchirée,,"Jacqueline Caux,",,"Musical,",,"January 1, 2010 (France)","France,","French,","La Huit Production,",,,54min,Color,,,,,,,
Meeting Her Father,"Daniel Irmas,Vince Donvito,","Daniel Irmas,","Daniel Irmas,",,,July 2016 (United States),"United States,","English,","Hairy Dean Productions,",,"$1,000 (estimated)",,Color,,,,,,,
Splinter Cell: Ukryty w cieniu,"Stars,Gracjan Chodyniecki,Michal Cyganek,Tomasz Czekaj,,","Gracjan Gornig,","Gracjan Gornig,Jakub Kiryluk,Marcin Nowicki,","Action,Crime,Thriller,",,"February 2, 2016 (Poland)","Poland,","Polish,","Studio GSE,",,,1h 45min,Color,,,,,,,
Alp,,,,"Horror,Mystery,Thriller,",,,"United States,","English,",,,,1h 9min,Color,,,,,,,
Institutionalized,"Stars,Mervin Alexander,Eddie Kane Baker,Amanda Bates-Ross,,","Ms. Michelle,","Ms. Michelle,","Drama,",,2015 (United States),"United States,","English,","Ms. Michelle Productions,",,"$50,000 (estimated)",,Color,,,,,,,
Gnijacy Chlopiec,"Stars,Michal Kaczmarczyk,Piotr Kurczyn,Julia Potkaj,,","Sylwia Burgs,","Sylwia Burgs,","Drama,",,2015 (Poland),"Poland,","Polish,",,,,,Color,,,,,,,
Cathy,"Anthony LoGatto,Patricia Olvera,Leah Keele,","Stephen Barnett,","Stephen Barnett,","Drama,",,,"United States,","English,",,,,1h 13min,Color,,,,,,,
Traficantes de dolares,"Stars,Rubén Lara,Roberto Ballesteros,Valentin Trujillo Jr.,,","Rubén Lara,","Rubén Lara,Patricia F. Sáenz,","Action,",TV-14,,"Mexico,",,"Producciones Lara,",,,2h 33min,Color,,,,,,,
"The Palace of Ryugu, When Day Breaks","Hôshi Ishida,Risa Taniuchi,",,"Katsunari Aoki,","Drama,Fantasy,",,,"Japan,","Japanese,",,,,1h 34min,Color,,,,,,,
Sciophobia,"Stars,Tedi Knaak,Johnna McCarthy,Daniel Sachs,,","Robert Nichols,","Robert Nichols,Daniel Sachs,Sean Sheetz,","Thriller,",,"April 20, 2013 (United States)","United States,","English,","Big Bad Bob Productions,",,"$1,250 (estimated)",,,,,,,,,
Koneko no kimochi,"Stars,Ayaka Adachi,Mai Endô,Naomi Inoue,,","Eiki Takahashi,","Kumiko Asô,Eiki Takahashi,","Drama,",,"May 14, 2011 (Japan)","Japan,","Japanese,","Happinet(I).,JollyRoger,W-Up Entertainment,",,,1h 12min,Color,,,,,,,
Fuer Elise,,,,,,"December 6, 2015 (Peru)",,,,"$69,279",,,,,,,,,,
Wolf,"Nan Cui,Chunhua Zhang,Sanming Han,","Tao Han,","Abai,Donghai Sun,",,,,"China,",,,,,1h 32min,Color,,,,,,,
BanG Dream! 8th Live: Breakthrough! - Kirakira Festa Day!,"Stars,Ayasa Itô,Rimi Nishimoto,Ayaka Ohashi,,",,,"Music,",,"October 8, 2020 (Japan)","Japan,","Japanese,",,,,,Color,,,,,,,
The last train to Cali,"David Velasquez,Erika Herrera,","Eduardo Hortúa Mora,","Eduardo Hortúa Mora,","Comedy,Crime,Drama,",,,"Colombia,","Spanish,",,,,1h 47min,Color,,,,,,,
M-Theory,"Prakhyat Pandey,","Prakhyat Pandey,","Prakhyat Pandey,","Sci-Fi,Thriller,",,,"India,","English,",,,,48min,,,,,,,,
Fading Sanity,"Stars,Adam Madsen,Paul D. Morgan,Phil King,,","Anthony Garcia,","Anthony Garcia,","Thriller,",,"November 21, 2014 (United States)","United States,","English,","Scattered Thoughts Films,",,"$3,000 (estimated)",1h 15min,Color,,16:9 HD,,,,,
Trevor's Rampage,"Stars,Julie DeStefano,Steven DiPrima,Albert Flint,,","Graham Abraham,","Graham Abraham,",,,"October 5, 2018 (United States)","United States,","English,","Northeast Productions,",,,1h 30min,Color,"Dolby Digital,",2.35 : 1,,,,,
Retrasado,,,,,,"January 9, 2011 (Spain)",,,,"$875,915",,,,,,,,,,
The Studio,"Stars,Chris Caldwell,April Oberlin,Larry Bower,,","David Matthew Weese,","Daniel Phillips,David Matthew Weese,","Comedy,Family,Romance,",,,"United States,","English,","Blended Planet Pictures,",,,1h 30min,Color,,,,,,,
