title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Muroni: El ultimo vampiro,"Ricardo Patino,Kimberly Tudó,","Ricky Ricardo,","Ricky Ricardo,","Action,",,"March 5, 2019 (Puerto Rico)","United States,","Spanish,","R & A Films,",,"$10,000 (estimated)",,,,,,,,,
Sthalam,"Stars,Bala,Jyothirmayi,Kiran Raj,,","Kaviyoor Sivaprasad,","Kaviyoor Sivaprasad,","Drama,",,,"India,","Malayalam,",,,,2h 27min,Color,,,,,,,
Saibo Maro Saat Janam No,"Jayant Kadiwar,Jetsi Muliyasiya,Guddu Rana,","Ramesh Solanki,",,"Drama,",,"July 3, 2015 (India)","India,","Gujarati,",,,,,Color,,,,,,,
They Call Him One Eye Faggot,"Stars,Vic Cicuta,Pablo Marini,Matías Omar Barbero,,","Germán Magariños,","Vic Cicuta,Germán Magariños,","Action,",,"April 25, 2015 (Argentina)","Argentina,","Spanish,","Gorevision Films,",,,1h 10min,,"Stereo,",16:9 HD,6.7/10,12,1,,
The Annual Vacay,"Stars,Justin Andrews,Angie Barnes,James Bock,,","James Bock,","James Bock,","Comedy,Drama,",,,"United States,","English,",,,,1h 8min,Color,,,,,,,
Summer Blink,"Stars,Tana Sirois,Ashley Love,Jeff Bernhardt,,","Todd Hunter,","Todd Hunter,","Drama,",,"October 22, 2010 (United States)","United States,","English,","Rolling Die Productions,",,"$32,000 (estimated)",2h 5min,Color,"Dolby Digital,",1.78 : 1,,,2,,
Ekhon Nedekha Nodir Xhipare,"Stars,Naved Aslam,Bidita Bag,Victor Banerjee,,","Bidyut Kotoky,","Bidyut Kotoky,","Thriller,",,"September 14, 2012 (India)","India,","Assamese,","National Film Development Corporation of India (NFDC),",,,1h 30min,Color,,,,,,,
Meritum,"Stars,Agnieszka Szpila,Piotr Ratajczak,Ania Kubicka,,","Berenika Bailey,","Berenika Bailey,","Action,Crime,Mystery,",,"September 1, 2010 (Poland)","Poland,","Polish,",,,"$180,000 (estimated)",1h 25min,Color,,1.33 : 1,,,,,
The Devil's Window,"Stars,David Haysom,Gwyn Auger,Hali Belanger,,","James McGowan,","David Haysom,","Horror,Sci-Fi,",Not Rated,,"Canada,","English,","Lucifer's Blood Productions,",,,1h 16min,Color,,,5.3/10,9,,,
Passport to the World: Thailand,,"Simon C. Vaillancourt,",,,,"June 25, 2019 (United States)",,"English,French,",,,,,Color,,,,,,,
Insured Freedom,"Frans Bakker,Tom Jaspers,Nicole Moerland,","Lou Hamburger,","Lou Hamburger,","Drama,",,"November 24, 2010 (Netherlands)","Netherlands,","English,",,,,46min,Color,,,,,,,
Pinta,"Stars,Jorge Alencar,Larissa Alencar,Joline Andrade,,","Jorge Alencar,","Writers,Jorge Alencar,Ricardo Alves Jr.,Leonardo França,,","Comedy,Drama,Fantasy,Musical,Romance,",,2013 (Brazil),"Brazil,","Portuguese,","Dimenti,Movioca,Acere,",,,1h 12min,Color,,1.78 : 1,6.2/10,14,,,
Kôchi: 40-sai no figyua sukêtâ,"Stars,Miki Ando,Shizuka Arakawa,Sei Hiraizumi,,","Kitarô Muro,","Kitarô Muro,","Biography,Drama,Sport,",,"February 6, 2010 (Japan)","Japan,","Japanese,","Blue Rose Cinema Partners,Vagues,",,,1h 48min,Color,,,7.3/10,11,1,,
Disappearing Landscape,"Stars,Machida Hiroyuki,Bobbi Chen,Peter Vasiljevic,,","Vladimir Todorovic,","Vladimir Todorovic,","Biography,Drama,",,"January 30, 2013 (Netherlands)","Singapore,Serbia,Spain,","Mandarin,","Akanga Film Productions,",,,1h 5min,Color,,,6.8/10,8,,,
New ProjectShe's My Everything,,"Kris Bates,",,"Action,Drama,Romance,",,February 2017 (United States),"United States,","English,",,,,2h 25min,Color,,,,,,,
Stimmen,"Stars,Alexander E. Fennon,Julia Schranz,Raphael Nicholas,,","Mara Mattuschka,","Mara Mattuschka,","Comedy,",,"November 2, 2014 (Austria)","Austria,","German,",,,,1h 55min,Color,,,,,2,,
Northern Man: How to Make a Movie,"Stars,George Hewer,Alexandra Bacaoanu,Tom Bonington,,","Jason Croot,",,,,"November 25, 2016 (United Kingdom)","United Kingdom,","English,","Zelica Films,",,,2h 7min,Color,,,8.9/10,8,,,
Málo lásky,"Stars,Jirí Capka,Vladimír Kratina,Markéta Tannerová,,","Simon Holy,","Simon Holy,Tereza Nováková,","Comedy,Drama,",,"January 1, 2017 (Czech Republic)","Czech Republic,","Czech,","FAMU,",,"CZK 350,000 (estimated)",50min,Color,,2.35 : 1,,,,,
Love Cell,,,,,,"March 15, 2015 (Hong Kong)",,,,"$8,467",,,,,,,,,,
Crossing the Line,"Stars,Lubov Tyshchenko,Sergey Detyuk,Artem Vilbek,,","Anar Azimov,",,"Drama,",,,"Ukraine,","Russian,",,,,1h 27min,Color,,16:9 HD,,,,,
Ambition,"Stars,Josh Cisewski,Mike Dahlager,Nathan Bursch,,","Josh Cisewski,","Josh Cisewski,William Phelps,","Drama,",,"October 12, 2014 (United States)",,,"Shadowglass Films,",,,1h 5min,Color,,,,,,,
Bindhass Jeevan,"Vishal Mamde,Bhumika Upadhyay,","Narsing Hunje,","Narsing Hunje,","Drama,",,"December 9, 2018 (India)","India,","Marathi,","Bhalki Films,",,,,Color,,,,,,,
Roya,,"Esmaeil Khakbaz,",,"Drama,",,,"Iran,","Persian,",,,,1h 18min,Color,,,,,,,
First Tuesday,"Stars,William King,Fred Leachman,Dre Robinson,,","William King,Tommy Smalls,","James Carey III,","Comedy,",,"July 26, 2019 (United States)","United States,","English,","Elite Visual Media,",,"$10,000 (estimated)",59min,,,,,,1,,
Memory Slave,"Brennan Kelleher,","James Kaelan,Blessing Yen,",,"Sci-Fi,",,,"United States,","English,",,,,45min,Color,,,,,,,
The Bird Who Saved the World,"Stars,Weibird Wei,Ralf Chiu,Kuan-Chun Wu,,","Bo-Han Chiu,Arthur Tsou,","Bo-Han Chiu,Arthur Tsou,","Comedy,Drama,Fantasy,",,"April 6, 2012 (Taiwan)","Taiwan,","Mandarin,","Good View Movie,Linfair Records,",,,1h 24min,Color,,,,,,,
Trampled by Turtles: Live at First Avenue,,,,"Music,",Not Rated,November 2013 (United States),,,,,,1h 15min,,,,,,,,
The Mechanics of ID,"Wayne Davis,Trisha Yutuc-Strong,","Charles W. Bailey,","Charles W. Bailey,","Sci-Fi,",Not Rated,"March 4, 2011 (United States)","United States,","English,",,,"$10,000 (estimated)",1h 24min,,,,,,,,
Rose England,"Stars,Roy Boucher,Sierra Mackenzie Brewer,Deaun Campbell,,","Gina Carey,","Gina Carey,","Drama,",TV-14,"February 4, 2019 (United States)","United States,","English,","Gina Carey Films,",,"$10,000 (estimated)",1h 19min,Color,,16 : 9,,,,,
The 33rd Sun,"Stars,Claire Suzanne Andrews,Angela Lambert,Peter Oxtoby,,","Mark Newton,","Mark Newton,","Drama,Mystery,",,"November 4, 2018 (United Kingdom)","United Kingdom,","English,","Target Productions,",,,1h 38min,Color,"Stereo,",2.35 : 1,,,,,
True Law the Movie,,"Randy Holloway,",,"Drama,",,,"United States,",,"Arete Productions,",,,,Color,,,,,,,
Yûtopia saunzu,"Stars,Shinzô Hotta,Hana Matsumoto,Kurumi Morishita,,","Akihiro Mima,",,"Drama,",,"March 10, 2013 (Japan)","Japan,","Japanese,",,,,1h 20min,Color,,,,,,,
Liverpool vs Watford,"Watford F.C.,",,,"Sport,",,"May 8, 2016 (United Kingdom)","United Kingdom,",,,,,1h 30min,Color,,,,,,,
