title,casts,directors,writers,genres,certificate,release_date,countries_of_origin,languages,production_companies,gross_worldwide,budget,runtime,color,sound_mix,aspect_ratio,score,votes,user_reviews,critic_reviews,metascore
Homes on the Range,,"Dale Bell,",,,,"March 17, 2020 (United States)",,"English,",,,,,Color,,,,,,,
Exotic Excellence: The Best of Adrian Street,"Stars,Scott Armstrong,Wendall Cooley,Joseph James,,","Brian Logan,",,"Sport,",,"June 19, 2017 (United States)","United States,",,"3 Crows b4 Midnight Entertainment Productions,",,"$10,000 (estimated)",1h 4min,Color,,,,,,,
Mister Tangewala,"Stars,Priya Bhattacharya,Sweety Chhabra,Rana Abhinav Gaur,,","Sujit Kumar Puri,","Sujit Kumar Puri,","Drama,",,"June 2, 2011 (India)","India,","Bhojpuri,","Subha Creation,",,,,Color(original version),,,,,,,
Terry Gilliam's Benvenuto Cellini - English National Opera,"Michael Spyres,Corinne Winters,Willard White,","Andrew Morahan,",,"Musical,",,"June 17, 2014 (United Kingdom)","United Kingdom,","English,","Serpent Films Productions,Illuminati Productions,",,,3h,Color,,,8.0/10,10,2,,
The Merchant of Death,"Stars,Sourav Bangotra,Karan Kantoor,Rana Nayar,,","Rishav Rastogi,","Rishav Rastogi,","Crime,Drama,Thriller,",,,"India,","English,",,,,1h 16min,Color,,,,,1,,
Kafil,"Ibraheem Alkhairallah,Sohayb Godus,",,"Fahad Albutairi,Hisham Fageeh,","Music,",,"February 24, 2015 (Saudi Arabia)","Saudi Arabia,","Arabic,",,,,,,,,7.2/10,20,,,
Giti's Problem,"Stars,Hamid Farokhnezhad,Roya Nonahali,Yekta Naser,,","Bahram Kazemi,","Abdolreza Monjezi,","Drama,",,"November 23, 2016 (Iran)","Iran,","Persian,",,,,1h 28min,Color,"Dolby Digital,",1.85 : 1,3.1/10,86,,,
"Ostorozhno, korova!","Stars,Azamat Abdildinov,Bayan Esentaeva,Eslyam Nurtazin,,","Askar Uzabaev,","Auez Auezov,Sabit Rahimbaev,Askar Uzabaev,","Comedy,",,2014 (Kazakhstan),"Kazakhstan,","Kazakh,Russian,","Shine Production,",,,,Color,,,,,,,
Geographically Desirable,"Stars,Blair Bowers,Andrew Agner-Nichols,Nic Detorie,,","Mike Kravinsky,","Mike Kravinsky,","Comedy,Romance,",Unrated,"April 14, 2015 (United States)","United States,","English,","Nextnik Films,",,,1h 33min,Color,"Stereo,",1.78 : 1 / (high definition),5.5/10,54,1,10,
The Convenient Job,"Stars,Mark H. Rapaport,Looch Gelfand,Rob Robbins,,","Daniel Robbins,","Looch Gelfand,Mark H. Rapaport,Daniel Robbins,","Comedy,Crime,",,"April 2, 2015 (United States)","United States,","English,",,,,1h 11min,Color,,,6.5/10,6,,,
Cita-Citaku Setinggi Tanah,"Stars,Donny Alamsyah,Dewi Wulandari Cahyaningr,Rizqullah Maulana Daffa,,","Eugene Panji,","Satriono,","Drama,",,"October 11, 2012 (Indonesia)","Indonesia,","Indonesian,","Bumble Bee Studio,Humanplus Production,Kreasi Cinema Mediatama,",,,1h 15min,Color,,,7.1/10,31,2,,
Innamorati di me,"Stars,Nunzio Fabrizio Rotondo,Paolo Vita,Enrica Guidi,,","Nicola Prosatore,","Andrea Lolli,Nunzio Fabrizio Rotondo,Paolo Vita,","Comedy,",,"September 8, 2017 (Italy)","Italy,","Italian,","Lotus Production,",,,,Color,,,5.3/10,22,,,
The Secret Garden,"Stars,Aj Cross,Kate Surinskaya,Vincent Leong,,","Aj Cross,","Aj Cross,","Action,",Not Rated,"May 1, 2016 (United States)","United States,","English,",,,"$1,000,000 (estimated)",1h 24min,Color,,,,,,,
Foresight Killer Instinct,"Stars,Martin Cunningham,Michael Edward Williams,Trevor Dent,,","Duncan Cunningham,","Aaron Cassidy,Duncan Cunningham,","Action,Crime,Horror,",,"November 23, 2013 (Australia)","Australia,","English,","Cunningham Clan Entertainment (CCE),",,"A$10,000 (estimated)",1h 34min,Color,,,5.0/10,63,3,4,
Friends,"Stars,Rohit Dhanraj,Kapil Dev Duggal,Emily Georgiou,,","Billie Letic,","Billie Letic,","Drama,",,"January 20, 2016 (Australia)","Australia,","English,","Blue Moon Art House Productions,",,"A$8,000 (estimated)",1h 7min,Color,,,,,,,
Iceland vs England,,,,"Sport,",,"September 5, 2020 (Iceland)","Iceland,","English,",,,,1h 34min,Color,,,,,,,
Graffito,"Stars,Mikel Patrick Avery,Nora Best,Derek Ryan Brummet,,","David A. Holcombe,","Heather Mingo,John Sutton,","Comedy,Drama,Thriller,",,August 2014 (United States),"United States,","English,","Soft Cage Films NFP,",,"$2,000 (estimated)",1h 22min,Black and White,,,,,2,,
